Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
Bichon	Bichon_Bichon_309	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Bichon_Bichon_309_L1_R1.fastq.gz	NA	NA	ERR1078334.fastq.gz	NA	NA
Bichon	Bichon_Bichon_604	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Bichon_Bichon_604_L1_R1.fastq.gz	NA	NA	ERR1078336.fastq.gz	NA	NA
Bichon	Bichon_Bichon_309	2	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Bichon_Bichon_309_L2_R1.fastq.gz	NA	NA	ERR1078337.fastq.gz	NA	NA
Bichon	Bichon_Bichon_398	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Bichon_Bichon_398_L1_R1.fastq.gz	NA	NA	ERR1078338.fastq.gz	NA	NA
Bichon	Bichon_Bichon_604	2	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Bichon_Bichon_604_L2_R1.fastq.gz	NA	NA	ERR1078339.fastq.gz	NA	NA
Bichon	Bichon_Bichon_398	2	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Bichon_Bichon_398_L2_R1.fastq.gz	NA	NA	ERR1078341.fastq.gz	NA	NA
Bichon	Bichon_Bichon_309	3	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Bichon_Bichon_309_L3_R1.fastq.gz	NA	NA	ERR1078346.fastq.gz	NA	NA
Bichon	Bichon_Bichon_604	3	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Bichon_Bichon_604_L3_R1.fastq.gz	NA	NA	ERR1078351.fastq.gz	NA	NA
Bichon	Bichon_Bichon_398	3	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Bichon_Bichon_398_L3_R1.fastq.gz	NA	NA	ERR1078335.fastq.gz	NA	NA
Bichon	Bichon_Bichon_309	4	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Bichon_Bichon_309_L4_R1.fastq.gz	NA	NA	ERR1078340.fastq.gz	NA	NA
Bichon	Bichon_Bichon_604	4	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Bichon_Bichon_604_L4_R1.fastq.gz	NA	NA	ERR1078342.fastq.gz	NA	NA
Bichon	Bichon_Bichon_309	5	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Bichon_Bichon_309_L5_R1.fastq.gz	NA	NA	ERR1078343.fastq.gz	NA	NA
Bichon	Bichon_Bichon_398	4	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Bichon_Bichon_398_L4_R1.fastq.gz	NA	NA	ERR1078344.fastq.gz	NA	NA
Bichon	Bichon_Bichon_398	5	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Bichon_Bichon_398_L5_R1.fastq.gz	NA	NA	ERR1078347.fastq.gz	NA	NA
Bichon	Bichon_Bichon_604	5	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Bichon_Bichon_604_L5_R1.fastq.gz	NA	NA	ERR1078348.fastq.gz	NA	NA
Bichon	Bichon_Bichon_309	6	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Bichon_Bichon_309_L6_R1.fastq.gz	NA	NA	ERR1078349.fastq.gz	NA	NA
Bichon	Bichon_Bichon_398	6	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Bichon_Bichon_398_L6_R1.fastq.gz	NA	NA	ERR1078350.fastq.gz	NA	NA
Bichon	Bichon_Bichon_309	7	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Bichon_Bichon_309_L7_R1.fastq.gz	NA	NA	ERR1078331.fastq.gz	NA	NA
Bichon	Bichon_Bichon_398	7	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Bichon_Bichon_398_L7_R1.fastq.gz	NA	NA	ERR1078332.fastq.gz	NA	NA
Bichon	Bichon_Bichon_604	6	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Bichon_Bichon_604_L6_R1.fastq.gz	NA	NA	ERR1078333.fastq.gz	NA	NA
Bichon	Bichon_Bichon_604	7	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Bichon_Bichon_604_L7_R1.fastq.gz	NA	NA	ERR1078345.fastq.gz	NA	NA
Bichon	Bichon_Bichon	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Bichon_Bichon_L1_R1.fastq.gz	NA	NA	ERR1138703.fastq.gz	NA	NA
KK1	KK1_KK1_85	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/KK1_KK1_85_L1_R1.fastq.gz	NA	NA	ERR1078325.fastq.gz	NA	NA
