Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
abh100	abh100_LP6005442-DNA_D02	1	4	PE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/abh100_LP6005442-DNA_D02_L1_R1.fastq.gz	<PATH_TO_DATA>/abh100_LP6005442-DNA_D02_L1_R2.fastq.gz	NA	ERR1419191_1.fastq.gz	ERR1419191_2.fastq.gz	NA
abh100	abh100_LP6005442-DNA_D02	2	4	PE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/abh100_LP6005442-DNA_D02_L2_R1.fastq.gz	<PATH_TO_DATA>/abh100_LP6005442-DNA_D02_L2_R2.fastq.gz	NA	ERR1025609_1.fastq.gz	ERR1025609_2.fastq.gz	NA
abh107	abh107_LP6005442-DNA_C02	1	4	PE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/abh107_LP6005442-DNA_C02_L1_R1.fastq.gz	<PATH_TO_DATA>/abh107_LP6005442-DNA_C02_L1_R2.fastq.gz	NA	ERR1025608_1.fastq.gz	ERR1025608_2.fastq.gz	NA
abh107	abh107_LP6005442-DNA_C02	2	4	PE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/abh107_LP6005442-DNA_C02_L2_R1.fastq.gz	<PATH_TO_DATA>/abh107_LP6005442-DNA_C02_L2_R2.fastq.gz	NA	ERR1419186_1.fastq.gz	ERR1419186_2.fastq.gz	NA
ALB212	ALB212_LP6005677-DNA_B01	1	4	PE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/ALB212_LP6005677-DNA_B01_L1_R1.fastq.gz	<PATH_TO_DATA>/ALB212_LP6005677-DNA_B01_L1_R2.fastq.gz	NA	ERR1395585_1.fastq.gz	ERR1395585_2.fastq.gz	NA
Ale14	Ale14_LP6005443-DNA_D05	1	4	PE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Ale14_LP6005443-DNA_D05_L1_R1.fastq.gz	<PATH_TO_DATA>/Ale14_LP6005443-DNA_D05_L1_R2.fastq.gz	NA	ERR1347708_1.fastq.gz	ERR1347708_2.fastq.gz	NA
Ale20	Ale20_LP6005443-DNA_H02	1	4	PE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Ale20_LP6005443-DNA_H02_L1_R1.fastq.gz	<PATH_TO_DATA>/Ale20_LP6005443-DNA_H02_L1_R2.fastq.gz	NA	ERR1347740_1.fastq.gz	ERR1347740_2.fastq.gz	NA
Ale22	Ale22_LP6005443-DNA_A03	1	4	PE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Ale22_LP6005443-DNA_A03_L1_R1.fastq.gz	<PATH_TO_DATA>/Ale22_LP6005443-DNA_A03_L1_R2.fastq.gz	NA	ERR1347682_1.fastq.gz	ERR1347682_2.fastq.gz	NA
Ale32	Ale32_LP6005443-DNA_E05	1	4	PE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Ale32_LP6005443-DNA_E05_L1_R1.fastq.gz	<PATH_TO_DATA>/Ale32_LP6005443-DNA_E05_L1_R2.fastq.gz	NA	ERR1347715_1.fastq.gz	ERR1347715_2.fastq.gz	NA
altai363p	altai363p_LP6005442-DNA_F02	1	4	PE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/altai363p_LP6005442-DNA_F02_L1_R1.fastq.gz	<PATH_TO_DATA>/altai363p_LP6005442-DNA_F02_L1_R2.fastq.gz	NA	ERR1419200_1.fastq.gz	ERR1419200_2.fastq.gz	NA
