Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
DA10	DA10_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA10_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505849.fastq.gz	NA	NA
DA100	DA100_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA100_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505844.fastq.gz	NA	NA
DA101	DA101_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA101_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505845.fastq.gz	NA	NA
DA104	DA104_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA104_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505846.fastq.gz	NA	NA
DA105	DA105_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA105_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505847.fastq.gz	NA	NA
DA106	DA106_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA106_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505848.fastq.gz	NA	NA
DA11	DA11_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA11_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505856.fastq.gz	NA	NA
DA111	DA111_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA111_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505850.fastq.gz	NA	NA
DA112	DA112_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA112_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505851.fastq.gz	NA	NA
DA116	DA116_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA116_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505852.fastq.gz	NA	NA
DA117	DA117_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA117_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505853.fastq.gz	NA	NA
DA118	DA118_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA118_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505854.fastq.gz	NA	NA
DA119	DA119_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA119_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505855.fastq.gz	NA	NA
DA121	DA121_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA121_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505857.fastq.gz	NA	NA
DA123	DA123_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA123_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505858.fastq.gz	NA	NA
DA124	DA124_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA124_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505859.fastq.gz	NA	NA
DA125	DA125_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA125_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505860.fastq.gz	NA	NA
DA126	DA126_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA126_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505861.fastq.gz	NA	NA
DA127	DA127_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA127_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505862.fastq.gz	NA	NA
DA128	DA128_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA128_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505863.fastq.gz	NA	NA
DA129	DA129_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA129_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505864.fastq.gz	NA	NA
DA13	DA13_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA13_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505868.fastq.gz	NA	NA
DA130	DA130_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA130_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505865.fastq.gz	NA	NA
DA134	DA134_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA134_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505866.fastq.gz	NA	NA
DA136	DA136_DA136_E1_L2	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA136_DA136_E1_L2_L1_R1.fastq.gz	NA	NA	ERR2592344.fastq.gz	NA	NA
DA139	DA139_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA139_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505867.fastq.gz	NA	NA
DA14	DA14_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA14_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505875.fastq.gz	NA	NA
DA141	DA141_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA141_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505869.fastq.gz	NA	NA
DA142	DA142_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA142_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505870.fastq.gz	NA	NA
DA143	DA143_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA143_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505871.fastq.gz	NA	NA
DA144	DA144_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA144_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505872.fastq.gz	NA	NA
DA145	DA145_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA145_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505873.fastq.gz	NA	NA
DA146	DA146_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA146_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505874.fastq.gz	NA	NA
DA15	DA15_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA15_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505876.fastq.gz	NA	NA
DA16	DA16_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA16_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505881.fastq.gz	NA	NA
DA160	DA160_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA160_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505877.fastq.gz	NA	NA
DA161	DA161_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA161_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505878.fastq.gz	NA	NA
DA162	DA162_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA162_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505879.fastq.gz	NA	NA
DA164	DA164_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA164_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505880.fastq.gz	NA	NA
DA17	DA17_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA17_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505885.fastq.gz	NA	NA
DA171	DA171_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA171_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505882.fastq.gz	NA	NA
DA177	DA177_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA177_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505883.fastq.gz	NA	NA
DA179	DA179_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA179_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505884.fastq.gz	NA	NA
DA18	DA18_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA18_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505888.fastq.gz	NA	NA
DA188	DA188_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA188_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505886.fastq.gz	NA	NA
DA189	DA189_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA189_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505887.fastq.gz	NA	NA
DA19	DA19_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA19_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505896.fastq.gz	NA	NA
DA190	DA190_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA190_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505889.fastq.gz	NA	NA
DA191	DA191_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA191_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505890.fastq.gz	NA	NA
DA194	DA194_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA194_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505891.fastq.gz	NA	NA
DA195	DA195_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA195_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505892.fastq.gz	NA	NA
DA197	DA197_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA197_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505893.fastq.gz	NA	NA
DA198	DA198_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA198_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505894.fastq.gz	NA	NA
DA199	DA199_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA199_unspecified_L1_R1.fastq.gz	NA	NA	ERR2505895.fastq.gz	NA	NA
