Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
Altais.1	Altais.1_lib1_Altais.1	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Altais.1_lib1_Altais.1_L1_R1.fastq.gz	NA	NA	ERR2575648.fastq.gz	NA	NA
Altais.2	Altais.2_lib1_Altais.2	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Altais.2_lib1_Altais.2_L1_R1.fastq.gz	NA	NA	ERR2575649.fastq.gz	NA	NA
Bashkirs.1	Bashkirs.1_lib1_Bashkirs.1	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Bashkirs.1_lib1_Bashkirs.1_L1_R1.fastq.gz	NA	NA	ERR2575650.fastq.gz	NA	NA
Bashkirs.2	Bashkirs.2_lib1_Bashkirs.2	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Bashkirs.2_lib1_Bashkirs.2_L1_R1.fastq.gz	NA	NA	ERR2575651.fastq.gz	NA	NA
Bashkirs.3	Bashkirs.3_lib1_Bashkirs.3	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Bashkirs.3_lib1_Bashkirs.3_L1_R1.fastq.gz	NA	NA	ERR2575652.fastq.gz	NA	NA
BOT14	BOT14_BOT14	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/BOT14_BOT14_L1_R1.fastq.gz	NA	NA	ERR2572851.fastq.gz	NA	NA
BOT15	BOT15_BOT15	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/BOT15_BOT15_L1_R1.fastq.gz	NA	NA	ERR2572850.fastq.gz	NA	NA
BOT2016	BOT2016_BOT2016	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/BOT2016_BOT2016_L1_R1.fastq.gz	NA	NA	ERR2572849.fastq.gz	NA	NA
Buryats.1	Buryats.1_lib1_Buryats.1	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Buryats.1_lib1_Buryats.1_L1_R1.fastq.gz	NA	NA	ERR2575653.fastq.gz	NA	NA
Buryats.2	Buryats.2_lib1_Buryats.2	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Buryats.2_lib1_Buryats.2_L1_R1.fastq.gz	NA	NA	ERR2575654.fastq.gz	NA	NA
DA245	DA245_DA245	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA245_DA245_L1_R1.fastq.gz	NA	NA	ERR2573084.fastq.gz	NA	NA
DA246	DA246_DA246	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA246_DA246_L1_R1.fastq.gz	NA	NA	ERR2573085.fastq.gz	NA	NA
DA247	DA247_DA247	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA247_DA247_L1_R1.fastq.gz	NA	NA	ERR2573086.fastq.gz	NA	NA
DA248	DA248_DA248	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA248_DA248_L1_R1.fastq.gz	NA	NA	ERR2573087.fastq.gz	NA	NA
DA249	DA249_DA249	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA249_DA249_L1_R1.fastq.gz	NA	NA	ERR2573088.fastq.gz	NA	NA
DA250	DA250_DA250	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA250_DA250_L1_R1.fastq.gz	NA	NA	ERR2573089.fastq.gz	NA	NA
DA251	DA251_DA251	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA251_DA251_L1_R1.fastq.gz	NA	NA	ERR2573090.fastq.gz	NA	NA
DA252	DA252_DA252	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA252_DA252_L1_R1.fastq.gz	NA	NA	ERR2573091.fastq.gz	NA	NA
DA253	DA253_DA253	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA253_DA253_L1_R1.fastq.gz	NA	NA	ERR2573092.fastq.gz	NA	NA
DA334	DA334_DA334	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA334_DA334_L1_R1.fastq.gz	NA	NA	ERR2573078.fastq.gz	NA	NA
DA335	DA335_DA335	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA335_DA335_L1_R1.fastq.gz	NA	NA	ERR2573079.fastq.gz	NA	NA
DA336	DA336_DA336	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA336_DA336_L1_R1.fastq.gz	NA	NA	ERR2573080.fastq.gz	NA	NA
DA337	DA337_DA337	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA337_DA337_L1_R1.fastq.gz	NA	NA	ERR2573081.fastq.gz	NA	NA
DA338	DA338_DA338	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA338_DA338_L1_R1.fastq.gz	NA	NA	ERR2573082.fastq.gz	NA	NA
DA339	DA339_DA339	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA339_DA339_L1_R1.fastq.gz	NA	NA	ERR2573083.fastq.gz	NA	NA
DA340	DA340_DA340	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA340_DA340_L1_R1.fastq.gz	NA	NA	ERR2573055.fastq.gz	NA	NA
DA341	DA341_DA341	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA341_DA341_L1_R1.fastq.gz	NA	NA	ERR2573056.fastq.gz	NA	NA
DA342	DA342_DA342	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA342_DA342_L1_R1.fastq.gz	NA	NA	ERR2573094.fastq.gz	NA	NA
DA344	DA344_DA344	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA344_DA344_L1_R1.fastq.gz	NA	NA	ERR2573095.fastq.gz	NA	NA
DA345	DA345_DA345	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA345_DA345_L1_R1.fastq.gz	NA	NA	ERR2573096.fastq.gz	NA	NA
DA354	DA354_DA354	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA354_DA354_L1_R1.fastq.gz	NA	NA	ERR2573052.fastq.gz	NA	NA
DA355	DA355_DA355	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA355_DA355_L1_R1.fastq.gz	NA	NA	ERR2573097.fastq.gz	NA	NA
DA357	DA357_DA357	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA357_DA357_L1_R1.fastq.gz	NA	NA	ERR2573057.fastq.gz	NA	NA
DA358	DA358_DA358	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA358_DA358_L1_R1.fastq.gz	NA	NA	ERR2573053.fastq.gz	NA	NA
DA359	DA359_DA359	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/DA359_DA359_L1_R1.fastq.gz	NA	NA	ERR2573058.fastq.gz	NA	NA
