Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
0LS03	0LS03_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/0LS03_unspecified_L1_R1.fastq.gz	NA	NA	ERR3262713.fastq.gz	NA	NA
0LS07	0LS07_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/0LS07_unspecified_L1_R1.fastq.gz	NA	NA	ERR3262714.fastq.gz	NA	NA
0LS08	0LS08_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/0LS08_unspecified_L1_R1.fastq.gz	NA	NA	ERR3262715.fastq.gz	NA	NA
0LS09	0LS09_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/0LS09_unspecified_L1_R1.fastq.gz	NA	NA	ERR3262716.fastq.gz	NA	NA
0LS10	0LS10_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/0LS10_unspecified_L1_R1.fastq.gz	NA	NA	ERR3262717.fastq.gz	NA	NA
0LS11	0LS11_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/0LS11_unspecified_L1_R1.fastq.gz	NA	NA	ERR3262718.fastq.gz	NA	NA
IIa	IIa_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/IIa_unspecified_L1_R1.fastq.gz	NA	NA	ERR3262719.fastq.gz	NA	NA
IIf	IIf_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/IIf_unspecified_L1_R1.fastq.gz	NA	NA	ERR3262720.fastq.gz	NA	NA
IIg	IIg_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/IIg_unspecified_L1_R1.fastq.gz	NA	NA	ERR3262721.fastq.gz	NA	NA
IIIt	IIIt_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/IIIt_unspecified_L1_R1.fastq.gz	NA	NA	ERR3262722.fastq.gz	NA	NA
