Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file
VK1	VK1_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK1_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059477.fastq.gz	NA
VK11	VK11_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK11_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059480.fastq.gz	NA
VK20	VK20_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK20_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059487.fastq.gz	NA
VK31	VK31_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK31_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059496.fastq.gz	NA
VK34	VK34_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK34_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059498.fastq.gz	NA
VK40	VK40_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK40_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059501.fastq.gz	NA
VK53	VK53_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK53_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059509.fastq.gz	NA
VK57	VK57_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK57_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059511.fastq.gz	NA
VK69	VK69_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK69_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059517.fastq.gz	NA
VK84	VK84_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK84_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059525.fastq.gz	NA
VK90	VK90_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK90_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059528.fastq.gz	NA
VK94	VK94_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK94_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059530.fastq.gz	NA
VK110	VK110_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK110_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059537.fastq.gz	NA
VK113	VK113_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK113_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059539.fastq.gz	NA
VK116	VK116_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK116_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059541.fastq.gz	NA
VK117	VK117_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK117_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059542.fastq.gz	NA
VK118	VK118_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK118_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059543.fastq.gz	NA
