Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file
ALG002	ALG002_ALG002.A0101.TF1.12	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/ALG002_ALG002.A0101.TF1.12_L1_R1.fastq.gz	NA	NA	ERR4170303.fastq.gz	NA
ALG003	ALG003_ALG003.A0101.TF1.12	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/ALG003_ALG003.A0101.TF1.12_L1_R1.fastq.gz	NA	NA	ERR4170304.fastq.gz	NA
CAO002008	CAO002008_CAO002008.A0101.TF1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/CAO002008_CAO002008.A0101.TF1.1_L1_R1.fastq.gz	NA	NA	ERR4170309.fastq.gz	NA
CAO006	CAO006_CAO006.A0101.TF1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/CAO006_CAO006.A0101.TF1.1_L1_R1.fastq.gz	NA	NA	ERR4170311.fastq.gz	NA
CAO007	CAO007_CAO007.A0101.TF1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/CAO007_CAO007.A0101.TF1.1_L1_R1.fastq.gz	NA	NA	ERR4170312.fastq.gz	NA
CAO012	CAO012_CAO012.A0101.TF1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/CAO012_CAO012.A0101.TF1.1_L1_R1.fastq.gz	NA	NA	ERR4170316.fastq.gz	NA
CAO015	CAO015_CAO015.A0101.TF1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/CAO015_CAO015.A0101.TF1.1_L1_R1.fastq.gz	NA	NA	ERR4170318.fastq.gz	NA
CAO022026	CAO022026_CAO022026.A0101.TF1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/CAO022026_CAO022026.A0101.TF1.1_L1_R1.fastq.gz	NA	NA	ERR4170325.fastq.gz	NA
CAO027	CAO027_CAO027.A0101.TF1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/CAO027_CAO027.A0101.TF1.1_L1_R1.fastq.gz	NA	NA	ERR4170328.fastq.gz	NA
CAO030	CAO030_CAO030.A0101.TF1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/CAO030_CAO030.A0101.TF1.1_L1_R1.fastq.gz	NA	NA	ERR4170331.fastq.gz	NA
