Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
KRA001_ss	KRA001_ss_KRA001.A0102.SG1.1_ss	1	4	SE	Homo sapiens (modern human)	single	none	NA	NA	<PATH_TO_DATA>/KRA001_ss_KRA001.A0102.SG1.1_ss_L1.bam	NA	NA	KRA001.A0102.SG1.1_S0_L007_R1_001.fastq.pair1.truncated.gz
KRA001_ss	KRA001_ss_KRA001.A0102.TF1.1_ss	1	4	SE	Homo sapiens (modern human)	single	none	NA	NA	<PATH_TO_DATA>/KRA001_ss_KRA001.A0102.TF1.1_ss_L1.bam	NA	NA	KRA001.A0102.TF1.1_S0_L004_R1_001.fastq.pair1.truncated.gz
KRA001_ss	KRA001_ss_KRA001.A0202.SG1.1_ss	1	4	SE	Homo sapiens (modern human)	single	none	NA	NA	<PATH_TO_DATA>/KRA001_ss_KRA001.A0202.SG1.1_ss_L1.bam	NA	NA	KRA001.A0202.SG1.1_S0_L007_R1_001.fastq.pair1.truncated.gz
KRA001_ss	KRA001_ss_KRA001.A0202.TF1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA001_ss_KRA001.A0202.TF1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA001_ss_KRA001.A0202.TF1.1_ss_L1_R2.fastq.gz	NA	ERR4300303_1.fastq.gz	ERR4300303_2.fastq.gz	NA
KRA001_ss	KRA001_ss_KRA001.A0302.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA001_ss_KRA001.A0302.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA001_ss_KRA001.A0302.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300043_1.fastq.gz	ERR4300043_2.fastq.gz	NA
KRA001_ss	KRA001_ss_KRA001.A0302.TF1.1_ss	1	4	SE	Homo sapiens (modern human)	single	none	NA	NA	<PATH_TO_DATA>/KRA001_ss_KRA001.A0302.TF1.1_ss_L1.bam	NA	NA	KRA001.A0302.TF1.1_S0_L004_R1_001.fastq.pair1.truncated.gz
KRA001_ss	KRA001_ss_KRA001.B0102.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA001_ss_KRA001.B0102.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA001_ss_KRA001.B0102.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300044_1.fastq.gz	ERR4300044_2.fastq.gz	NA
KRA001_ss	KRA001_ss_KRA001.B0102.TF1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA001_ss_KRA001.B0102.TF1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA001_ss_KRA001.B0102.TF1.1_ss_L1_R2.fastq.gz	NA	ERR4300305_1.fastq.gz	ERR4300305_2.fastq.gz	NA
KRA001_ss	KRA001_ss_KRA001.C0102.SG1.1_ss	1	4	SE	Homo sapiens (modern human)	single	none	NA	NA	<PATH_TO_DATA>/KRA001_ss_KRA001.C0102.SG1.1_ss_L1.bam	NA	NA	KRA001.C0102.SG1.1_S0_L007_R1_001.fastq.pair1.truncated.gz
KRA001_ss	KRA001_ss_KRA001.C0202.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA001_ss_KRA001.C0202.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA001_ss_KRA001.C0202.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300046_1.fastq.gz	ERR4300046_2.fastq.gz	NA
KRA001_ss	KRA001_ss_KRA001.D0102.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA001_ss_KRA001.D0102.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA001_ss_KRA001.D0102.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300047_1.fastq.gz	ERR4300047_2.fastq.gz	NA
KRA001_ss	KRA001_ss_KRA001.D0202.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA001_ss_KRA001.D0202.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA001_ss_KRA001.D0202.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300048_1.fastq.gz	ERR4300048_2.fastq.gz	NA
KRA001_ss	KRA001_ss_KRA001.D0202.TF1.1_ss	1	4	SE	Homo sapiens (modern human)	single	none	NA	NA	<PATH_TO_DATA>/KRA001_ss_KRA001.D0202.TF1.1_ss_L1.bam	NA	NA	KRA001.D0202.TF1.1_S0_L004_R1_001.fastq.pair1.truncated.gz
KRA001_ss	KRA001_ss_KRA001.D0302.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA001_ss_KRA001.D0302.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA001_ss_KRA001.D0302.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300049_1.fastq.gz	ERR4300049_2.fastq.gz	NA
KRA001_ss	KRA001_ss_KRA001.D0402.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA001_ss_KRA001.D0402.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA001_ss_KRA001.D0402.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300050_1.fastq.gz	ERR4300050_2.fastq.gz	NA
KRA001_ss	KRA001_ss_KRA001.D0502.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA001_ss_KRA001.D0502.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA001_ss_KRA001.D0502.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300051_1.fastq.gz	ERR4300051_2.fastq.gz	NA
KRA001_ss	KRA001_ss_KRA001.D0502.TF1.1_ss	1	4	SE	Homo sapiens (modern human)	single	none	NA	NA	<PATH_TO_DATA>/KRA001_ss_KRA001.D0502.TF1.1_ss_L1.bam	NA	NA	KRA001.D0502.TF1.1_S0_L004_R1_001.fastq.pair1.truncated.gz
KRA001_ss	KRA001_ss_KRA001.E0102.SG1.1_ss	1	4	SE	Homo sapiens (modern human)	single	none	NA	NA	<PATH_TO_DATA>/KRA001_ss_KRA001.E0102.SG1.1_ss_L1.bam	NA	NA	KRA001.E0102.SG1.1_S0_L007_R1_001.fastq.pair1.truncated.gz
KRA001_ss	KRA001_ss_KRA001.E0202.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA001_ss_KRA001.E0202.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA001_ss_KRA001.E0202.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300053_1.fastq.gz	ERR4300053_2.fastq.gz	NA
KRA001_ss	KRA001_ss_KRA001.F0102.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA001_ss_KRA001.F0102.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA001_ss_KRA001.F0102.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300054_1.fastq.gz	ERR4300054_2.fastq.gz	NA
KRA001_ss	KRA001_ss_KRA001.F0202.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA001_ss_KRA001.F0202.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA001_ss_KRA001.F0202.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300055_1.fastq.gz	ERR4300055_2.fastq.gz	NA
KRA001_ss	KRA001_ss_KRA001.G0102.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA001_ss_KRA001.G0102.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA001_ss_KRA001.G0102.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300056_1.fastq.gz	ERR4300056_2.fastq.gz	NA
KRA001_ss	KRA001_ss_KRA001.G0102.TF1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA001_ss_KRA001.G0102.TF1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA001_ss_KRA001.G0102.TF1.1_ss_L1_R2.fastq.gz	NA	ERR4300308_1.fastq.gz	ERR4300308_2.fastq.gz	NA
KRA001_ss	KRA001_ss_KRA001.G0202.SG1.1_ss	1	4	SE	Homo sapiens (modern human)	single	none	NA	NA	<PATH_TO_DATA>/KRA001_ss_KRA001.G0202.SG1.1_ss_L1.bam	NA	NA	KRA001.G0202.SG1.1_S0_L007_R1_001.fastq.pair1.truncated.gz
KRA001_ss	KRA001_ss_KRA001.H0102.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA001_ss_KRA001.H0102.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA001_ss_KRA001.H0102.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300058_1.fastq.gz	ERR4300058_2.fastq.gz	NA
KRA001_ss	KRA001_ss_KRA001.H0202.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA001_ss_KRA001.H0202.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA001_ss_KRA001.H0202.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300059_1.fastq.gz	ERR4300059_2.fastq.gz	NA
KRA001_ss	KRA001_ss_KRA001.I0102.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA001_ss_KRA001.I0102.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA001_ss_KRA001.I0102.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300060_1.fastq.gz	ERR4300060_2.fastq.gz	NA
KRA001_ss	KRA001_ss_KRA001.I0202.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA001_ss_KRA001.I0202.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA001_ss_KRA001.I0202.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300061_1.fastq.gz	ERR4300061_2.fastq.gz	NA
KRA001_ss	KRA001_ss_KRA001.J0102.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA001_ss_KRA001.J0102.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA001_ss_KRA001.J0102.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300062_1.fastq.gz	ERR4300062_2.fastq.gz	NA
KRA001_ss	KRA001_ss_KRA001.J0202.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA001_ss_KRA001.J0202.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA001_ss_KRA001.J0202.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300063_1.fastq.gz	ERR4300063_2.fastq.gz	NA
KRA001_ss	KRA001_ss_KRA001.J0202.TF1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA001_ss_KRA001.J0202.TF1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA001_ss_KRA001.J0202.TF1.1_ss_L1_R2.fastq.gz	NA	ERR4300309_1.fastq.gz	ERR4300309_2.fastq.gz	NA
KRA002_ss	KRA002_ss_KRA002.A0101.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA002_ss_KRA002.A0101.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA002_ss_KRA002.A0101.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300064_1.fastq.gz	ERR4300064_2.fastq.gz	NA
KRA002_ss	KRA002_ss_KRA002.A0101.TF1.1_ss	1	4	SE	Homo sapiens (modern human)	single	none	NA	NA	<PATH_TO_DATA>/KRA002_ss_KRA002.A0101.TF1.1_ss_L1.bam	NA	NA	KRA002.A0101.TF1.1_S0_L004_R1_001.fastq.pair1.truncated.gz
KRA002_ss	KRA002_ss_KRA002.A0201.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA002_ss_KRA002.A0201.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA002_ss_KRA002.A0201.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300065_1.fastq.gz	ERR4300065_2.fastq.gz	NA
KRA002_ss	KRA002_ss_KRA002.A0201.TF1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA002_ss_KRA002.A0201.TF1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA002_ss_KRA002.A0201.TF1.1_ss_L1_R2.fastq.gz	NA	ERR4300311_1.fastq.gz	ERR4300311_2.fastq.gz	NA
KRA002_ss	KRA002_ss_KRA002.A0301.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA002_ss_KRA002.A0301.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA002_ss_KRA002.A0301.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300066_1.fastq.gz	ERR4300066_2.fastq.gz	NA
KRA002_ss	KRA002_ss_KRA002.A0301.TF1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA002_ss_KRA002.A0301.TF1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA002_ss_KRA002.A0301.TF1.1_ss_L1_R2.fastq.gz	NA	ERR4300312_1.fastq.gz	ERR4300312_2.fastq.gz	NA
KRA002_ss	KRA002_ss_KRA002.B0101.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA002_ss_KRA002.B0101.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA002_ss_KRA002.B0101.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300067_1.fastq.gz	ERR4300067_2.fastq.gz	NA
KRA002_ss	KRA002_ss_KRA002.B0101.TF1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA002_ss_KRA002.B0101.TF1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA002_ss_KRA002.B0101.TF1.1_ss_L1_R2.fastq.gz	NA	ERR4300313_1.fastq.gz	ERR4300313_2.fastq.gz	NA
KRA002_ss	KRA002_ss_KRA002.C0101.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA002_ss_KRA002.C0101.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA002_ss_KRA002.C0101.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300068_1.fastq.gz	ERR4300068_2.fastq.gz	NA
KRA002_ss	KRA002_ss_KRA002.C0201.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA002_ss_KRA002.C0201.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA002_ss_KRA002.C0201.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300069_1.fastq.gz	ERR4300069_2.fastq.gz	NA
KRA002_ss	KRA002_ss_KRA002.D0101.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA002_ss_KRA002.D0101.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA002_ss_KRA002.D0101.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300070_1.fastq.gz	ERR4300070_2.fastq.gz	NA
KRA002_ss	KRA002_ss_KRA002.D0201.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA002_ss_KRA002.D0201.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA002_ss_KRA002.D0201.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300071_1.fastq.gz	ERR4300071_2.fastq.gz	NA
KRA002_ss	KRA002_ss_KRA002.D0201.TF1.1_ss	1	4	SE	Homo sapiens (modern human)	single	none	NA	NA	<PATH_TO_DATA>/KRA002_ss_KRA002.D0201.TF1.1_ss_L1.bam	NA	NA	KRA002.D0201.TF1.1_S0_L001_R1_001.fastq.pair1.truncated.gz
KRA002_ss	KRA002_ss_KRA002.D0301.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA002_ss_KRA002.D0301.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA002_ss_KRA002.D0301.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300072_1.fastq.gz	ERR4300072_2.fastq.gz	NA
KRA002_ss	KRA002_ss_KRA002.D0401.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA002_ss_KRA002.D0401.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA002_ss_KRA002.D0401.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300073_1.fastq.gz	ERR4300073_2.fastq.gz	NA
KRA002_ss	KRA002_ss_KRA002.D0501.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA002_ss_KRA002.D0501.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA002_ss_KRA002.D0501.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300074_1.fastq.gz	ERR4300074_2.fastq.gz	NA
KRA002_ss	KRA002_ss_KRA002.D0501.TF1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA002_ss_KRA002.D0501.TF1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA002_ss_KRA002.D0501.TF1.1_ss_L1_R2.fastq.gz	NA	ERR4300315_1.fastq.gz	ERR4300315_2.fastq.gz	NA
KRA002_ss	KRA002_ss_KRA002.E0101.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA002_ss_KRA002.E0101.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA002_ss_KRA002.E0101.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300075_1.fastq.gz	ERR4300075_2.fastq.gz	NA
KRA002_ss	KRA002_ss_KRA002.E0201.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA002_ss_KRA002.E0201.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA002_ss_KRA002.E0201.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300076_1.fastq.gz	ERR4300076_2.fastq.gz	NA
KRA002_ss	KRA002_ss_KRA002.F0301.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA002_ss_KRA002.F0301.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA002_ss_KRA002.F0301.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300077_1.fastq.gz	ERR4300077_2.fastq.gz	NA
KRA002_ss	KRA002_ss_KRA002.F0401.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA002_ss_KRA002.F0401.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA002_ss_KRA002.F0401.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300078_1.fastq.gz	ERR4300078_2.fastq.gz	NA
KRA002_ss	KRA002_ss_KRA002.G0101.SG1.1_ss	1	4	PE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/KRA002_ss_KRA002.G0101.SG1.1_ss_L1_R1.fastq.gz	<PATH_TO_DATA>/KRA002_ss_KRA002.G0101.SG1.1_ss_L1_R2.fastq.gz	NA	ERR4300079_1.fastq.gz	ERR4300079_2.fastq.gz	NA
