Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
irk050	irk050_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/irk050_unspecified_L1_R1.fastq.gz	NA	NA	ERR4354257.fastq.gz	NA	NA
bla001	bla001_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/bla001_unspecified_L1_R1.fastq.gz	NA	NA	ERR4337441.fastq.gz	NA	NA
brn001	brn001_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/brn001_unspecified_L1_R1.fastq.gz	NA	NA	ERR4351611.fastq.gz	NA	NA
brn002	brn002_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/brn002_unspecified_L1_R1.fastq.gz	NA	NA	ERR4352043.fastq.gz	NA	NA
brn003	brn003_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/brn003_unspecified_L1_R1.fastq.gz	NA	NA	ERR4352058.fastq.gz	NA	NA
brn008	brn008_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/brn008_unspecified_L1_R1.fastq.gz	NA	NA	ERR4352059.fastq.gz	NA	NA
brn012	brn012_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/brn012_unspecified_L1_R1.fastq.gz	NA	NA	ERR4352060.fastq.gz	NA	NA
cta016	cta016_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/cta016_unspecified_L1_R1.fastq.gz	NA	NA	ERR4352061.fastq.gz	NA	NA
irk051	irk051_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/irk051_unspecified_L1_R1.fastq.gz	NA	NA	ERR4354251.fastq.gz	NA	NA
irk00x	irk00x_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/irk00x_unspecified_L1_R1.fastq.gz	NA	NA	ERR4352064.fastq.gz	NA	NA
irk008	irk008_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/irk008_unspecified_L1_R1.fastq.gz	NA	NA	ERR4352063.fastq.gz	NA	NA
irk017	irk017_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/irk017_unspecified_L1_R1.fastq.gz	NA	NA	ERR4352065.fastq.gz	NA	NA
irk022	irk022_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/irk022_unspecified_L1_R1.fastq.gz	NA	NA	ERR4352066.fastq.gz	NA	NA
irk025	irk025_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/irk025_unspecified_L1_R1.fastq.gz	NA	NA	ERR4352067.fastq.gz	NA	NA
irk030	irk030_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/irk030_unspecified_L1_R1.fastq.gz	NA	NA	ERR4352068.fastq.gz	NA	NA
irk032	irk032_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/irk032_unspecified_L1_R1.fastq.gz	NA	NA	ERR4352069.fastq.gz	NA	NA
irk033	irk033_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/irk033_unspecified_L1_R1.fastq.gz	NA	NA	ERR4352070.fastq.gz	NA	NA
irk034	irk034_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/irk034_unspecified_L1_R1.fastq.gz	NA	NA	ERR4352461.fastq.gz	NA	NA
irk036	irk036_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/irk036_unspecified_L1_R1.fastq.gz	NA	NA	ERR4352124.fastq.gz	NA	NA
irk040	irk040_unspecified	1	4	SE	Homo sapiens (modern human)	double	full	<PATH_TO_DATA>/irk040_unspecified_L1_R1.fastq.gz	NA	NA	ERR4352125.fastq.gz	NA	NA
irk057	irk057_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/irk057_unspecified_L1_R1.fastq.gz	NA	NA	ERR4354256.fastq.gz	NA	NA
irk061	irk061_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/irk061_unspecified_L1_R1.fastq.gz	NA	NA	ERR4354258.fastq.gz	NA	NA
irk068	irk068_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/irk068_unspecified_L1_R1.fastq.gz	NA	NA	ERR4354255.fastq.gz	NA	NA
irk071	irk071_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/irk071_unspecified_L1_R1.fastq.gz	NA	NA	ERR4354253.fastq.gz	NA	NA
irk075	irk075_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/irk075_unspecified_L1_R1.fastq.gz	NA	NA	ERR4354252.fastq.gz	NA	NA
irk076	irk076_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/irk076_unspecified_L1_R1.fastq.gz	NA	NA	ERR4354259.fastq.gz	NA	NA
irk078	irk078_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/irk078_unspecified_L1_R1.fastq.gz	NA	NA	ERR4354250.fastq.gz	NA	NA
yak022	yak022_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/yak022_unspecified_L1_R1.fastq.gz	NA	NA	ERR4354261.fastq.gz	NA	NA
yak023	yak023_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/yak023_unspecified_L1_R1.fastq.gz	NA	NA	ERR4354263.fastq.gz	NA	NA
yak024	yak024_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/yak024_unspecified_L1_R1.fastq.gz	NA	NA	ERR4354262.fastq.gz	NA	NA
yak025	yak025_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/yak025_unspecified_L1_R1.fastq.gz	NA	NA	ERR4354260.fastq.gz	NA	NA
kra001	kra001_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/kra001_unspecified_L1_R1.fastq.gz	NA	NA	ERR4354265.fastq.gz	NA	NA
mak026	mak026_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/mak026_unspecified_L1_R1.fastq.gz	NA	NA	ERR4354254.fastq.gz	NA	NA
N2a	N2a_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/N2a_unspecified_L1_R1.fastq.gz	NA	NA	ERR4351612.fastq.gz	NA	NA
