Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file
BLS001	BLS001_BLS001.A0101.MT1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BLS001_BLS001.A0101.MT1.1_L1_R1.fastq.gz	NA	NA	ERR6667569.fastq.gz	NA
BLS001	BLS001_BLS001.A0101.TF1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BLS001_BLS001.A0101.TF1.1_L1_R1.fastq.gz	NA	NA	ERR6667570.fastq.gz	NA
BLS002	BLS002_BLS002.A0101.MT1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BLS002_BLS002.A0101.MT1.1_L1_R1.fastq.gz	NA	NA	ERR6667571.fastq.gz	NA
BLS002	BLS002_BLS002.A0101.TF1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BLS002_BLS002.A0101.TF1.1_L1_R1.fastq.gz	NA	NA	ERR6667572.fastq.gz	NA
BNL001	BNL001_BNL001.A0101.MT1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BNL001_BNL001.A0101.MT1.1_L1_R1.fastq.gz	NA	NA	ERR6667573.fastq.gz	NA
BNL001	BNL001_BNL001.A0101.TF1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BNL001_BNL001.A0101.TF1.1_L1_R1.fastq.gz	NA	NA	ERR6667574.fastq.gz	NA
BNL002	BNL002_BNL002.C0101.MT1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BNL002_BNL002.C0101.MT1.1_L1_R1.fastq.gz	NA	NA	ERR6667575.fastq.gz	NA
BNL002	BNL002_BNL002.C0101.TF1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BNL002_BNL002.C0101.TF1.1_L1_R1.fastq.gz	NA	NA	ERR6667576.fastq.gz	NA
BNL003	BNL003_BNL003.A0101.MT1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BNL003_BNL003.A0101.MT1.1_L1_R1.fastq.gz	NA	NA	ERR6667577.fastq.gz	NA
BNL003	BNL003_BNL003.A0101.TF1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BNL003_BNL003.A0101.TF1.1_L1_R1.fastq.gz	NA	NA	ERR6667578.fastq.gz	NA
BNL004	BNL004_BNL004.A0101.MT1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BNL004_BNL004.A0101.MT1.1_L1_R1.fastq.gz	NA	NA	ERR6667579.fastq.gz	NA
BNL004	BNL004_BNL004.A0101.TF1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BNL004_BNL004.A0101.TF1.1_L1_R1.fastq.gz	NA	NA	ERR6667580.fastq.gz	NA
BNL005	BNL005_BNL005.A0101.MT1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BNL005_BNL005.A0101.MT1.1_L1_R1.fastq.gz	NA	NA	ERR6667581.fastq.gz	NA
BNL005	BNL005_BNL005.A0101.TF1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BNL005_BNL005.A0101.TF1.1_L1_R1.fastq.gz	NA	NA	ERR6667582.fastq.gz	NA
