Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file
I13617	I13617_ERS8208107	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I13617_ERS8208107_L1_R1.fastq.gz	NA	NA	ERR7194812.fastq.gz	NA
I11717	I11717_ERS8207945	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11717_ERS8207945_L1_R1.fastq.gz	NA	NA	ERR7194650.fastq.gz	NA
I16616	I16616_ERS8208689	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16616_ERS8208689_L1_R1.fastq.gz	NA	NA	ERR7195394.fastq.gz	NA
I16782	I16782_ERS8208700	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16782_ERS8208700_L1_R1.fastq.gz	NA	NA	ERR7195405.fastq.gz	NA
I17014	I17014_ERS8208706	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I17014_ERS8208706_L1_R1.fastq.gz	NA	NA	ERR7195411.fastq.gz	NA
I11716	I11716_ERS8207944	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11716_ERS8207944_L1_R1.fastq.gz	NA	NA	ERR7194649.fastq.gz	NA
I11717	I11717_ERS8207946	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11717_ERS8207946_L1_R1.fastq.gz	NA	NA	ERR7194651.fastq.gz	NA
I11994	I11994_ERS8207966	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11994_ERS8207966_L1_R1.fastq.gz	NA	NA	ERR7194671.fastq.gz	NA
I11721	I11721_ERS8207949	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11721_ERS8207949_L1_R1.fastq.gz	NA	NA	ERR7194654.fastq.gz	NA
I11721	I11721_ERS8207950	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11721_ERS8207950_L1_R1.fastq.gz	NA	NA	ERR7194655.fastq.gz	NA
I11722	I11722_ERS8207951	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11722_ERS8207951_L1_R1.fastq.gz	NA	NA	ERR7194656.fastq.gz	NA
I11722	I11722_ERS8207952	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11722_ERS8207952_L1_R1.fastq.gz	NA	NA	ERR7194657.fastq.gz	NA
I11971	I11971_ERS8207953	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11971_ERS8207953_L1_R1.fastq.gz	NA	NA	ERR7194658.fastq.gz	NA
I12103	I12103_ERS8207986	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12103_ERS8207986_L1_R1.fastq.gz	NA	NA	ERR7194691.fastq.gz	NA
I12103	I12103_ERS8207985	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12103_ERS8207985_L1_R1.fastq.gz	NA	NA	ERR7194690.fastq.gz	NA
I12414	I12414_ERS8208013	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12414_ERS8208013_L1_R1.fastq.gz	NA	NA	ERR7194718.fastq.gz	NA
I12412	I12412_ERS8208009	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12412_ERS8208009_L1_R1.fastq.gz	NA	NA	ERR7194714.fastq.gz	NA
I12413	I12413_ERS8208011	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12413_ERS8208011_L1_R1.fastq.gz	NA	NA	ERR7194716.fastq.gz	NA
I12314	I12314_ERS8208004	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12314_ERS8208004_L1_R1.fastq.gz	NA	NA	ERR7194709.fastq.gz	NA
I12314	I12314_ERS8208003	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12314_ERS8208003_L1_R1.fastq.gz	NA	NA	ERR7194708.fastq.gz	NA
I12171	I12171_ERS8207998	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12171_ERS8207998_L1_R1.fastq.gz	NA	NA	ERR7194703.fastq.gz	NA
I12313	I12313_ERS8208002	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12313_ERS8208002_L1_R1.fastq.gz	NA	NA	ERR7194707.fastq.gz	NA
I12413	I12413_ERS8208012	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12413_ERS8208012_L1_R1.fastq.gz	NA	NA	ERR7194717.fastq.gz	NA
I12411	I12411_ERS8208008	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12411_ERS8208008_L1_R1.fastq.gz	NA	NA	ERR7194713.fastq.gz	NA
