Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file
BER001	BER001_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/BER001_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032504.fastq.gz	NA
PES001	PES001_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/PES001_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032506.fastq.gz	NA
BOL001	BOL001_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/BOL001_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032507.fastq.gz	NA
HAN001	HAN001_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/HAN001_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032512.fastq.gz	NA
HAN003	HAN003_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/HAN003_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032514.fastq.gz	NA
BOL002	BOL002_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/BOL002_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032508.fastq.gz	NA
IVA001	IVA001_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/IVA001_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032516.fastq.gz	NA
HAL001	HAL001_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/HAL001_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032511.fastq.gz	NA
HAN002	HAN002_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/HAN002_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032513.fastq.gz	NA
MIL002	MIL002_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/MIL002_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032518.fastq.gz	NA
NAU001	NAU001_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NAU001_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032520.fastq.gz	NA
NAU002	NAU002_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NAU002_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032521.fastq.gz	NA
HAN004	HAN004_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/HAN004_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032515.fastq.gz	NA
RDT002	RDT002_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/RDT002_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032531.fastq.gz	NA
TIM009	TIM009_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/TIM009_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032541.fastq.gz	NA
VOR004	VOR004_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VOR004_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032548.fastq.gz	NA
MIL001	MIL001_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/MIL001_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032517.fastq.gz	NA
NIK001	NIK001_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NIK001_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032522.fastq.gz	NA
NIK002	NIK002_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NIK002_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032523.fastq.gz	NA
NIK003	NIK003_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NIK003_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032524.fastq.gz	NA
NIK007	NIK007_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NIK007_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032528.fastq.gz	NA
RDT001	RDT001_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/RDT001_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032530.fastq.gz	NA
RDT004	RDT004_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/RDT004_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032533.fastq.gz	NA
SKO001	SKO001_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/SKO001_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032534.fastq.gz	NA
TIM008	TIM008_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/TIM008_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032540.fastq.gz	NA
VOD001	VOD001_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VOD001_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032544.fastq.gz	NA
VOR002	VOR002_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VOR002_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032546.fastq.gz	NA
SOP002	SOP002_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/SOP002_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032550.fastq.gz	NA
KAR001	KAR001_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/KAR001_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032505.fastq.gz	NA
BOL003	BOL003_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/BOL003_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032509.fastq.gz	NA
GOL001	GOL001_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/GOL001_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032510.fastq.gz	NA
MOT001	MOT001_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/MOT001_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032519.fastq.gz	NA
NIK004	NIK004_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NIK004_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032525.fastq.gz	NA
NIK005	NIK005_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NIK005_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032526.fastq.gz	NA
NIK006	NIK006_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NIK006_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032527.fastq.gz	NA
NIK008AB	NIK008AB_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NIK008AB_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032529.fastq.gz	NA
RDT003	RDT003_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/RDT003_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032532.fastq.gz	NA
TIM001	TIM001_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/TIM001_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032535.fastq.gz	NA
TIM002	TIM002_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/TIM002_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032536.fastq.gz	NA
TIM003	TIM003_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/TIM003_unspecified_L1_R1.fastq.gz	NA	NA	ERR5032537.fastq.gz	NA
