Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
cay004	cay004_cay004_L004	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/cay004_cay004_L004_L1_R1.fastq.gz	NA	NA	ERR12146335.fastq.gz	NA	NA
cay004	cay004_cay004_L002	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/cay004_cay004_L002_L1_R1.fastq.gz	NA	NA	ERR12155864.fastq.gz	NA	NA
cay004	cay004_cay004_L001	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/cay004_cay004_L001_L1_R1.fastq.gz	NA	NA	ERR12157470.fastq.gz	NA	NA
cay004	cay004_cay004_L003	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/cay004_cay004_L003_L1_R1.fastq.gz	NA	NA	ERR12144758.fastq.gz	NA	NA
cay004	cay004_cay004	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/cay004_cay004_L1_R1.fastq.gz	NA	NA	ERR8263073.fastq.gz	NA	NA
cay007	cay007_cay007_L003	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/cay007_cay007_L003_L1_R1.fastq.gz	NA	NA	ERR12155924.fastq.gz	NA	NA
cay007	cay007_cay007_L001_200114	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/cay007_cay007_L001_200114_L1_R1.fastq.gz	NA	NA	ERR12180193.fastq.gz	NA	NA
cay007	cay007_cay007_L001_211126	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/cay007_cay007_L001_211126_L1_R1.fastq.gz	NA	NA	ERR12207680.fastq.gz	NA	NA
cay007	cay007_cay007	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/cay007_cay007_L1_R1.fastq.gz	NA	NA	ERR9576228.fastq.gz	NA	NA
cay007	cay007_cay004_L002	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/cay007_cay004_L002_L1_R1.fastq.gz	NA	NA	ERR12161239.fastq.gz	NA	NA
cay008	cay008_cay008_L002_191016	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/cay008_cay008_L002_191016_L1_R1.fastq.gz	NA	NA	ERR12180300.fastq.gz	NA	NA
cay008	cay008_cay008_L002_200114	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/cay008_cay008_L002_200114_L1_R1.fastq.gz	NA	NA	ERR12185233.fastq.gz	NA	NA
cay008	cay008_cay008	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/cay008_cay008_L1_R1.fastq.gz	NA	NA	ERR8263074.fastq.gz	NA	NA
cay008	cay008_cay008_L003	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/cay008_cay008_L003_L1_R1.fastq.gz	NA	NA	ERR12160447.fastq.gz	NA	NA
cay011	cay011_cay011_L003	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/cay011_cay011_L003_L1_R1.fastq.gz	NA	NA	ERR12160865.fastq.gz	NA	NA
cay011	cay011_cay011_L002	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/cay011_cay011_L002_L1_R1.fastq.gz	NA	NA	ERR12184466.fastq.gz	NA	NA
cay011	cay011_cay011	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/cay011_cay011_L1_R1.fastq.gz	NA	NA	ERR8263070.fastq.gz	NA	NA
cay012	cay012_cay012_L003_L1_300920	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/cay012_cay012_L003_L1_300920_L1_R1.fastq.gz	NA	NA	ERR12161463.fastq.gz	NA	NA
cay012	cay012_cay012_L003	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/cay012_cay012_L003_L1_R1.fastq.gz	NA	NA	ERR12161467.fastq.gz	NA	NA
cay012	cay012_cay012_L002	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/cay012_cay012_L002_L1_R1.fastq.gz	NA	NA	ERR12165670.fastq.gz	NA	NA
cay012	cay012_cay012	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/cay012_cay012_L1_R1.fastq.gz	NA	NA	ERR8263069.fastq.gz	NA	NA
cay013	cay013_cay013_L001	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/cay013_cay013_L001_L1_R1.fastq.gz	NA	NA	ERR12180812.fastq.gz	NA	NA
cay013	cay013_cay013_L002	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/cay013_cay013_L002_L1_R1.fastq.gz	NA	NA	ERR12180813.fastq.gz	NA	NA
cay013	cay013_cay013	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/cay013_cay013_L1_R1.fastq.gz	NA	NA	ERR9576229.fastq.gz	NA	NA
cay013	cay013_cay013_L003	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/cay013_cay013_L003_L1_R1.fastq.gz	NA	NA	ERR12161649.fastq.gz	NA	NA
