Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file
Att3	Att3_Att3	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Att3_Att3_L1_R1.fastq.gz	<PATH_TO_DATA>/Att3_Att3_L1_R2.fastq.gz	NA	ERR8613007_1.fastq.gz	ERR8613007_2.fastq.gz
BLH447	BLH447_BLH447	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BLH447_BLH447_L1_R1.fastq.gz	<PATH_TO_DATA>/BLH447_BLH447_L1_R2.fastq.gz	NA	ERR8613013_1.fastq.gz	ERR8613013_2.fastq.gz
BUCH48-2	BUCH48-2_BUCH48-2	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BUCH48-2_BUCH48-2_L1_R1.fastq.gz	<PATH_TO_DATA>/BUCH48-2_BUCH48-2_L1_R2.fastq.gz	NA	ERR8613017_1.fastq.gz	ERR8613017_2.fastq.gz
CLR23	CLR23_CLR23	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/CLR23_CLR23_L1_R1.fastq.gz	<PATH_TO_DATA>/CLR23_CLR23_L1_R2.fastq.gz	NA	ERR8613020_1.fastq.gz	ERR8613020_2.fastq.gz
CLR35	CLR35_CLR35	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/CLR35_CLR35_L1_R1.fastq.gz	<PATH_TO_DATA>/CLR35_CLR35_L1_R2.fastq.gz	NA	ERR8613023_1.fastq.gz	ERR8613023_2.fastq.gz
CROI12-2	CROI12-2_CROI12-2	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/CROI12-2_CROI12-2_L1_R1.fastq.gz	<PATH_TO_DATA>/CROI12-2_CROI12-2_L1_R2.fastq.gz	NA	ERR8613029_1.fastq.gz	ERR8613029_2.fastq.gz
GDF1348	GDF1348_GDF1348	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/GDF1348_GDF1348_L1_R1.fastq.gz	<PATH_TO_DATA>/GDF1348_GDF1348_L1_R2.fastq.gz	NA	ERR8613034_1.fastq.gz	ERR8613034_2.fastq.gz
GLN126B	GLN126B_GLN126B	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/GLN126B_GLN126B_L1_R1.fastq.gz	<PATH_TO_DATA>/GLN126B_GLN126B_L1_R2.fastq.gz	NA	ERR8613037_1.fastq.gz	ERR8613037_2.fastq.gz
GLN141	GLN141_GLN141	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/GLN141_GLN141_L1_R1.fastq.gz	<PATH_TO_DATA>/GLN141_GLN141_L1_R2.fastq.gz	NA	ERR8613038_1.fastq.gz	ERR8613038_2.fastq.gz
GLN32	GLN32_GLN32	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/GLN32_GLN32_L1_R1.fastq.gz	<PATH_TO_DATA>/GLN32_GLN32_L1_R2.fastq.gz	NA	ERR8613040_1.fastq.gz	ERR8613040_2.fastq.gz
PAL170	PAL170_PAL170	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/PAL170_PAL170_L1_R1.fastq.gz	<PATH_TO_DATA>/PAL170_PAL170_L1_R2.fastq.gz	NA	ERR8613043_1.fastq.gz	ERR8613043_2.fastq.gz
PT7	PT7_PT7	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/PT7_PT7_L1_R1.fastq.gz	<PATH_TO_DATA>/PT7_PT7_L1_R2.fastq.gz	NA	ERR8613047_1.fastq.gz	ERR8613047_2.fastq.gz
VAS79-2	VAS79-2_VAS79-2	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/VAS79-2_VAS79-2_L1_R1.fastq.gz	<PATH_TO_DATA>/VAS79-2_VAS79-2_L1_R2.fastq.gz	NA	ERR8613053_1.fastq.gz	ERR8613053_2.fastq.gz
WET429	WET429_WET429	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/WET429_WET429_L1_R1.fastq.gz	<PATH_TO_DATA>/WET429_WET429_L1_R2.fastq.gz	NA	ERR8613054_1.fastq.gz	ERR8613054_2.fastq.gz
BPV1455	BPV1455_BPV1455	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BPV1455_BPV1455_L1_R1.fastq.gz	<PATH_TO_DATA>/BPV1455_BPV1455_L1_R2.fastq.gz	NA	ERR8613015_1.fastq.gz	ERR8613015_2.fastq.gz
CLR24	CLR24_CLR24	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/CLR24_CLR24_L1_R1.fastq.gz	<PATH_TO_DATA>/CLR24_CLR24_L1_R2.fastq.gz	NA	ERR8613021_1.fastq.gz	ERR8613021_2.fastq.gz
GDF1349B	GDF1349B_GDF1349B	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/GDF1349B_GDF1349B_L1_R1.fastq.gz	<PATH_TO_DATA>/GDF1349B_GDF1349B_L1_R2.fastq.gz	NA	ERR8613035_1.fastq.gz	ERR8613035_2.fastq.gz
ISL6950	ISL6950_ISL6950	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/ISL6950_ISL6950_L1_R1.fastq.gz	<PATH_TO_DATA>/ISL6950_ISL6950_L1_R2.fastq.gz	NA	ERR8613042_1.fastq.gz	ERR8613042_2.fastq.gz
SCPG2	SCPG2_SCPG2	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/SCPG2_SCPG2_L1_R1.fastq.gz	<PATH_TO_DATA>/SCPG2_SCPG2_L1_R2.fastq.gz	NA	ERR8613048_1.fastq.gz	ERR8613048_2.fastq.gz
Att52-2	Att52-2_Att52-2	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Att52-2_Att52-2_L1_R1.fastq.gz	<PATH_TO_DATA>/Att52-2_Att52-2_L1_R2.fastq.gz	NA	ERR8613008_1.fastq.gz	ERR8613008_2.fastq.gz
bES1249	bES1249_BES1249	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/bES1249_BES1249_L1_R1.fastq.gz	<PATH_TO_DATA>/bES1249_BES1249_L1_R2.fastq.gz	NA	ERR8613011_1.fastq.gz	ERR8613011_2.fastq.gz
BFT228	BFT228_BFT228	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BFT228_BFT228_L1_R1.fastq.gz	<PATH_TO_DATA>/BFT228_BFT228_L1_R2.fastq.gz	NA	ERR8613012_1.fastq.gz	ERR8613012_2.fastq.gz
BPV1445	BPV1445_BPV1445	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BPV1445_BPV1445_L1_R1.fastq.gz	<PATH_TO_DATA>/BPV1445_BPV1445_L1_R2.fastq.gz	NA	ERR8613014_1.fastq.gz	ERR8613014_2.fastq.gz
BUCH48-1	BUCH48-1_BUCH48-1	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BUCH48-1_BUCH48-1_L1_R1.fastq.gz	<PATH_TO_DATA>/BUCH48-1_BUCH48-1_L1_R2.fastq.gz	NA	ERR8613016_1.fastq.gz	ERR8613016_2.fastq.gz
CHF106	CHF106_CHF106	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/CHF106_CHF106_L1_R1.fastq.gz	<PATH_TO_DATA>/CHF106_CHF106_L1_R2.fastq.gz	NA	ERR8613019_1.fastq.gz	ERR8613019_2.fastq.gz
CLR44	CLR44_CLR44	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/CLR44_CLR44_L1_R1.fastq.gz	<PATH_TO_DATA>/CLR44_CLR44_L1_R2.fastq.gz	NA	ERR8613024_1.fastq.gz	ERR8613024_2.fastq.gz
CROI1-4	CROI1-4_CROI1-4	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/CROI1-4_CROI1-4_L1_R1.fastq.gz	<PATH_TO_DATA>/CROI1-4_CROI1-4_L1_R2.fastq.gz	NA	ERR8613027_1.fastq.gz	ERR8613027_2.fastq.gz
CROI11	CROI11_CROI11	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/CROI11_CROI11_L1_R1.fastq.gz	<PATH_TO_DATA>/CROI11_CROI11_L1_R2.fastq.gz	NA	ERR8613028_1.fastq.gz	ERR8613028_2.fastq.gz
GDF1264	GDF1264_GDF1264	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/GDF1264_GDF1264_L1_R1.fastq.gz	<PATH_TO_DATA>/GDF1264_GDF1264_L1_R2.fastq.gz	NA	ERR8613032_1.fastq.gz	ERR8613032_2.fastq.gz
Gox287	Gox287_Gox287	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Gox287_Gox287_L1_R1.fastq.gz	<PATH_TO_DATA>/Gox287_Gox287_L1_R2.fastq.gz	NA	ERR8613041_1.fastq.gz	ERR8613041_2.fastq.gz
Pech3	Pech3_Pech3	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Pech3_Pech3_L1_R1.fastq.gz	<PATH_TO_DATA>/Pech3_Pech3_L1_R2.fastq.gz	NA	ERR8613044_1.fastq.gz	ERR8613044_2.fastq.gz
Pech9	Pech9_Pech9	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Pech9_Pech9_L1_R1.fastq.gz	<PATH_TO_DATA>/Pech9_Pech9_L1_R2.fastq.gz	NA	ERR8613045_1.fastq.gz	ERR8613045_2.fastq.gz
VAS75	VAS75_VAS75	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/VAS75_VAS75_L1_R1.fastq.gz	<PATH_TO_DATA>/VAS75_VAS75_L1_R2.fastq.gz	NA	ERR8613052_1.fastq.gz	ERR8613052_2.fastq.gz
Att27	Att27_Att27	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Att27_Att27_L1_R1.fastq.gz	<PATH_TO_DATA>/Att27_Att27_L1_R2.fastq.gz	NA	ERR8613006_1.fastq.gz	ERR8613006_2.fastq.gz
CLR31	CLR31_CLR31	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/CLR31_CLR31_L1_R1.fastq.gz	<PATH_TO_DATA>/CLR31_CLR31_L1_R2.fastq.gz	NA	ERR8613022_1.fastq.gz	ERR8613022_2.fastq.gz
Col330	Col330_Col330	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Col330_Col330_L1_R1.fastq.gz	<PATH_TO_DATA>/Col330_Col330_L1_R2.fastq.gz	NA	ERR8613026_1.fastq.gz	ERR8613026_2.fastq.gz
GDF1341	GDF1341_GDF1341	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/GDF1341_GDF1341_L1_R1.fastq.gz	<PATH_TO_DATA>/GDF1341_GDF1341_L1_R2.fastq.gz	NA	ERR8613033_1.fastq.gz	ERR8613033_2.fastq.gz
UN129	UN129_UN129	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/UN129_UN129_L1_R1.fastq.gz	<PATH_TO_DATA>/UN129_UN129_L1_R2.fastq.gz	NA	ERR8613049_1.fastq.gz	ERR8613049_2.fastq.gz
UN85	UN85_UN85	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/UN85_UN85_L1_R1.fastq.gz	<PATH_TO_DATA>/UN85_UN85_L1_R2.fastq.gz	NA	ERR8613051_1.fastq.gz	ERR8613051_2.fastq.gz
BES1096B	BES1096B_BES1096B	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BES1096B_BES1096B_L1_R1.fastq.gz	<PATH_TO_DATA>/BES1096B_BES1096B_L1_R2.fastq.gz	NA	ERR8613009_1.fastq.gz	ERR8613009_2.fastq.gz
BES1154	BES1154_BES1154	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BES1154_BES1154_L1_R1.fastq.gz	<PATH_TO_DATA>/BES1154_BES1154_L1_R2.fastq.gz	NA	ERR8613010_1.fastq.gz	ERR8613010_2.fastq.gz
BUCH82	BUCH82_BUCH82	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BUCH82_BUCH82_L1_R1.fastq.gz	<PATH_TO_DATA>/BUCH82_BUCH82_L1_R2.fastq.gz	NA	ERR8613018_1.fastq.gz	ERR8613018_2.fastq.gz
Col239	Col239_Col239	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Col239_Col239_L1_R1.fastq.gz	<PATH_TO_DATA>/Col239_Col239_L1_R2.fastq.gz	NA	ERR8613025_1.fastq.gz	ERR8613025_2.fastq.gz
ERS83-2	ERS83-2_ERS83-2	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/ERS83-2_ERS83-2_L1_R1.fastq.gz	<PATH_TO_DATA>/ERS83-2_ERS83-2_L1_R2.fastq.gz	NA	ERR8613030_1.fastq.gz	ERR8613030_2.fastq.gz
GDF1231	GDF1231_GDF1231	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/GDF1231_GDF1231_L1_R1.fastq.gz	<PATH_TO_DATA>/GDF1231_GDF1231_L1_R2.fastq.gz	NA	ERR8613031_1.fastq.gz	ERR8613031_2.fastq.gz
GLN126A	GLN126A_GLN126A	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/GLN126A_GLN126A_L1_R1.fastq.gz	<PATH_TO_DATA>/GLN126A_GLN126A_L1_R2.fastq.gz	NA	ERR8613036_1.fastq.gz	ERR8613036_2.fastq.gz
