Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file
ADN004_ss	ADN004_ss_ADN004.A0101_ss	1	4	SE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/ADN004_ss_ADN004.A0101_ss_L1_R1.fastq.gz	NA	NA	ERR10035991.fastq.gz	NA
ADN002_ss	ADN002_ss_ADN002.A0101_ss	1	4	SE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/ADN002_ss_ADN002.A0101_ss_L1_R1.fastq.gz	NA	NA	ERR10035989.fastq.gz	NA
ADN003_ss	ADN003_ss_ADN003.A0101_ss	1	4	SE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/ADN003_ss_ADN003.A0101_ss_L1_R1.fastq.gz	NA	NA	ERR10035990.fastq.gz	NA
ADN005_ss	ADN005_ss_ADN005.A0101_ss	1	4	SE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/ADN005_ss_ADN005.A0101_ss_L1_R1.fastq.gz	NA	NA	ERR10035992.fastq.gz	NA
ADN008_ss	ADN008_ss_ADN008.A0101_ss	1	4	SE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/ADN008_ss_ADN008.A0101_ss_L1_R1.fastq.gz	NA	NA	ERR10035995.fastq.gz	NA
ADN009_ss	ADN009_ss_ADN009.A0101_ss	1	4	SE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/ADN009_ss_ADN009.A0101_ss_L1_R1.fastq.gz	NA	NA	ERR10035996.fastq.gz	NA
ADN007_ss	ADN007_ss_ADN007.A0101_ss	1	4	SE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/ADN007_ss_ADN007.A0101_ss_L1_R1.fastq.gz	NA	NA	ERR10035994.fastq.gz	NA
ADN010_ss	ADN010_ss_ADN010.A0101_ss	1	4	SE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/ADN010_ss_ADN010.A0101_ss_L1_R1.fastq.gz	NA	NA	ERR10035997.fastq.gz	NA
ADN014_ss	ADN014_ss_ADN014.A0201_ss	1	4	SE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/ADN014_ss_ADN014.A0201_ss_L1_R1.fastq.gz	NA	NA	ERR10036001.fastq.gz	NA
ADN012_ss	ADN012_ss_ADN012.A0201_ss	1	4	SE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/ADN012_ss_ADN012.A0201_ss_L1_R1.fastq.gz	NA	NA	ERR10035999.fastq.gz	NA
ADN015_ss	ADN015_ss_ADN015.A0201_ss	1	4	SE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/ADN015_ss_ADN015.A0201_ss_L1_R1.fastq.gz	NA	NA	ERR10036002.fastq.gz	NA
ADN013_ss	ADN013_ss_ADN013.A0201_ss	1	4	SE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/ADN013_ss_ADN013.A0201_ss_L1_R1.fastq.gz	NA	NA	ERR10036000.fastq.gz	NA
BUK001_ss	BUK001_ss_BUK001.A0201_ss	1	4	SE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/BUK001_ss_BUK001.A0201_ss_L1_R1.fastq.gz	NA	NA	ERR10036004.fastq.gz	NA
ADN001_ss	ADN001_ss_ADN001.A0101_ss	1	4	SE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/ADN001_ss_ADN001.A0101_ss_L1_R1.fastq.gz	NA	NA	ERR10035988.fastq.gz	NA
