Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
BRO001	BRO001_SG1/MV7	1	4	PE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/BRO001_SG1/MV7_L1_R1.fastq.gz	<PATH_TO_DATA>/BRO001_SG1/MV7_L1_R2.fastq.gz	NA	ERR9939488_1.fastq.gz	ERR9939488_2.fastq.gz	NA
BRO001	BRO001_SG1	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/BRO001_SG1_L1_R1.fastq.gz	NA	NA	ERR9966703.fastq.gz	NA	NA
EDI111	EDI111_SG1	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/EDI111_SG1_L1_R1.fastq.gz	NA	NA	ERR9966697.fastq.gz	NA	NA
EDI111	EDI111_SG1	2	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/EDI111_SG1_L2_R1.fastq.gz	NA	NA	ERR9966699.fastq.gz	NA	NA
EDI111	EDI111_SG1	3	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/EDI111_SG1_L3_R1.fastq.gz	NA	NA	ERR9966700.fastq.gz	NA	NA
EDI111	EDI111_SG1	4	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/EDI111_SG1_L4_R1.fastq.gz	NA	NA	ERR9966701.fastq.gz	NA	NA
EDI111	EDI111_SG1	5	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/EDI111_SG1_L5_R1.fastq.gz	NA	NA	ERR9966698.fastq.gz	NA	NA
EDI111	EDI111_SG1	6	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/EDI111_SG1_L6_R1.fastq.gz	NA	NA	ERR9966702.fastq.gz	NA	NA
JDS005	JDS005_SG1	1	4	PE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/JDS005_SG1_L1_R1.fastq.gz	<PATH_TO_DATA>/JDS005_SG1_L1_R2.fastq.gz	NA	ERR9939483_1.fastq.gz	ERR9939483_2.fastq.gz	NA
JDS005	JDS005_SG1	2	4	PE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/JDS005_SG1_L2_R1.fastq.gz	<PATH_TO_DATA>/JDS005_SG1_L2_R2.fastq.gz	NA	ERR9939487_1.fastq.gz	ERR9939487_2.fastq.gz	NA
