Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file
I24541	I24541_I24541.1240k	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I24541_I24541.1240k_L1_R1.fastq.gz	NA	NA	ERR7735759.fastq.gz	NA
I19169_ss	I19169_ss_I19169.1240k_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I19169_ss_I19169.1240k_ss_L1_R1.fastq.gz	NA	NA	ERR7735761.fastq.gz	NA
I20428_ss	I20428_ss_I20428.1240k_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I20428_ss_I20428.1240k_ss_L1_R1.fastq.gz	NA	NA	ERR7735763.fastq.gz	NA
I24540	I24540_I24540.1240k	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I24540_I24540.1240k_L1_R1.fastq.gz	NA	NA	ERR7735764.fastq.gz	NA
I3442	I3442_I3442.1240k	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I3442_I3442.1240k_L1_R1.fastq.gz	NA	NA	ERR7735767.fastq.gz	NA
I19942_ss	I19942_ss_I19942.1240k_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I19942_ss_I19942.1240k_ss_L1_R1.fastq.gz	NA	NA	ERR7735768.fastq.gz	NA
I19944_ss	I19944_ss_I19944.1240k_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I19944_ss_I19944.1240k_ss_L1_R1.fastq.gz	NA	NA	ERR7735770.fastq.gz	NA
I19950_ss	I19950_ss_I19950.1240k_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I19950_ss_I19950.1240k_ss_L1_R1.fastq.gz	NA	NA	ERR7735773.fastq.gz	NA
I3442	I3442_I3442_all.1240k	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I3442_I3442_all.1240k_L1_R1.fastq.gz	NA	NA	ERR7735779.fastq.gz	NA
I19169_ss	I19169_ss_I19169.mt_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I19169_ss_I19169.mt_ss_L1_R1.fastq.gz	NA	NA	ERR7735782.fastq.gz	NA
I20428_ss	I20428_ss_I20428.mt_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I20428_ss_I20428.mt_ss_L1_R1.fastq.gz	NA	NA	ERR7735784.fastq.gz	NA
I5454	I5454_I5454.mt	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I5454_I5454.mt_L1_R1.fastq.gz	NA	NA	ERR7735787.fastq.gz	NA
I19942_ss	I19942_ss_I19942.mt_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I19942_ss_I19942.mt_ss_L1_R1.fastq.gz	NA	NA	ERR7735789.fastq.gz	NA
I19167_ss	I19167_ss_I19167.mt_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I19167_ss_I19167.mt_ss_L1_R1.fastq.gz	NA	NA	ERR7735790.fastq.gz	NA
