Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
AKT16-2	AKT16-2_SL1_1	1	4	PE	Homo sapiens (modern human)	double	full	<PATH_TO_DATA>/AKT16-2_SL1_1_L1_R1.fastq.gz	<PATH_TO_DATA>/AKT16-2_SL1_1_L1_R2.fastq.gz	NA	ERR8702979_1.fastq.gz	ERR8702979_2.fastq.gz	NA
AKT16-2	AKT16-2_SL2_7	1	4	SE	Homo sapiens (modern human)	double	full	<PATH_TO_DATA>/AKT16-2_SL2_7_L1_R1.fastq.gz	NA	NA	ERR8607038.fastq.gz	NA	NA
AKT16-2	AKT16-2_SL1_1	2	4	SE	Homo sapiens (modern human)	double	full	<PATH_TO_DATA>/AKT16-2_SL1_1_L2_R1.fastq.gz	NA	NA	ERR8607106.fastq.gz	NA	NA
AKT16-2	AKT16-2_SL2_7	2	4	SE	Homo sapiens (modern human)	double	full	<PATH_TO_DATA>/AKT16-2_SL2_7_L2_R1.fastq.gz	NA	NA	ERR8607126.fastq.gz	NA	NA
AKT16-2	AKT16-2_SL1_1	3	4	SE	Homo sapiens (modern human)	double	full	<PATH_TO_DATA>/AKT16-2_SL1_1_L3_R1.fastq.gz	NA	NA	ERR8607093.fastq.gz	NA	NA
AKT16-2	AKT16-2_SL2_7	3	4	SE	Homo sapiens (modern human)	double	full	<PATH_TO_DATA>/AKT16-2_SL2_7_L3_R1.fastq.gz	NA	NA	ERR8607238.fastq.gz	NA	NA
AKT16-2	AKT16-2_SL2_7	4	4	SE	Homo sapiens (modern human)	double	full	<PATH_TO_DATA>/AKT16-2_SL2_7_L4_R1.fastq.gz	NA	NA	ERR8607239.fastq.gz	NA	NA
AKT16-2	AKT16-2_SL2_7	5	4	SE	Homo sapiens (modern human)	double	full	<PATH_TO_DATA>/AKT16-2_SL2_7_L5_R1.fastq.gz	NA	NA	ERR8607230.fastq.gz	NA	NA
AKT16-2	AKT16-2_SL3_3	1	4	SE	Homo sapiens (modern human)	double	full	<PATH_TO_DATA>/AKT16-2_SL3_3_L1_R1.fastq.gz	NA	NA	ERR8607283.fastq.gz	NA	NA
AKT16-2	AKT16-2_SL3_3	2	4	SE	Homo sapiens (modern human)	double	full	<PATH_TO_DATA>/AKT16-2_SL3_3_L2_R1.fastq.gz	NA	NA	ERR8607289.fastq.gz	NA	NA
AKT16-2	AKT16-2_SL3_4	1	4	SE	Homo sapiens (modern human)	double	full	<PATH_TO_DATA>/AKT16-2_SL3_4_L1_R1.fastq.gz	NA	NA	ERR8607290.fastq.gz	NA	NA
