Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
I10871	I10871_ERS12753319	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I10871_ERS12753319_L1_R1.fastq.gz	NA	NA	ERR10086760.fastq.gz	NA	NA
I10871	I10871_ERS12753320	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I10871_ERS12753320_L1_R1.fastq.gz	NA	NA	ERR10087254.fastq.gz	NA	NA
I10871	I10871_ERS12753323	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I10871_ERS12753323_L1_R1.fastq.gz	NA	NA	ERR10087257.fastq.gz	NA	NA
I10871	I10871_ERS12753325	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I10871_ERS12753325_L1_R1.fastq.gz	NA	NA	ERR10087259.fastq.gz	NA	NA
I10871	I10871_ERS12753326	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I10871_ERS12753326_L1_R1.fastq.gz	NA	NA	ERR10087260.fastq.gz	NA	NA
I10872	I10872_ERS12753329	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I10872_ERS12753329_L1_R1.fastq.gz	NA	NA	ERR10087263.fastq.gz	NA	NA
I10872	I10872_ERS12753333	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I10872_ERS12753333_L1_R1.fastq.gz	NA	NA	ERR10087267.fastq.gz	NA	NA
I11857	I11857_ERS12753336	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I11857_ERS12753336_L1_R1.fastq.gz	NA	NA	ERR10087270.fastq.gz	NA	NA
I11857	I11857_ERS12753339	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I11857_ERS12753339_L1_R1.fastq.gz	NA	NA	ERR10087273.fastq.gz	NA	NA
I13982	I13982_ERS12753345	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I13982_ERS12753345_L1_R1.fastq.gz	NA	NA	ERR10087279.fastq.gz	NA	NA
I1507	I1507_ERS12753351	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I1507_ERS12753351_L1_R1.fastq.gz	NA	NA	ERR10087285.fastq.gz	NA	NA
I1507	I1507_ERS12753352	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I1507_ERS12753352_L1_R1.fastq.gz	NA	NA	ERR10087286.fastq.gz	NA	NA
I1507	I1507_ERS12753354	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I1507_ERS12753354_L1_R1.fastq.gz	NA	NA	ERR10087288.fastq.gz	NA	NA
I1583	I1583_ERS12753358	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I1583_ERS12753358_L1_R1.fastq.gz	NA	NA	ERR10087292.fastq.gz	NA	NA
I1633	I1633_ERS12753360	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I1633_ERS12753360_L1_R1.fastq.gz	NA	NA	ERR10087294.fastq.gz	NA	NA
I1633	I1633_ERS12753363	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I1633_ERS12753363_L1_R1.fastq.gz	NA	NA	ERR10087297.fastq.gz	NA	NA
I1633	I1633_ERS12753364	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I1633_ERS12753364_L1_R1.fastq.gz	NA	NA	ERR10087298.fastq.gz	NA	NA
I1960	I1960_ERS12753369	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I1960_ERS12753369_L1_R1.fastq.gz	NA	NA	ERR10087303.fastq.gz	NA	NA
I1960	I1960_ERS12753372	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I1960_ERS12753372_L1_R1.fastq.gz	NA	NA	ERR10087306.fastq.gz	NA	NA
I1961	I1961_ERS12753373	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I1961_ERS12753373_L1_R1.fastq.gz	NA	NA	ERR10087307.fastq.gz	NA	NA
I1961	I1961_ERS12753375	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I1961_ERS12753375_L1_R1.fastq.gz	NA	NA	ERR10087309.fastq.gz	NA	NA
I20703	I20703_ERS12753382	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I20703_ERS12753382_L1_R1.fastq.gz	NA	NA	ERR10087316.fastq.gz	NA	NA
I20703	I20703_ERS12753383	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I20703_ERS12753383_L1_R1.fastq.gz	NA	NA	ERR10087317.fastq.gz	NA	NA
I20703	I20703_ERS12753384	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I20703_ERS12753384_L1_R1.fastq.gz	NA	NA	ERR10087318.fastq.gz	NA	NA
I20703	I20703_ERS12753387	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I20703_ERS12753387_L1_R1.fastq.gz	NA	NA	ERR10087321.fastq.gz	NA	NA
I20720	I20720_ERS12753391	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I20720_ERS12753391_L1_R1.fastq.gz	NA	NA	ERR10087325.fastq.gz	NA	NA
I20720	I20720_ERS12753393	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I20720_ERS12753393_L1_R1.fastq.gz	NA	NA	ERR10087327.fastq.gz	NA	NA
I21299	I21299_ERS12753404	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I21299_ERS12753404_L1_R1.fastq.gz	NA	NA	ERR10087338.fastq.gz	NA	NA
I2520	I2520_ERS12753413	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I2520_ERS12753413_L1_R1.fastq.gz	NA	NA	ERR10087347.fastq.gz	NA	NA
I2520	I2520_ERS12753414	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I2520_ERS12753414_L1_R1.fastq.gz	NA	NA	ERR10087348.fastq.gz	NA	NA
I2520	I2520_ERS12753415	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I2520_ERS12753415_L1_R1.fastq.gz	NA	NA	ERR10087349.fastq.gz	NA	NA
I2818	I2818_ERS12753417	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I2818_ERS12753417_L1_R1.fastq.gz	NA	NA	ERR10087351.fastq.gz	NA	NA
I2818	I2818_ERS12753419	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I2818_ERS12753419_L1_R1.fastq.gz	NA	NA	ERR10087353.fastq.gz	NA	NA
I2861	I2861_ERS12753424	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I2861_ERS12753424_L1_R1.fastq.gz	NA	NA	ERR10087358.fastq.gz	NA	NA
I4532	I4532_ERS12753432	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I4532_ERS12753432_L1_R1.fastq.gz	NA	NA	ERR10087366.fastq.gz	NA	NA
I4532	I4532_ERS12753434	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I4532_ERS12753434_L1_R1.fastq.gz	NA	NA	ERR10087368.fastq.gz	NA	NA
I4795	I4795_ERS12753436	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I4795_ERS12753436_L1_R1.fastq.gz	NA	NA	ERR10087370.fastq.gz	NA	NA
