Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
n/a	n/a_poz296	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_poz296_L1_R1.fastq.gz	NA	NA	ERR11488204.fastq.gz	NA	NA
n/a	n/a_poz462	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_poz462_L1_R1.fastq.gz	NA	NA	ERR11488206.fastq.gz	NA	NA
n/a	n/a_poz498	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_poz498_L1_R1.fastq.gz	NA	NA	ERR11488207.fastq.gz	NA	NA
n/a	n/a_poz502	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_poz502_L1_R1.fastq.gz	NA	NA	ERR11488209.fastq.gz	NA	NA
n/a	n/a_poz507	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_poz507_L1_R1.fastq.gz	NA	NA	ERR11488212.fastq.gz	NA	NA
n/a	n/a_poz530	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_poz530_L1_R1.fastq.gz	NA	NA	ERR11488215.fastq.gz	NA	NA
n/a	n/a_poz533	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_poz533_L1_R1.fastq.gz	NA	NA	ERR11488217.fastq.gz	NA	NA
n/a	n/a_poz534	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_poz534_L1_R1.fastq.gz	NA	NA	ERR11488218.fastq.gz	NA	NA
n/a	n/a_poz535	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_poz535_L1_R1.fastq.gz	NA	NA	ERR11488219.fastq.gz	NA	NA
n/a	n/a_poz537	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_poz537_L1_R1.fastq.gz	NA	NA	ERR11488220.fastq.gz	NA	NA
n/a	n/a_poz545	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_poz545_L1_R1.fastq.gz	NA	NA	ERR11488223.fastq.gz	NA	NA
n/a	n/a_poz545	2	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_poz545_L2_R1.fastq.gz	NA	NA	ERR11488224.fastq.gz	NA	NA
n/a	n/a_poz551	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_poz551_L1_R1.fastq.gz	NA	NA	ERR11488225.fastq.gz	NA	NA
