Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file
CBE003	CBE003_CBE003.A0101.TF1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/CBE003_CBE003.A0101.TF1.1_L1_R1.fastq.gz	NA	NA	ERR11769644.fastq.gz	NA
CUB002	CUB002_CUB002.A0101.TF1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/CUB002_CUB002.A0101.TF1.1_L1_R1.fastq.gz	NA	NA	ERR11769646.fastq.gz	NA
GA4002	GA4002_GA4002.A0101.TF1.1_2	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/GA4002_GA4002.A0101.TF1.1_2_L1_R1.fastq.gz	NA	NA	ERR11769654.fastq.gz	NA
JBT009	JBT009_JBT009.A0101.TF1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/JBT009_JBT009.A0101.TF1.1_L1_R1.fastq.gz	NA	NA	ERR11769657.fastq.gz	NA
JBT011	JBT011_JBT011.A0101.TF1.1_2	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/JBT011_JBT011.A0101.TF1.1_2_L1_R1.fastq.gz	NA	NA	ERR11769659.fastq.gz	NA
JBT015	JBT015_JBT015.A0101.TF1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/JBT015_JBT015.A0101.TF1.1_L1_R1.fastq.gz	NA	NA	ERR11769663.fastq.gz	NA
JBT025	JBT025_JBT025.A0101.TF1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/JBT025_JBT025.A0101.TF1.1_L1_R1.fastq.gz	NA	NA	ERR11769670.fastq.gz	NA
JBT026	JBT026_JBT026.A0101.TF1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/JBT026_JBT026.A0101.TF1.1_L1_R1.fastq.gz	NA	NA	ERR11769671.fastq.gz	NA
CBE004	CBE004_CBE004.A0101.MT1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/CBE004_CBE004.A0101.MT1.1_L1_R1.fastq.gz	NA	NA	ERR11770484.fastq.gz	NA
CUB002	CUB002_CUB002.A0101.MT1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/CUB002_CUB002.A0101.MT1.1_L1_R1.fastq.gz	NA	NA	ERR11770485.fastq.gz	NA
CUB008	CUB008_CUB008.A0101.MT1.1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/CUB008_CUB008.A0101.MT1.1_L1_R1.fastq.gz	NA	NA	ERR11770486.fastq.gz	NA
EPS002	EPS002_EPS002.A0101.MT1.1_2	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/EPS002_EPS002.A0101.MT1.1_2_L1_R1.fastq.gz	NA	NA	ERR11770488.fastq.gz	NA
EPS004	EPS004_EPS004.A0101.MT1.1_2	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/EPS004_EPS004.A0101.MT1.1_2_L1_R1.fastq.gz	NA	NA	ERR11770490.fastq.gz	NA
