Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
Sk197	Sk197_A-BEDTA1-UDG1-10_6-PCR1	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Sk197_A-BEDTA1-UDG1-10_6-PCR1_L1_R1.fastq.gz	<PATH_TO_DATA>/Sk197_A-BEDTA1-UDG1-10_6-PCR1_L1_R2.fastq.gz	NA	ERR8649459_1.fastq.gz	ERR8649459_2.fastq.gz	NA
Sk197	Sk197_A-BEDTA1-UDG1-10_6-PCR1	2	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Sk197_A-BEDTA1-UDG1-10_6-PCR1_L2_R1.fastq.gz	<PATH_TO_DATA>/Sk197_A-BEDTA1-UDG1-10_6-PCR1_L2_R2.fastq.gz	NA	ERR8649460_1.fastq.gz	ERR8649460_2.fastq.gz	NA
Sk197	Sk197_A-BEDTA1-UDG1-2_5-PCR1	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Sk197_A-BEDTA1-UDG1-2_5-PCR1_L1_R1.fastq.gz	<PATH_TO_DATA>/Sk197_A-BEDTA1-UDG1-2_5-PCR1_L1_R2.fastq.gz	NA	ERR8649465_1.fastq.gz	ERR8649465_2.fastq.gz	NA
Sk197	Sk197_A-BEDTA1-UDG1-2_5-PCR1	2	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Sk197_A-BEDTA1-UDG1-2_5-PCR1_L2_R1.fastq.gz	<PATH_TO_DATA>/Sk197_A-BEDTA1-UDG1-2_5-PCR1_L2_R2.fastq.gz	NA	ERR8649466_1.fastq.gz	ERR8649466_2.fastq.gz	NA
Sk197	Sk197_A-BEDTA1-UDG1-3_5-PCR1	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Sk197_A-BEDTA1-UDG1-3_5-PCR1_L1_R1.fastq.gz	<PATH_TO_DATA>/Sk197_A-BEDTA1-UDG1-3_5-PCR1_L1_R2.fastq.gz	NA	ERR8649467_1.fastq.gz	ERR8649467_2.fastq.gz	NA
Sk197	Sk197_A-BEDTA1-UDG1-5_5-PCR1	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Sk197_A-BEDTA1-UDG1-5_5-PCR1_L1_R1.fastq.gz	<PATH_TO_DATA>/Sk197_A-BEDTA1-UDG1-5_5-PCR1_L1_R2.fastq.gz	NA	ERR8649472_1.fastq.gz	ERR8649472_2.fastq.gz	NA
Sk197	Sk197_A-BEDTA1-UDG1-8_6-PCR1	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Sk197_A-BEDTA1-UDG1-8_6-PCR1_L1_R1.fastq.gz	<PATH_TO_DATA>/Sk197_A-BEDTA1-UDG1-8_6-PCR1_L1_R2.fastq.gz	NA	ERR8649478_1.fastq.gz	ERR8649478_2.fastq.gz	NA
Sk197	Sk197_A-BEDTA1-UDG1-9_6-PCR1	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Sk197_A-BEDTA1-UDG1-9_6-PCR1_L1_R1.fastq.gz	<PATH_TO_DATA>/Sk197_A-BEDTA1-UDG1-9_6-PCR1_L1_R2.fastq.gz	NA	ERR8649479_1.fastq.gz	ERR8649479_2.fastq.gz	NA
Sk197	Sk197_A-BEDTA1-UDG2-35_10-PCR2	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Sk197_A-BEDTA1-UDG2-35_10-PCR2_L1_R1.fastq.gz	<PATH_TO_DATA>/Sk197_A-BEDTA1-UDG2-35_10-PCR2_L1_R2.fastq.gz	NA	ERR8649487_1.fastq.gz	ERR8649487_2.fastq.gz	NA
Sk197	Sk197_A-BEDTA1-UDG2-35_10-PCR2	2	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Sk197_A-BEDTA1-UDG2-35_10-PCR2_L2_R1.fastq.gz	<PATH_TO_DATA>/Sk197_A-BEDTA1-UDG2-35_10-PCR2_L2_R2.fastq.gz	NA	ERR8649488_1.fastq.gz	ERR8649488_2.fastq.gz	NA
Sk197	Sk197_A-BEDTA1-UDG2-36_10-PCR1	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Sk197_A-BEDTA1-UDG2-36_10-PCR1_L1_R1.fastq.gz	<PATH_TO_DATA>/Sk197_A-BEDTA1-UDG2-36_10-PCR1_L1_R2.fastq.gz	NA	ERR8649490_1.fastq.gz	ERR8649490_2.fastq.gz	NA
Sk197	Sk197_A-BEDTA1-UDG2-37_10-PCR1	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Sk197_A-BEDTA1-UDG2-37_10-PCR1_L1_R1.fastq.gz	<PATH_TO_DATA>/Sk197_A-BEDTA1-UDG2-37_10-PCR1_L1_R2.fastq.gz	NA	ERR8649491_1.fastq.gz	ERR8649491_2.fastq.gz	NA
Sk197	Sk197_A-BEDTA1-UDG2-39_11-PCR1	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Sk197_A-BEDTA1-UDG2-39_11-PCR1_L1_R1.fastq.gz	<PATH_TO_DATA>/Sk197_A-BEDTA1-UDG2-39_11-PCR1_L1_R2.fastq.gz	NA	ERR8649495_1.fastq.gz	ERR8649495_2.fastq.gz	NA
Sk197	Sk197_A-BEDTA1-UDG2-41_11-PCR1	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Sk197_A-BEDTA1-UDG2-41_11-PCR1_L1_R1.fastq.gz	<PATH_TO_DATA>/Sk197_A-BEDTA1-UDG2-41_11-PCR1_L1_R2.fastq.gz	NA	ERR8649500_1.fastq.gz	ERR8649500_2.fastq.gz	NA
