Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
BOG019	BOG019_BOG019	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/BOG019_BOG019_L1_R1.fastq.gz	NA	NA	ERR9576661.fastq.gz	NA	NA
BOG019	BOG019_BOG019_L003	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/BOG019_BOG019_L003_L1_R1.fastq.gz	NA	NA	ERR13158333.fastq.gz	NA	NA
BOG020	BOG020_BOG020_L002	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/BOG020_BOG020_L002_L1_R1.fastq.gz	NA	NA	ERR13159657.fastq.gz	NA	NA
BOG020	BOG020_BOG020_L003	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/BOG020_BOG020_L003_L1_R1.fastq.gz	NA	NA	ERR13158559.fastq.gz	NA	NA
BOG020	BOG020_BOG020	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/BOG020_BOG020_L1_R1.fastq.gz	NA	NA	ERR9584736.fastq.gz	NA	NA
BOG024	BOG024_BOG024_L002	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/BOG024_BOG024_L002_L1_R1.fastq.gz	NA	NA	ERR13159352.fastq.gz	NA	NA
BOG024	BOG024_BOG024	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/BOG024_BOG024_L1_R1.fastq.gz	NA	NA	ERR9576660.fastq.gz	NA	NA
BOG024	BOG024_BOG024_L003	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/BOG024_BOG024_L003_L1_R1.fastq.gz	NA	NA	ERR13158256.fastq.gz	NA	NA
BOG028	BOG028_BOG028_L003	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/BOG028_BOG028_L003_L1_R1.fastq.gz	NA	NA	ERR13158328.fastq.gz	NA	NA
BOG028	BOG028_BOG028_L002	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/BOG028_BOG028_L002_L1_R1.fastq.gz	NA	NA	ERR13158803.fastq.gz	NA	NA
BOG028	BOG028_BOG028	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/BOG028_BOG028_L1_R1.fastq.gz	NA	NA	ERR9577056.fastq.gz	NA	NA
CTG025	CTG025_CTG025_all	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/CTG025_CTG025_all_L1_R1.fastq.gz	NA	NA	ERR13156113.fastq.gz	NA	NA
CTG025	CTG025_CTG025	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/CTG025_CTG025_L1_R1.fastq.gz	NA	NA	ERR9575727.fastq.gz	NA	NA
G23	G23_G23_L8	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/G23_G23_L8_L1_R1.fastq.gz	NA	NA	ERR13231253.fastq.gz	NA	NA
G23	G23_G23_ree006_L5	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/G23_G23_ree006_L5_L1_R1.fastq.gz	NA	NA	ERR13231255.fastq.gz	NA	NA
G23	G23_G23_L6	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/G23_G23_L6_L1_R1.fastq.gz	NA	NA	ERR13231254.fastq.gz	NA	NA
G23	G23_G23_L5	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/G23_G23_L5_L1_R1.fastq.gz	NA	NA	ERR13231264.fastq.gz	NA	NA
G23	G23_G23_ree006	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/G23_G23_ree006_L1_R1.fastq.gz	NA	NA	ERR9584737.fastq.gz	NA	NA
G31	G31_G31	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/G31_G31_L1_R1.fastq.gz	NA	NA	ERR10035143.fastq.gz	NA	NA
