Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file
I1116	I1116_I1116	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I1116_I1116_L1_R1.fastq.gz	NA	NA	ERR12121073.fastq.gz	NA
I12991	I12991_I12991	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12991_I12991_L1_R1.fastq.gz	NA	NA	ERR12121075.fastq.gz	NA
I13458	I13458_I13458	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I13458_I13458_L1_R1.fastq.gz	NA	NA	ERR12121077.fastq.gz	NA
I15232	I15232_I15232	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15232_I15232_L1_R1.fastq.gz	NA	NA	ERR12121079.fastq.gz	NA
I15485	I15485_I15485	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15485_I15485_L1_R1.fastq.gz	NA	NA	ERR12121081.fastq.gz	NA
I15486	I15486_I15486	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15486_I15486_L1_R1.fastq.gz	NA	NA	ERR12121083.fastq.gz	NA
I15487	I15487_I15487	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15487_I15487_L1_R1.fastq.gz	NA	NA	ERR12121085.fastq.gz	NA
I15488	I15488_I15488	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15488_I15488_L1_R1.fastq.gz	NA	NA	ERR12121087.fastq.gz	NA
I15489	I15489_I15489	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15489_I15489_L1_R1.fastq.gz	NA	NA	ERR12121089.fastq.gz	NA
I15490	I15490_I15490	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15490_I15490_L1_R1.fastq.gz	NA	NA	ERR12121091.fastq.gz	NA
I15491	I15491_I15491	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15491_I15491_L1_R1.fastq.gz	NA	NA	ERR12121093.fastq.gz	NA
I15492	I15492_I15492	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15492_I15492_L1_R1.fastq.gz	NA	NA	ERR12121095.fastq.gz	NA
I15493	I15493_I15493	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15493_I15493_L1_R1.fastq.gz	NA	NA	ERR12121097.fastq.gz	NA
I15494	I15494_I15494	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15494_I15494_L1_R1.fastq.gz	NA	NA	ERR12121099.fastq.gz	NA
I15495	I15495_I15495	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15495_I15495_L1_R1.fastq.gz	NA	NA	ERR12121101.fastq.gz	NA
I15496	I15496_I15496	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15496_I15496_L1_R1.fastq.gz	NA	NA	ERR12121103.fastq.gz	NA
