Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file
BOL001_suzdal	BOL001_suzdal_BOL001.A0102	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BOL001_suzdal_BOL001.A0102_L1_R1.fastq.gz	NA	NA	ERR10557701.fastq.gz	NA
BOL002_suzdal	BOL002_suzdal_BOL002.A0101	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BOL002_suzdal_BOL002.A0101_L1_R1.fastq.gz	<PATH_TO_DATA>/BOL002_suzdal_BOL002.A0101_L1_R2.fastq.gz	NA	ERR10557691_1.fastq.gz	ERR10557691_2.fastq.gz
BOL003_suzdal	BOL003_suzdal_BOL003.A0101	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BOL003_suzdal_BOL003.A0101_L1_R1.fastq.gz	NA	NA	ERR10557702.fastq.gz	NA
BOL004	BOL004_BOL004.A0101	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BOL004_BOL004.A0101_L1_R1.fastq.gz	<PATH_TO_DATA>/BOL004_BOL004.A0101_L1_R2.fastq.gz	NA	ERR10557692_1.fastq.gz	ERR10557692_2.fastq.gz
BOL005	BOL005_BOL005.A0101	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BOL005_BOL005.A0101_L1_R1.fastq.gz	NA	NA	ERR10557703.fastq.gz	NA
BOL006	BOL006_BOL006.A0101	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BOL006_BOL006.A0101_L1_R1.fastq.gz	<PATH_TO_DATA>/BOL006_BOL006.A0101_L1_R2.fastq.gz	NA	ERR10557693_1.fastq.gz	ERR10557693_2.fastq.gz
BOL007	BOL007_BOL007.A0101	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BOL007_BOL007.A0101_L1_R1.fastq.gz	<PATH_TO_DATA>/BOL007_BOL007.A0101_L1_R2.fastq.gz	NA	ERR10557694_1.fastq.gz	ERR10557694_2.fastq.gz
BOL008	BOL008_BOL008.A0101	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BOL008_BOL008.A0101_L1_R1.fastq.gz	<PATH_TO_DATA>/BOL008_BOL008.A0101_L1_R2.fastq.gz	NA	ERR10557695_1.fastq.gz	ERR10557695_2.fastq.gz
BOL009	BOL009_BOL009.A0101	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/BOL009_BOL009.A0101_L1_R1.fastq.gz	<PATH_TO_DATA>/BOL009_BOL009.A0101_L1_R2.fastq.gz	NA	ERR10557696_1.fastq.gz	ERR10557696_2.fastq.gz
GOR001_ss	GOR001_ss_GOR001.A0101_ss	1	4	SE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/GOR001_ss_GOR001.A0101_ss_L1_R1.fastq.gz	NA	NA	ERR10557704.fastq.gz	NA
GOS001_ss	GOS001_ss_GOS001.A0101_ss	1	4	SE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/GOS001_ss_GOS001.A0101_ss_L1_R1.fastq.gz	NA	NA	ERR10557705.fastq.gz	NA
GOS002_ss	GOS002_ss_GOS002.A0101_ss	1	4	SE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/GOS002_ss_GOS002.A0101_ss_L1_R1.fastq.gz	NA	NA	ERR10557706.fastq.gz	NA
GOS003_ss	GOS003_ss_GOS003.A0101_ss	1	4	SE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/GOS003_ss_GOS003.A0101_ss_L1_R1.fastq.gz	NA	NA	ERR10557707.fastq.gz	NA
KBL002	KBL002_KBL002.A0101	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/KBL002_KBL002.A0101_L1_R1.fastq.gz	<PATH_TO_DATA>/KBL002_KBL002.A0101_L1_R2.fastq.gz	NA	ERR10557697_1.fastq.gz	ERR10557697_2.fastq.gz
KBL003	KBL003_KBL003.A0101	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/KBL003_KBL003.A0101_L1_R1.fastq.gz	NA	NA	ERR10557708.fastq.gz	NA
KED001	KED001_KED001.A0101	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/KED001_KED001.A0101_L1_R1.fastq.gz	NA	NA	ERR10557709.fastq.gz	NA
KED002	KED002_KED002.A0101	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/KED002_KED002.A0101_L1_R1.fastq.gz	NA	NA	ERR10557710.fastq.gz	NA
KED003	KED003_KED003.A0101	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/KED003_KED003.A0101_L1_R1.fastq.gz	NA	NA	ERR10557711.fastq.gz	NA
KED004	KED004_KED004.A0101	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/KED004_KED004.A0101_L1_R1.fastq.gz	NA	NA	ERR10557712.fastq.gz	NA
KRS001	KRS001_KRS001.A0101	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/KRS001_KRS001.A0101_L1_R1.fastq.gz	<PATH_TO_DATA>/KRS001_KRS001.A0101_L1_R2.fastq.gz	NA	ERR10557698_1.fastq.gz	ERR10557698_2.fastq.gz
SHE001	SHE001_SHE001.A0101	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/SHE001_SHE001.A0101_L1_R1.fastq.gz	<PATH_TO_DATA>/SHE001_SHE001.A0101_L1_R2.fastq.gz	NA	ERR10557699_1.fastq.gz	ERR10557699_2.fastq.gz
SHE002	SHE002_SHE002.A0101	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/SHE002_SHE002.A0101_L1_R1.fastq.gz	NA	NA	ERR10557713.fastq.gz	NA
SHE003	SHE003_SHE003.A0101	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/SHE003_SHE003.A0101_L1_R1.fastq.gz	NA	NA	ERR10557714.fastq.gz	NA
SHE004	SHE004_SHE004.A0101	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/SHE004_SHE004.A0101_L1_R1.fastq.gz	<PATH_TO_DATA>/SHE004_SHE004.A0101_L1_R2.fastq.gz	NA	ERR10557700_1.fastq.gz	ERR10557700_2.fastq.gz
SHE005_ss	SHE005_ss_SHE005.A0101_ss	1	4	SE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/SHE005_ss_SHE005.A0101_ss_L1_R1.fastq.gz	NA	NA	ERR10557715.fastq.gz	NA
SHE006_ss	SHE006_ss_SHE006.A0101_ss	1	4	SE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/SHE006_ss_SHE006.A0101_ss_L1_R1.fastq.gz	NA	NA	ERR10557716.fastq.gz	NA
SHE007_ss	SHE007_ss_SHE007.A0101_ss	1	4	SE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/SHE007_ss_SHE007.A0101_ss_L1_R1.fastq.gz	NA	NA	ERR10557717.fastq.gz	NA
SHE008_ss	SHE008_ss_SHE008.A0101_ss	1	4	SE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/SHE008_ss_SHE008.A0101_ss_L1_R1.fastq.gz	NA	NA	ERR10557718.fastq.gz	NA
SHE009_ss	SHE009_ss_SHE009.A0101_ss	1	4	SE	Homo sapiens (modern human)	single	none	<PATH_TO_DATA>/SHE009_ss_SHE009.A0101_ss_L1_R1.fastq.gz	NA	NA	ERR10557719.fastq.gz	NA
SHK001	SHK001_SHK001.A0101	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/SHK001_SHK001.A0101_L1_R1.fastq.gz	NA	NA	ERR10557720.fastq.gz	NA
SHK002	SHK002_SHK002.A0101	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/SHK002_SHK002.A0101_L1_R1.fastq.gz	NA	NA	ERR10557721.fastq.gz	NA
