Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file
BRO300	BRO300_bro300	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/BRO300_bro300_L1_R1.fastq.gz	NA	NA	ERR10643270.fastq.gz	NA
ENB200	ENB200_enb200	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/ENB200_enb200_L1_R1.fastq.gz	NA	NA	ERR10643271.fastq.gz	NA
ENB508	ENB508_enb508	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/ENB508_enb508_L1_R1.fastq.gz	NA	NA	ERR10643272.fastq.gz	NA
GOR358	GOR358_gor358	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/GOR358_gor358_L1_R1.fastq.gz	NA	NA	ERR10643278.fastq.gz	NA
KRO001	KRO001_kro001	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/KRO001_kro001_L1_R1.fastq.gz	NA	NA	ERR10643281.fastq.gz	NA
KRO002	KRO002_kro002	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/KRO002_kro002_L1_R1.fastq.gz	NA	NA	ERR10643282.fastq.gz	NA
KRO008	KRO008_kro008	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/KRO008_kro008_L1_R1.fastq.gz	NA	NA	ERR10643285.fastq.gz	NA
KRO009	KRO009_kro009	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/KRO009_kro009_L1_R1.fastq.gz	NA	NA	ERR10643286.fastq.gz	NA
KRO010	KRO010_kro010	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/KRO010_kro010_L1_R1.fastq.gz	NA	NA	ERR10643287.fastq.gz	NA
KRO013	KRO013_kro013	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/KRO013_kro013_L1_R1.fastq.gz	NA	NA	ERR10643290.fastq.gz	NA
KRO014	KRO014_kro014	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/KRO014_kro014_L1_R1.fastq.gz	NA	NA	ERR10643291.fastq.gz	NA
KVI001	KVI001_kvi001	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/KVI001_kvi001_L1_R1.fastq.gz	NA	NA	ERR10643293.fastq.gz	NA
RTP001	RTP001_rtp001	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/RTP001_rtp001_L1_R1.fastq.gz	NA	NA	ERR10643297.fastq.gz	NA
