Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file
KCA-3089	KCA-3089_KCA-3089	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/KCA-3089_KCA-3089_L1_R1.fastq.gz	NA	NA	ERR11518429.fastq.gz	NA
KCA-1108	KCA-1108_KCA-1108	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/KCA-1108_KCA-1108_L1_R1.fastq.gz	NA	NA	ERR11518434.fastq.gz	NA
KCA-1364	KCA-1364_KCA-1364	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/KCA-1364_KCA-1364_L1_R1.fastq.gz	NA	NA	ERR11518435.fastq.gz	NA
MP13	MP13_MP13	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/MP13_MP13_L1_R1.fastq.gz	<PATH_TO_DATA>/MP13_MP13_L1_R2.fastq.gz	NA	ERR11518444.fastq.gz	ERR11518444_1.fastq.gz
KMA-28-1	KMA-28-1_KMA-28-1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/KMA-28-1_KMA-28-1_L1_R1.fastq.gz	NA	NA	ERR11518463.fastq.gz	NA
MP33	MP33_MP33	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/MP33_MP33_L1_R1.fastq.gz	<PATH_TO_DATA>/MP33_MP33_L1_R2.fastq.gz	NA	ERR11518465.fastq.gz	ERR11518465_1.fastq.gz
MP42B	MP42B_MP42B	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/MP42B_MP42B_L1_R1.fastq.gz	<PATH_TO_DATA>/MP42B_MP42B_L1_R2.fastq.gz	NA	ERR11518471.fastq.gz	ERR11518471_1.fastq.gz
MP42A	MP42A_MP42A	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/MP42A_MP42A_L1_R1.fastq.gz	<PATH_TO_DATA>/MP42A_MP42A_L1_R2.fastq.gz	NA	ERR11518472.fastq.gz	ERR11518472_1.fastq.gz
MP48B	MP48B_MP48B	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/MP48B_MP48B_L1_R1.fastq.gz	<PATH_TO_DATA>/MP48B_MP48B_L1_R2.fastq.gz	NA	ERR11518477.fastq.gz	ERR11518477_1.fastq.gz
MP50A	MP50A_MP50A	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/MP50A_MP50A_L1_R1.fastq.gz	<PATH_TO_DATA>/MP50A_MP50A_L1_R2.fastq.gz	NA	ERR11518484.fastq.gz	ERR11518484_1.fastq.gz
MP4f	MP4f_MP4f	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/MP4f_MP4f_L1_R1.fastq.gz	<PATH_TO_DATA>/MP4f_MP4f_L1_R2.fastq.gz	NA	ERR11518485.fastq.gz	ERR11518485_1.fastq.gz
MP4i	MP4i_MP4i	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/MP4i_MP4i_L1_R1.fastq.gz	<PATH_TO_DATA>/MP4i_MP4i_L1_R2.fastq.gz	NA	ERR11518489.fastq.gz	ERR11518489_1.fastq.gz
MP5A	MP5A_MP5A	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/MP5A_MP5A_L1_R1.fastq.gz	<PATH_TO_DATA>/MP5A_MP5A_L1_R2.fastq.gz	NA	ERR11518495.fastq.gz	ERR11518495_1.fastq.gz
MP65B	MP65B_MP65B	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/MP65B_MP65B_L1_R1.fastq.gz	<PATH_TO_DATA>/MP65B_MP65B_L1_R2.fastq.gz	NA	ERR11518496.fastq.gz	ERR11518496_1.fastq.gz
MP27	MP27_MP27	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/MP27_MP27_L1_R1.fastq.gz	<PATH_TO_DATA>/MP27_MP27_L1_R2.fastq.gz	NA	ERR11518499.fastq.gz	ERR11518499_1.fastq.gz
OTT-1144	OTT-1144_OTT-1144	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/OTT-1144_OTT-1144_L1_R1.fastq.gz	NA	NA	ERR11518523.fastq.gz	NA
MP61	MP61_MP61	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/MP61_MP61_L1_R1.fastq.gz	<PATH_TO_DATA>/MP61_MP61_L1_R2.fastq.gz	NA	ERR11518546.fastq.gz	ERR11518546_1.fastq.gz
QKI-21-1	QKI-21-1_QKI-21-1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/QKI-21-1_QKI-21-1_L1_R1.fastq.gz	NA	NA	ERR11518553.fastq.gz	NA
MP31A	MP31A_MP31A	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/MP31A_MP31A_L1_R1.fastq.gz	<PATH_TO_DATA>/MP31A_MP31A_L1_R2.fastq.gz	NA	ERR11518458.fastq.gz	ERR11518458_1.fastq.gz
KMA-15A-1	KMA-15A-1_KMA-15A-1	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/KMA-15A-1_KMA-15A-1_L1_R1.fastq.gz	NA	NA	ERR11518461.fastq.gz	NA
MP45A	MP45A_MP45A	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/MP45A_MP45A_L1_R1.fastq.gz	<PATH_TO_DATA>/MP45A_MP45A_L1_R2.fastq.gz	NA	ERR11518475.fastq.gz	ERR11518475_1.fastq.gz
MP4E	MP4E_MP4E	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/MP4E_MP4E_L1_R1.fastq.gz	<PATH_TO_DATA>/MP4E_MP4E_L1_R2.fastq.gz	NA	ERR11518480.fastq.gz	ERR11518480_1.fastq.gz
MP4D	MP4D_MP4D	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/MP4D_MP4D_L1_R1.fastq.gz	<PATH_TO_DATA>/MP4D_MP4D_L1_R2.fastq.gz	NA	ERR11518481.fastq.gz	ERR11518481_1.fastq.gz
MP53A	MP53A_MP53A	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/MP53A_MP53A_L1_R1.fastq.gz	<PATH_TO_DATA>/MP53A_MP53A_L1_R2.fastq.gz	NA	ERR11518486.fastq.gz	ERR11518486_1.fastq.gz
MP55	MP55_MP55	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/MP55_MP55_L1_R1.fastq.gz	<PATH_TO_DATA>/MP55_MP55_L1_R2.fastq.gz	NA	ERR11518487.fastq.gz	ERR11518487_1.fastq.gz
MP78A	MP78A_MP78A	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/MP78A_MP78A_L1_R1.fastq.gz	<PATH_TO_DATA>/MP78A_MP78A_L1_R2.fastq.gz	NA	ERR11518501.fastq.gz	ERR11518501_1.fastq.gz
MP84A	MP84A_MP84A	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/MP84A_MP84A_L1_R1.fastq.gz	<PATH_TO_DATA>/MP84A_MP84A_L1_R2.fastq.gz	NA	ERR11518514.fastq.gz	ERR11518514_1.fastq.gz
QKI-809	QKI-809_QKI-809	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/QKI-809_QKI-809_L1_R1.fastq.gz	NA	NA	ERR11518566.fastq.gz	NA
QKI-9-3	QKI-9-3_QKI-9-3	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/QKI-9-3_QKI-9-3_L1_R1.fastq.gz	NA	NA	ERR11518572.fastq.gz	NA
SHN-575	SHN-575_SHN-575	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/SHN-575_SHN-575_L1_R1.fastq.gz	NA	NA	ERR11518597.fastq.gz	NA
KCA-1298	KCA-1298_KCA-1298	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/KCA-1298_KCA-1298_L1_R1.fastq.gz	NA	NA	ERR11518432.fastq.gz	NA
CCA-7-2	CCA-7-2_CCA-7-2	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/CCA-7-2_CCA-7-2_L1_R1.fastq.gz	NA	NA	ERR11518440.fastq.gz	NA
