Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file
E2_Mich_b	E2_Mich_b_Whole-genome	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/E2_Mich_b_Whole-genome_L1_R1.fastq.gz	NA	NA	ERR9576879.fastq.gz	NA
11R_R_b	11R_R_b_mtDNA-genome	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/11R_R_b_mtDNA-genome_L1_R1.fastq.gz	NA	NA	ERR9576909.fastq.gz	NA
2417C_TOL_a	2417C_TOL_a_mtDNA-genome	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/2417C_TOL_a_mtDNA-genome_L1_R1.fastq.gz	NA	NA	ERR9576910.fastq.gz	NA
333O_TOL_b	333O_TOL_b_mtDNA-genome	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/333O_TOL_b_mtDNA-genome_L1_R1.fastq.gz	NA	NA	ERR9576916.fastq.gz	NA
333Q_TOL_b	333Q_TOL_b_mtDNA-genome	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/333Q_TOL_b_mtDNA-genome_L1_R1.fastq.gz	NA	NA	ERR9576917.fastq.gz	NA
P_CCM_b	P_CCM_b_mtDNA-genome	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/P_CCM_b_mtDNA-genome_L1_R1.fastq.gz	NA	NA	ERR9576921.fastq.gz	NA
E7_CdV_b	E7_CdV_b_mtDNA-genome	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/E7_CdV_b_mtDNA-genome_L1_R1.fastq.gz	NA	NA	ERR9576933.fastq.gz	NA
E8_CdV_b	E8_CdV_b_mtDNA-genome	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/E8_CdV_b_mtDNA-genome_L1_R1.fastq.gz	NA	NA	ERR9576934.fastq.gz	NA
E1A_Mich_b	E1A_Mich_b_mtDNA-genome	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/E1A_Mich_b_mtDNA-genome_L1_R1.fastq.gz	NA	NA	ERR9576945.fastq.gz	NA
M2_Mich_b	M2_Mich_b_mtDNA-genome	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/M2_Mich_b_mtDNA-genome_L1_R1.fastq.gz	NA	NA	ERR9576949.fastq.gz	NA
MOM6_ST_a	MOM6_ST_a_Whole-genome	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/MOM6_ST_a_Whole-genome_L1_R1.fastq.gz	NA	NA	ERR9128942.fastq.gz	NA
11R_R_b	11R_R_b_Whole-genome	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/11R_R_b_Whole-genome_L1_R1.fastq.gz	NA	NA	ERR9169797.fastq.gz	NA
2417Q_TOL_b	2417Q_TOL_b_Whole-genome	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/2417Q_TOL_b_Whole-genome_L1_R1.fastq.gz	NA	NA	ERR9169798.fastq.gz	NA
2417J_TOL_a	2417J_TOL_a_Whole-genome	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/2417J_TOL_a_Whole-genome_L1_R1.fastq.gz	NA	NA	ERR9169799.fastq.gz	NA
E7_CdV_b	E7_CdV_b_Whole-genome	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/E7_CdV_b_Whole-genome_L1_R1.fastq.gz	NA	NA	ERR9576891.fastq.gz	NA
E8_CdV_b	E8_CdV_b_Whole-genome	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/E8_CdV_b_Whole-genome_L1_R1.fastq.gz	NA	NA	ERR9576892.fastq.gz	NA
F9_ST_a	F9_ST_a_mtDNA-genome	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/F9_ST_a_mtDNA-genome_L1_R1.fastq.gz	NA	NA	ERR9576902.fastq.gz	NA
MOM6_ST_a	MOM6_ST_a_mtDNA-genome	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/MOM6_ST_a_mtDNA-genome_L1_R1.fastq.gz	NA	NA	ERR9576903.fastq.gz	NA
2417J_TOL_a	2417J_TOL_a_mtDNA-genome	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/2417J_TOL_a_mtDNA-genome_L1_R1.fastq.gz	NA	NA	ERR9576911.fastq.gz	NA
37AI_R_b	37AI_R_b_mtDNA-genome	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/37AI_R_b_mtDNA-genome_L1_R1.fastq.gz	NA	NA	ERR9576918.fastq.gz	NA
7A_R_b	7A_R_b_mtDNA-genome	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/7A_R_b_mtDNA-genome_L1_R1.fastq.gz	NA	NA	ERR9576920.fastq.gz	NA
