Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
NEO1	NEO1_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO1_unspecified_L1_R1.fastq.gz	NA	NA	ERR11779020.fastq.gz	NA	NA
NEO1	NEO1_NEO1_MA433_L1	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO1_NEO1_MA433_L1_L1_R1.fastq.gz	NA	NA	ERR14988629.fastq.gz	NA	NA
NEO1	NEO1_NEO1_MA419_L1	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO1_NEO1_MA419_L1_L1_R1.fastq.gz	NA	NA	ERR14988624.fastq.gz	NA	NA
NEO1	NEO1_NEO1_MA419_L2	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO1_NEO1_MA419_L2_L1_R1.fastq.gz	NA	NA	ERR14988625.fastq.gz	NA	NA
NEO1	NEO1_NEO1_MA427_L1_CAP	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO1_NEO1_MA427_L1_CAP_L1_R1.fastq.gz	NA	NA	ERR14988628.fastq.gz	NA	NA
NEO1	NEO1_NEO1_MA427_L1	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO1_NEO1_MA427_L1_L1_R1.fastq.gz	NA	NA	ERR14988627.fastq.gz	NA	NA
NEO1	NEO1_NEO1_MA427_L0	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO1_NEO1_MA427_L0_L1_R1.fastq.gz	NA	NA	ERR14988626.fastq.gz	NA	NA
NEO100	NEO100_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO100_unspecified_L1_R1.fastq.gz	NA	NA	ERR12040069.fastq.gz	NA	NA
NEO100	NEO100_NEO100_URB1_L2B	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO100_NEO100_URB1_L2B_L1_R1.fastq.gz	NA	NA	ERR14988631.fastq.gz	NA	NA
NEO100	NEO100_NEO100_URB1	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO100_NEO100_URB1_L1_R1.fastq.gz	NA	NA	ERR14988630.fastq.gz	NA	NA
NEO102	NEO102_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO102_unspecified_L1_R1.fastq.gz	NA	NA	ERR12040071.fastq.gz	NA	NA
NEO102	NEO102_NEO102_AFG1B_L1	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO102_NEO102_AFG1B_L1_L1_R1.fastq.gz	NA	NA	ERR14988633.fastq.gz	NA	NA
NEO102	NEO102_NEO112_AFG1B_L1	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO102_NEO112_AFG1B_L1_L1_R1.fastq.gz	NA	NA	ERR14988640.fastq.gz	NA	NA
NEO102	NEO102_NEO102_AFG1B	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO102_NEO102_AFG1B_L1_R1.fastq.gz	NA	NA	ERR14988632.fastq.gz	NA	NA
NEO110	NEO110_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO110_unspecified_L1_R1.fastq.gz	NA	NA	ERR12040072.fastq.gz	NA	NA
NEO110	NEO110_NEO110_AM233_L2B	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO110_NEO110_AM233_L2B_L1_R1.fastq.gz	NA	NA	ERR14988639.fastq.gz	NA	NA
NEO110	NEO110_NEO110_AM233	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO110_NEO110_AM233_L1_R1.fastq.gz	NA	NA	ERR14988637.fastq.gz	NA	NA
NEO110	NEO110_NEO110_AM233_L1	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO110_NEO110_AM233_L1_L1_R1.fastq.gz	NA	NA	ERR14988638.fastq.gz	NA	NA
NEO113	NEO113_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO113_unspecified_L1_R1.fastq.gz	NA	NA	ERR12040074.fastq.gz	NA	NA
NEO113	NEO113_NEO113_AM199_L1	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO113_NEO113_AM199_L1_L1_R1.fastq.gz	NA	NA	ERR14988642.fastq.gz	NA	NA
NEO113	NEO113_NEO113_AM199	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO113_NEO113_AM199_L1_R1.fastq.gz	NA	NA	ERR14988641.fastq.gz	NA	NA
NEO115	NEO115_NEO115_AM202_L1	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO115_NEO115_AM202_L1_L1_R1.fastq.gz	NA	NA	ERR14988644.fastq.gz	NA	NA
NEO115	NEO115_ERS16204331	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO115_ERS16204331_L1_R1.fastq.gz	NA	NA	ERR12119446.fastq.gz	NA	NA
NEO115	NEO115_NEO115_AM202_L2	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO115_NEO115_AM202_L2_L1_R1.fastq.gz	NA	NA	ERR14988645.fastq.gz	NA	NA
NEO115	NEO115_NEO115_AM202	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO115_NEO115_AM202_L1_R1.fastq.gz	NA	NA	ERR14988643.fastq.gz	NA	NA
NEO116	NEO116_NEO116_AM203_L1	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO116_NEO116_AM203_L1_L1_R1.fastq.gz	NA	NA	ERR14988647.fastq.gz	NA	NA
NEO116	NEO116_NEO116_AM203	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO116_NEO116_AM203_L1_R1.fastq.gz	NA	NA	ERR14988646.fastq.gz	NA	NA
NEO116	NEO116_ERS16204332	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO116_ERS16204332_L1_R1.fastq.gz	NA	NA	ERR12119447.fastq.gz	NA	NA
NEO116	NEO116_NEO116_AM203_L2	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO116_NEO116_AM203_L2_L1_R1.fastq.gz	NA	NA	ERR14988648.fastq.gz	NA	NA
NEO117	NEO117_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO117_unspecified_L1_R1.fastq.gz	NA	NA	ERR12040564.fastq.gz	NA	NA
NEO117	NEO117_NEO117_AM204	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO117_NEO117_AM204_L1_R1.fastq.gz	NA	NA	ERR14988649.fastq.gz	NA	NA
NEO117	NEO117_NEO117_AM204_L1	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO117_NEO117_AM204_L1_L1_R1.fastq.gz	NA	NA	ERR14988650.fastq.gz	NA	NA
NEO119	NEO119_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO119_unspecified_L1_R1.fastq.gz	NA	NA	ERR12040565.fastq.gz	NA	NA
NEO119	NEO119_NEO119_MA1395_L1	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO119_NEO119_MA1395_L1_L1_R1.fastq.gz	NA	NA	ERR14988651.fastq.gz	NA	NA
NEO119	NEO119_NEO119_MA1395_L2B	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO119_NEO119_MA1395_L2B_L1_R1.fastq.gz	NA	NA	ERR14988652.fastq.gz	NA	NA
NEO120	NEO120_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO120_unspecified_L1_R1.fastq.gz	NA	NA	ERR12040566.fastq.gz	NA	NA
NEO120	NEO120_NEO120_MA1396_L1	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NEO120_NEO120_MA1396_L1_L1_R1.fastq.gz	NA	NA	ERR14988653.fastq.gz	NA	NA
