Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
R10467	R10467_R10467	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10467_R10467_L1_R1.fastq.gz	NA	NA	ERR9856917.fastq.gz	NA	NA
R10469	R10469_R10469	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10469_R10469_L1_R1.fastq.gz	NA	NA	ERR9856892.fastq.gz	NA	NA
R10471	R10471_R10471	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10471_R10471_L1_R1.fastq.gz	NA	NA	ERR9856961.fastq.gz	NA	NA
R10473	R10473_R10473	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10473_R10473_L1_R1.fastq.gz	NA	NA	ERR9856997.fastq.gz	NA	NA
R10474	R10474_R10474	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10474_R10474_L1_R1.fastq.gz	NA	NA	ERR9856817.fastq.gz	NA	NA
R10477	R10477_R10477	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10477_R10477_L1_R1.fastq.gz	NA	NA	ERR9856850.fastq.gz	NA	NA
R10478	R10478_R10478	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10478_R10478_L1_R1.fastq.gz	NA	NA	ERR9856951.fastq.gz	NA	NA
R10487	R10487_R10487	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10487_R10487_L1_R1.fastq.gz	NA	NA	ERR9856916.fastq.gz	NA	NA
R10488	R10488_R10488	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10488_R10488_L1_R1.fastq.gz	NA	NA	ERR9856921.fastq.gz	NA	NA
R10491	R10491_R10491	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10491_R10491_L1_R1.fastq.gz	NA	NA	ERR9856888.fastq.gz	NA	NA
R10494	R10494_R10494	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10494_R10494_L1_R1.fastq.gz	NA	NA	ERR9856922.fastq.gz	NA	NA
R10496	R10496_R10496	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10496_R10496_L1_R1.fastq.gz	NA	NA	ERR9856861.fastq.gz	NA	NA
R10499	R10499_R10499	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10499_R10499_L1_R1.fastq.gz	NA	NA	ERR9856860.fastq.gz	NA	NA
R10500	R10500_R10500	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10500_R10500_L1_R1.fastq.gz	NA	NA	ERR9856856.fastq.gz	NA	NA
R10501	R10501_R10501	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10501_R10501_L1_R1.fastq.gz	NA	NA	ERR9856947.fastq.gz	NA	NA
R10502	R10502_R10502	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10502_R10502_L1_R1.fastq.gz	NA	NA	ERR9856885.fastq.gz	NA	NA
R10503	R10503_R10503	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10503_R10503_L1_R1.fastq.gz	NA	NA	ERR9856838.fastq.gz	NA	NA
R10506	R10506_R10506	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10506_R10506_L1_R1.fastq.gz	NA	NA	ERR9856932.fastq.gz	NA	NA
R10507	R10507_R10507	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10507_R10507_L1_R1.fastq.gz	NA	NA	ERR9856874.fastq.gz	NA	NA
R10508	R10508_R10508	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10508_R10508_L1_R1.fastq.gz	NA	NA	ERR9856966.fastq.gz	NA	NA
R10618	R10618_R10618	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10618_R10618_L1_R1.fastq.gz	NA	NA	ERR9856901.fastq.gz	NA	NA
R10620	R10620_R10620	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10620_R10620_L1_R1.fastq.gz	NA	NA	ERR9856828.fastq.gz	NA	NA
R10625	R10625_R10625	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10625_R10625_L1_R1.fastq.gz	NA	NA	ERR9856845.fastq.gz	NA	NA
R10626	R10626_R10626	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10626_R10626_L1_R1.fastq.gz	NA	NA	ERR9856989.fastq.gz	NA	NA
R10631	R10631_R10631	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10631_R10631_L1_R1.fastq.gz	NA	NA	ERR9856868.fastq.gz	NA	NA
R10633	R10633_R10633	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10633_R10633_L1_R1.fastq.gz	NA	NA	ERR9856930.fastq.gz	NA	NA
R10634	R10634_R10634	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10634_R10634_L1_R1.fastq.gz	NA	NA	ERR9856839.fastq.gz	NA	NA
R10636	R10636_R10636	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10636_R10636_L1_R1.fastq.gz	NA	NA	ERR9856992.fastq.gz	NA	NA
R10654	R10654_R10654	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10654_R10654_L1_R1.fastq.gz	NA	NA	ERR9856918.fastq.gz	NA	NA
R10656	R10656_R10656	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10656_R10656_L1_R1.fastq.gz	NA	NA	ERR9856810.fastq.gz	NA	NA
R10657	R10657_R10657	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10657_R10657_L1_R1.fastq.gz	NA	NA	ERR9856911.fastq.gz	NA	NA
R10658	R10658_R10658	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10658_R10658_L1_R1.fastq.gz	NA	NA	ERR9856936.fastq.gz	NA	NA
R10659	R10659_R10659	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10659_R10659_L1_R1.fastq.gz	NA	NA	ERR9856859.fastq.gz	NA	NA
R10660	R10660_R10660	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10660_R10660_L1_R1.fastq.gz	NA	NA	ERR9856876.fastq.gz	NA	NA
R10665	R10665_R10665	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10665_R10665_L1_R1.fastq.gz	NA	NA	ERR9856980.fastq.gz	NA	NA
R10666	R10666_R10666	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10666_R10666_L1_R1.fastq.gz	NA	NA	ERR9856833.fastq.gz	NA	NA
R10667	R10667_R10667	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10667_R10667_L1_R1.fastq.gz	NA	NA	ERR9856865.fastq.gz	NA	NA
R10668	R10668_R10668	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10668_R10668_L1_R1.fastq.gz	NA	NA	ERR9856964.fastq.gz	NA	NA
R10670	R10670_R10670	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10670_R10670_L1_R1.fastq.gz	NA	NA	ERR9856928.fastq.gz	NA	NA
R10760	R10760_R10760	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10760_R10760_L1_R1.fastq.gz	NA	NA	ERR9856906.fastq.gz	NA	NA
R10766	R10766_R10766	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10766_R10766_L1_R1.fastq.gz	NA	NA	ERR9856967.fastq.gz	NA	NA
R10770	R10770_R10770	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10770_R10770_L1_R1.fastq.gz	NA	NA	ERR9856894.fastq.gz	NA	NA
R10830	R10830_R10830	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10830_R10830_L1_R1.fastq.gz	NA	NA	ERR9856812.fastq.gz	NA	NA
R10832	R10832_R10832	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10832_R10832_L1_R1.fastq.gz	NA	NA	ERR9856891.fastq.gz	NA	NA
R10836	R10836_R10836	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10836_R10836_L1_R1.fastq.gz	NA	NA	ERR9856881.fastq.gz	NA	NA
R10838	R10838_R10838	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10838_R10838_L1_R1.fastq.gz	NA	NA	ERR9856819.fastq.gz	NA	NA
R10840	R10840_R10840	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R10840_R10840_L1_R1.fastq.gz	NA	NA	ERR9856999.fastq.gz	NA	NA
R11109	R11109_R11109	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11109_R11109_L1_R1.fastq.gz	NA	NA	ERR9856933.fastq.gz	NA	NA
R11111	R11111_R11111	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11111_R11111_L1_R1.fastq.gz	NA	NA	ERR9856960.fastq.gz	NA	NA
R11112	R11112_R11112	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11112_R11112_L1_R1.fastq.gz	NA	NA	ERR9856813.fastq.gz	NA	NA
R11113	R11113_R11113	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11113_R11113_L1_R1.fastq.gz	NA	NA	ERR9856969.fastq.gz	NA	NA
R11115	R11115_R11115	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11115_R11115_L1_R1.fastq.gz	NA	NA	ERR9856914.fastq.gz	NA	NA
R11116	R11116_R11116	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11116_R11116_L1_R1.fastq.gz	NA	NA	ERR9856827.fastq.gz	NA	NA
R11117	R11117_R11117	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11117_R11117_L1_R1.fastq.gz	NA	NA	ERR9856971.fastq.gz	NA	NA
R11118	R11118_R11118	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11118_R11118_L1_R1.fastq.gz	NA	NA	ERR9856935.fastq.gz	NA	NA
R11119	R11119_R11119	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11119_R11119_L1_R1.fastq.gz	NA	NA	ERR9856958.fastq.gz	NA	NA
R11120	R11120_R11120	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11120_R11120_L1_R1.fastq.gz	NA	NA	ERR9856855.fastq.gz	NA	NA
R11121	R11121_R11121	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11121_R11121_L1_R1.fastq.gz	NA	NA	ERR9856975.fastq.gz	NA	NA
R11391	R11391_R11391	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11391_R11391_L1_R1.fastq.gz	NA	NA	ERR9856824.fastq.gz	NA	NA
R11535	R11535_R11535	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11535_R11535_L1_R1.fastq.gz	NA	NA	ERR9856851.fastq.gz	NA	NA
R11536	R11536_R11536	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11536_R11536_L1_R1.fastq.gz	NA	NA	ERR9856979.fastq.gz	NA	NA
R11538	R11538_R11538	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11538_R11538_L1_R1.fastq.gz	NA	NA	ERR9856897.fastq.gz	NA	NA
R11540	R11540_R11540	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11540_R11540_L1_R1.fastq.gz	NA	NA	ERR9856848.fastq.gz	NA	NA
R11541	R11541_R11541	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11541_R11541_L1_R1.fastq.gz	NA	NA	ERR9856943.fastq.gz	NA	NA
R11542	R11542_R11542	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11542_R11542_L1_R1.fastq.gz	NA	NA	ERR9856977.fastq.gz	NA	NA
R11543	R11543_R11543	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11543_R11543_L1_R1.fastq.gz	NA	NA	ERR9856939.fastq.gz	NA	NA
R11544	R11544_R11544	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11544_R11544_L1_R1.fastq.gz	NA	NA	ERR9856944.fastq.gz	NA	NA
R11545	R11545_R11545	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11545_R11545_L1_R1.fastq.gz	NA	NA	ERR9856963.fastq.gz	NA	NA
R11546	R11546_R11546	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11546_R11546_L1_R1.fastq.gz	NA	NA	ERR9856976.fastq.gz	NA	NA
R11550	R11550_R11550	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11550_R11550_L1_R1.fastq.gz	NA	NA	ERR9856871.fastq.gz	NA	NA
R11552	R11552_R11552	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11552_R11552_L1_R1.fastq.gz	NA	NA	ERR9856913.fastq.gz	NA	NA
R11553	R11553_R11553	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11553_R11553_L1_R1.fastq.gz	NA	NA	ERR9856990.fastq.gz	NA	NA
R11554	R11554_R11554	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11554_R11554_L1_R1.fastq.gz	NA	NA	ERR9856945.fastq.gz	NA	NA
R11555	R11555_R11555	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11555_R11555_L1_R1.fastq.gz	NA	NA	ERR9856925.fastq.gz	NA	NA
R11556	R11556_R11556	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11556_R11556_L1_R1.fastq.gz	NA	NA	ERR9856822.fastq.gz	NA	NA
R11557	R11557_R11557	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11557_R11557_L1_R1.fastq.gz	NA	NA	ERR9856869.fastq.gz	NA	NA
R11558	R11558_R11558	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11558_R11558_L1_R1.fastq.gz	NA	NA	ERR9856832.fastq.gz	NA	NA
R11559	R11559_R11559	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11559_R11559_L1_R1.fastq.gz	NA	NA	ERR9856900.fastq.gz	NA	NA
R11560	R11560_R11560	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11560_R11560_L1_R1.fastq.gz	NA	NA	ERR9856863.fastq.gz	NA	NA
R11561	R11561_R11561	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11561_R11561_L1_R1.fastq.gz	NA	NA	ERR9856934.fastq.gz	NA	NA
R11563	R11563_R11563	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11563_R11563_L1_R1.fastq.gz	NA	NA	ERR9856899.fastq.gz	NA	NA
R11651	R11651_R11651	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11651_R11651_L1_R1.fastq.gz	NA	NA	ERR9856929.fastq.gz	NA	NA
R11653	R11653_R11653	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11653_R11653_L1_R1.fastq.gz	NA	NA	ERR9856895.fastq.gz	NA	NA
R11655	R11655_R11655	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11655_R11655_L1_R1.fastq.gz	NA	NA	ERR9856843.fastq.gz	NA	NA
R11668	R11668_R11668	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11668_R11668_L1_R1.fastq.gz	NA	NA	ERR9856826.fastq.gz	NA	NA
R11675	R11675_R11675	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11675_R11675_L1_R1.fastq.gz	NA	NA	ERR9856878.fastq.gz	NA	NA
R11678	R11678_R11678	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11678_R11678_L1_R1.fastq.gz	NA	NA	ERR9856847.fastq.gz	NA	NA
R11713	R11713_R11713	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11713_R11713_L1_R1.fastq.gz	NA	NA	ERR9856991.fastq.gz	NA	NA
R11714	R11714_R11714	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11714_R11714_L1_R1.fastq.gz	NA	NA	ERR9856872.fastq.gz	NA	NA
R11828	R11828_R11828	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11828_R11828_L1_R1.fastq.gz	NA	NA	ERR9856952.fastq.gz	NA	NA
R11829	R11829_R11829	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11829_R11829_L1_R1.fastq.gz	NA	NA	ERR9856842.fastq.gz	NA	NA
R11832	R11832_R11832	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11832_R11832_L1_R1.fastq.gz	NA	NA	ERR9856834.fastq.gz	NA	NA
R11833	R11833_R11833	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11833_R11833_L1_R1.fastq.gz	NA	NA	ERR9856903.fastq.gz	NA	NA
R11834	R11834_R11834	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11834_R11834_L1_R1.fastq.gz	NA	NA	ERR9856956.fastq.gz	NA	NA
R11835	R11835_R11835	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11835_R11835_L1_R1.fastq.gz	NA	NA	ERR9856954.fastq.gz	NA	NA
R11836	R11836_R11836	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11836_R11836_L1_R1.fastq.gz	NA	NA	ERR9856883.fastq.gz	NA	NA
R11866	R11866_R11866	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11866_R11866_L1_R1.fastq.gz	NA	NA	ERR9856919.fastq.gz	NA	NA
R11867	R11867_R11867	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11867_R11867_L1_R1.fastq.gz	NA	NA	ERR9856867.fastq.gz	NA	NA
R11868	R11868_R11868	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11868_R11868_L1_R1.fastq.gz	NA	NA	ERR9856962.fastq.gz	NA	NA
R11872	R11872_R11872	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11872_R11872_L1_R1.fastq.gz	NA	NA	ERR9856880.fastq.gz	NA	NA
R11873	R11873_R11873	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/R11873_R11873_L1_R1.fastq.gz	NA	NA	ERR9856970.fastq.gz	NA	NA
