Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
IRN2GC23W	IRN2GC23W_IRN2GC23W	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/IRN2GC23W_IRN2GC23W_L1_R1.fastq.gz	NA	NA	ERR14964103.fastq.gz	NA	NA
IRN2GC25W	IRN2GC25W_IRN2GC25W	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/IRN2GC25W_IRN2GC25W_L1_R1.fastq.gz	NA	NA	ERR14964108.fastq.gz	NA	NA
IRNS29	IRNS29_IRNS29	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/IRNS29_IRNS29_L1_R1.fastq.gz	NA	NA	ERR14964113.fastq.gz	NA	NA
IRNS30	IRNS30_IRNS30	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/IRNS30_IRNS30_L1_R1.fastq.gz	NA	NA	ERR14964114.fastq.gz	NA	NA
IRNS31W	IRNS31W_IRNS31W	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/IRNS31W_IRNS31W_L1_R1.fastq.gz	NA	NA	ERR14964115.fastq.gz	NA	NA
IRN2GC34W	IRN2GC34W_IRN2GC34W	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/IRN2GC34W_IRN2GC34W_L1_R1.fastq.gz	NA	NA	ERR14964117.fastq.gz	NA	NA
IRNGC34W	IRNGC34W_IRNGC34W	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/IRNGC34W_IRNGC34W_L1_R1.fastq.gz	NA	NA	ERR14964118.fastq.gz	NA	NA
IRNC59	IRNC59_IRNC59	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/IRNC59_IRNC59_L1_R1.fastq.gz	NA	NA	ERR14964125.fastq.gz	NA	NA
IRN2GC61W	IRN2GC61W_IRN2GC61W	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/IRN2GC61W_IRN2GC61W_L1_R1.fastq.gz	NA	NA	ERR14964127.fastq.gz	NA	NA
IRNGC61W	IRNGC61W_IRNGC61W	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/IRNGC61W_IRNGC61W_L1_R1.fastq.gz	NA	NA	ERR14964128.fastq.gz	NA	NA
IRNS63	IRNS63_IRNS63	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/IRNS63_IRNS63_L1_R1.fastq.gz	NA	NA	ERR14964130.fastq.gz	NA	NA
IRNGC65W	IRNGC65W_IRNGC65W	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/IRNGC65W_IRNGC65W_L1_R1.fastq.gz	NA	NA	ERR14964133.fastq.gz	NA	NA
IRNS66	IRNS66_IRNS66	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/IRNS66_IRNS66_L1_R1.fastq.gz	NA	NA	ERR14964134.fastq.gz	NA	NA
IRNS69W	IRNS69W_IRNS69W	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/IRNS69W_IRNS69W_L1_R1.fastq.gz	NA	NA	ERR14964138.fastq.gz	NA	NA
IRNS71	IRNS71_IRNS71	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/IRNS71_IRNS71_L1_R1.fastq.gz	NA	NA	ERR14964140.fastq.gz	NA	NA
IRNC75	IRNC75_IRNC75	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/IRNC75_IRNC75_L1_R1.fastq.gz	NA	NA	ERR14964144.fastq.gz	NA	NA
IRNC83	IRNC83_IRNC83	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/IRNC83_IRNC83_L1_R1.fastq.gz	NA	NA	ERR14964151.fastq.gz	NA	NA
IRNC84	IRNC84_IRNC84	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/IRNC84_IRNC84_L1_R1.fastq.gz	NA	NA	ERR14964152.fastq.gz	NA	NA
2IRNS22	2IRNS22_2IRNS22	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/2IRNS22_2IRNS22_L1_R1.fastq.gz	NA	NA	ERR15001246.fastq.gz	NA	NA
IRN2GC61	IRN2GC61_IRN2GC61	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/IRN2GC61_IRN2GC61_L1_R1.fastq.gz	NA	NA	ERR15001252.fastq.gz	NA	NA
IRN2S57	IRN2S57_IRN2S57	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/IRN2S57_IRN2S57_L1_R1.fastq.gz	NA	NA	ERR15001255.fastq.gz	NA	NA
IRN28Dab	IRN28Dab_IRN28Dab	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/IRN28Dab_IRN28Dab_L1_R1.fastq.gz	NA	NA	ERR15001259.fastq.gz	NA	NA
IRN28R	IRN28R_IRN28R	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/IRN28R_IRN28R_L1_R1.fastq.gz	NA	NA	ERR15001260.fastq.gz	NA	NA
IRNGC02	IRNGC02_IRNGC02	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/IRNGC02_IRNGC02_L1_R1.fastq.gz	NA	NA	ERR15001261.fastq.gz	NA	NA
IRNGC65	IRNGC65_IRNGC65	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/IRNGC65_IRNGC65_L1_R1.fastq.gz	NA	NA	ERR15001268.fastq.gz	NA	NA
IRNGC85	IRNGC85_IRNGC85	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/IRNGC85_IRNGC85_L1_R1.fastq.gz	NA	NA	ERR15001270.fastq.gz	NA	NA
IRNS60	IRNS60_IRNS60	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/IRNS60_IRNS60_L1_R1.fastq.gz	NA	NA	ERR15001284.fastq.gz	NA	NA
