Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
n/a	n/a_utigST0004	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_utigST0004_L1_R1.fastq.gz	NA	NA	ERR14057594.fastq.gz	NA	NA
n/a	n/a_utigST0016	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_utigST0016_L1_R1.fastq.gz	NA	NA	ERR14057600.fastq.gz	NA	NA
n/a	n/a_utigST0019	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_utigST0019_L1_R1.fastq.gz	NA	NA	ERR14057602.fastq.gz	NA	NA
n/a	n/a_utigST0028	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_utigST0028_L1_R1.fastq.gz	NA	NA	ERR14057606.fastq.gz	NA	NA
n/a	n/a_utigST0032	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_utigST0032_L1_R1.fastq.gz	NA	NA	ERR14057609.fastq.gz	NA	NA
n/a	n/a_utigST0033	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_utigST0033_L1_R1.fastq.gz	NA	NA	ERR14057610.fastq.gz	NA	NA
n/a	n/a_utigST0036	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_utigST0036_L1_R1.fastq.gz	NA	NA	ERR14057612.fastq.gz	NA	NA
n/a	n/a_utigST0037	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_utigST0037_L1_R1.fastq.gz	NA	NA	ERR14057613.fastq.gz	NA	NA
n/a	n/a_utigST0038	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_utigST0038_L1_R1.fastq.gz	NA	NA	ERR14057614.fastq.gz	NA	NA
n/a	n/a_utigST0044	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_utigST0044_L1_R1.fastq.gz	NA	NA	ERR14057620.fastq.gz	NA	NA
