Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
ST0008	ST0008_utigST0008	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/ST0008_utigST0008_L1_R1.fastq.gz	NA	NA	ERR14057597.fastq.gz	NA	NA
ST0009	ST0009_utigST0009	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/ST0009_utigST0009_L1_R1.fastq.gz	NA	NA	ERR14057598.fastq.gz	NA	NA
ST0017	ST0017_utigST0017	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/ST0017_utigST0017_L1_R1.fastq.gz	NA	NA	ERR14057601.fastq.gz	NA	NA
ST0035	ST0035_utigST0035	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/ST0035_utigST0035_L1_R1.fastq.gz	NA	NA	ERR14057611.fastq.gz	NA	NA
ST0041	ST0041_utigST0041	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/ST0041_utigST0041_L1_R1.fastq.gz	NA	NA	ERR14057617.fastq.gz	NA	NA
ST0043	ST0043_utigST0043	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/ST0043_utigST0043_L1_R1.fastq.gz	NA	NA	ERR14057619.fastq.gz	NA	NA
ST0045	ST0045_utigST0045	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/ST0045_utigST0045_L1_R1.fastq.gz	NA	NA	ERR14057621.fastq.gz	NA	NA
ST0046	ST0046_utigST0046	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/ST0046_utigST0046_L1_R1.fastq.gz	NA	NA	ERR14057622.fastq.gz	NA	NA
ST0048	ST0048_utigST0048	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/ST0048_utigST0048_L1_R1.fastq.gz	NA	NA	ERR14057624.fastq.gz	NA	NA
ST0049	ST0049_utigST0049	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/ST0049_utigST0049_L1_R1.fastq.gz	NA	NA	ERR14057625.fastq.gz	NA	NA
ST0004	ST0004_utigST0004	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/ST0004_utigST0004_L1_R1.fastq.gz	NA	NA	ERR14057594.fastq.gz	NA	NA
ST0052	ST0052_utigST0052	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/ST0052_utigST0052_L1_R1.fastq.gz	NA	NA	ERR14057626.fastq.gz	NA	NA
ST0055	ST0055_utigST0055	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/ST0055_utigST0055_L1_R1.fastq.gz	NA	NA	ERR14057628.fastq.gz	NA	NA
ST0056	ST0056_utigST0056	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/ST0056_utigST0056_L1_R1.fastq.gz	NA	NA	ERR14057629.fastq.gz	NA	NA
ST0061	ST0061_utigST0061	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/ST0061_utigST0061_L1_R1.fastq.gz	NA	NA	ERR14057632.fastq.gz	NA	NA
ST0063	ST0063_utigST0063	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/ST0063_utigST0063_L1_R1.fastq.gz	NA	NA	ERR14057634.fastq.gz	NA	NA
ST0064	ST0064_utigST0064	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/ST0064_utigST0064_L1_R1.fastq.gz	NA	NA	ERR14057635.fastq.gz	NA	NA
ST0069	ST0069_utigST0069	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/ST0069_utigST0069_L1_R1.fastq.gz	NA	NA	ERR14057638.fastq.gz	NA	NA
ST0070	ST0070_utigST0070	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/ST0070_utigST0070_L1_R1.fastq.gz	NA	NA	ERR14057639.fastq.gz	NA	NA
ST0071	ST0071_utigST0071	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/ST0071_utigST0071_L1_R1.fastq.gz	NA	NA	ERR14057640.fastq.gz	NA	NA
ST0077	ST0077_utigST0077	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/ST0077_utigST0077_L1_R1.fastq.gz	NA	NA	ERR14057643.fastq.gz	NA	NA
