Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
n/a	n/a_3116	1	4	PE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_3116_L1_R1.fastq.gz	<PATH_TO_DATA>/n/a_3116_L1_R2.fastq.gz	NA	ERR12306584_1.fastq.gz	ERR12306584_2.fastq.gz	NA
n/a	n/a_ROMT2A	1	4	PE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_ROMT2A_L1_R1.fastq.gz	<PATH_TO_DATA>/n/a_ROMT2A_L1_R2.fastq.gz	NA	ERR12308162_1.fastq.gz	ERR12308162_2.fastq.gz	NA
n/a	n/a_3113	1	4	PE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_3113_L1_R1.fastq.gz	<PATH_TO_DATA>/n/a_3113_L1_R2.fastq.gz	NA	ERR12308685_1.fastq.gz	ERR12308685_2.fastq.gz	NA
n/a	n/a_3111	1	4	PE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_3111_L1_R1.fastq.gz	<PATH_TO_DATA>/n/a_3111_L1_R2.fastq.gz	NA	ERR12308687_1.fastq.gz	ERR12308687_2.fastq.gz	NA
n/a	n/a_3115	1	4	PE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_3115_L1_R1.fastq.gz	<PATH_TO_DATA>/n/a_3115_L1_R2.fastq.gz	NA	ERR12311751_1.fastq.gz	ERR12311751_2.fastq.gz	NA
n/a	n/a_3159	1	4	PE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_3159_L1_R1.fastq.gz	<PATH_TO_DATA>/n/a_3159_L1_R2.fastq.gz	NA	ERR12311754_1.fastq.gz	ERR12311754_2.fastq.gz	NA
n/a	n/a_3119	1	4	PE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_3119_L1_R1.fastq.gz	<PATH_TO_DATA>/n/a_3119_L1_R2.fastq.gz	NA	ERR12312055_1.fastq.gz	ERR12312055_2.fastq.gz	NA
n/a	n/a_3120	1	4	PE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_3120_L1_R1.fastq.gz	<PATH_TO_DATA>/n/a_3120_L1_R2.fastq.gz	NA	ERR12312056_1.fastq.gz	ERR12312056_2.fastq.gz	NA
n/a	n/a_3121	1	4	PE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_3121_L1_R1.fastq.gz	<PATH_TO_DATA>/n/a_3121_L1_R2.fastq.gz	NA	ERR12312057_1.fastq.gz	ERR12312057_2.fastq.gz	NA
n/a	n/a_3123	1	4	PE	Homo sapiens (modern human)			<PATH_TO_DATA>/n/a_3123_L1_R1.fastq.gz	<PATH_TO_DATA>/n/a_3123_L1_R2.fastq.gz	NA	ERR12312059_1.fastq.gz	ERR12312059_2.fastq.gz	NA
