Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
cch245	cch245_cch245	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/cch245_cch245_L1_R1.fastq.gz	NA	NA	ERR13318175.fastq.gz	NA	NA
cch289	cch289_cch289	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/cch289_cch289_L1_R1.fastq.gz	NA	NA	ERR13318189.fastq.gz	NA	NA
bad023	bad023_bad023	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/bad023_bad023_L1_R1.fastq.gz	NA	NA	ERR13758518.fastq.gz	NA	NA
bad023	bad023_bad023	2	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/bad023_bad023_L2_R1.fastq.gz	NA	NA	ERR13766240.fastq.gz	NA	NA
bad024	bad024_bad024	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/bad024_bad024_L1_R1.fastq.gz	NA	NA	ERR13766241.fastq.gz	NA	NA
bad024	bad024_bad024	2	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/bad024_bad024_L2_R1.fastq.gz	NA	NA	ERR13766261.fastq.gz	NA	NA
bad026	bad026_bad026	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/bad026_bad026_L1_R1.fastq.gz	NA	NA	ERR13766512.fastq.gz	NA	NA
bad026	bad026_bad026	2	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/bad026_bad026_L2_R1.fastq.gz	NA	NA	ERR13766562.fastq.gz	NA	NA
bad033	bad033_bad033	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/bad033_bad033_L1_R1.fastq.gz	NA	NA	ERR13766863.fastq.gz	NA	NA
bad034	bad034_bad034	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/bad034_bad034_L1_R1.fastq.gz	NA	NA	ERR13767039.fastq.gz	NA	NA
cch289	cch289_cch289	2	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/cch289_cch289_L2_R1.fastq.gz	NA	NA	ERR13767110.fastq.gz	NA	NA
cch311	cch311_cch311	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/cch311_cch311_L1_R1.fastq.gz	NA	NA	ERR13767117.fastq.gz	NA	NA
cch348	cch348_cch348	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/cch348_cch348_L1_R1.fastq.gz	NA	NA	ERR13767120.fastq.gz	NA	NA
cch348	cch348_cch348	2	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/cch348_cch348_L2_R1.fastq.gz	NA	NA	ERR13767121.fastq.gz	NA	NA
gir001	gir001_gir001	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/gir001_gir001_L1_R1.fastq.gz	NA	NA	ERR13767122.fastq.gz	NA	NA
gir001	gir001_gir001	2	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/gir001_gir001_L2_R1.fastq.gz	NA	NA	ERR13767129.fastq.gz	NA	NA
pft003	pft003_pft003	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/pft003_pft003_L1_R1.fastq.gz	NA	NA	ERR13767220.fastq.gz	NA	NA
pft004	pft004_pft004	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/pft004_pft004_L1_R1.fastq.gz	NA	NA	ERR13767223.fastq.gz	NA	NA
ulu007	ulu007_ulu007	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/ulu007_ulu007_L1_R1.fastq.gz	NA	NA	ERR13767521.fastq.gz	NA	NA
ulu008	ulu008_ulu008	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/ulu008_ulu008_L1_R1.fastq.gz	NA	NA	ERR13767541.fastq.gz	NA	NA
ulu008	ulu008_ulu008	2	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/ulu008_ulu008_L2_R1.fastq.gz	NA	NA	ERR13767582.fastq.gz	NA	NA
ulu008	ulu008_ulu008	3	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/ulu008_ulu008_L3_R1.fastq.gz	NA	NA	ERR13767617.fastq.gz	NA	NA
ulu008	ulu008_ulu008	4	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/ulu008_ulu008_L4_R1.fastq.gz	NA	NA	ERR13767619.fastq.gz	NA	NA
ulu008	ulu008_ulu008	5	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/ulu008_ulu008_L5_R1.fastq.gz	NA	NA	ERR13767621.fastq.gz	NA	NA
ulu008	ulu008_ulu008	6	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/ulu008_ulu008_L6_R1.fastq.gz	NA	NA	ERR13767661.fastq.gz	NA	NA
ulu009	ulu009_ulu009	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/ulu009_ulu009_L1_R1.fastq.gz	NA	NA	ERR13767662.fastq.gz	NA	NA
bad017	bad017_bad017	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/bad017_bad017_L1_R1.fastq.gz	NA	NA	ERR13834857.fastq.gz	NA	NA
cch251	cch251_cch251	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/cch251_cch251_L1_R1.fastq.gz	NA	NA	ERR13318180.fastq.gz	NA	NA
cch311	cch311_cch311	2	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/cch311_cch311_L2_R1.fastq.gz	NA	NA	ERR13318404.fastq.gz	NA	NA
bad022	bad022_bad022	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/bad022_bad022_L1_R1.fastq.gz	NA	NA	ERR13732042.fastq.gz	NA	NA
bad022	bad022_bad022	2	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/bad022_bad022_L2_R1.fastq.gz	NA	NA	ERR13751587.fastq.gz	NA	NA
bad019	bad019_bad019	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/bad019_bad019_L1_R1.fastq.gz	NA	NA	ERR13758412.fastq.gz	NA	NA
bad024	bad024_bad024	3	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/bad024_bad024_L3_R1.fastq.gz	NA	NA	ERR13766431.fastq.gz	NA	NA
bad025	bad025_bad025	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/bad025_bad025_L1_R1.fastq.gz	NA	NA	ERR13766498.fastq.gz	NA	NA
bad030	bad030_bad030	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/bad030_bad030_L1_R1.fastq.gz	NA	NA	ERR13766723.fastq.gz	NA	NA
bad030	bad030_bad030	2	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/bad030_bad030_L2_R1.fastq.gz	NA	NA	ERR13766859.fastq.gz	NA	NA
bad033	bad033_bad033	2	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/bad033_bad033_L2_R1.fastq.gz	NA	NA	ERR13766861.fastq.gz	NA	NA
bad034	bad034_bad034	2	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/bad034_bad034_L2_R1.fastq.gz	NA	NA	ERR13767041.fastq.gz	NA	NA
bad034	bad034_bad034	3	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/bad034_bad034_L3_R1.fastq.gz	NA	NA	ERR13767092.fastq.gz	NA	NA
bbh001	bbh001_bbh001	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/bbh001_bbh001_L1_R1.fastq.gz	NA	NA	ERR13767093.fastq.gz	NA	NA
bbh001	bbh001_bbh001	2	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/bbh001_bbh001_L2_R1.fastq.gz	NA	NA	ERR13767094.fastq.gz	NA	NA
cch251	cch251_cch251	2	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/cch251_cch251_L2_R1.fastq.gz	NA	NA	ERR13767108.fastq.gz	NA	NA
cch289	cch289_cch289	3	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/cch289_cch289_L3_R1.fastq.gz	NA	NA	ERR13767109.fastq.gz	NA	NA
cch348	cch348_cch348	3	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/cch348_cch348_L3_R1.fastq.gz	NA	NA	ERR13767118.fastq.gz	NA	NA
gir001	gir001_gir001	3	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/gir001_gir001_L3_R1.fastq.gz	NA	NA	ERR13767126.fastq.gz	NA	NA
gir001	gir001_gir001	4	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/gir001_gir001_L4_R1.fastq.gz	NA	NA	ERR13767131.fastq.gz	NA	NA
pft003	pft003_pft003	2	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/pft003_pft003_L2_R1.fastq.gz	NA	NA	ERR13767136.fastq.gz	NA	NA
pft003	pft003_pft003	3	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/pft003_pft003_L3_R1.fastq.gz	NA	NA	ERR13767199.fastq.gz	NA	NA
ulu007	ulu007_ulu007	2	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/ulu007_ulu007_L2_R1.fastq.gz	NA	NA	ERR13767538.fastq.gz	NA	NA
ulu009	ulu009_ulu009	2	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/ulu009_ulu009_L2_R1.fastq.gz	NA	NA	ERR13767666.fastq.gz	NA	NA
