Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file
I20116_IE	I20116_IE_I20116_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I20116_IE_I20116_IE_L1_R1.fastq.gz	NA	NA	ERR13857446.fastq.gz	NA
I4000_IE	I4000_IE_I4000_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I4000_IE_I4000_IE_L1_R1.fastq.gz	NA	NA	ERR13857448.fastq.gz	NA
I20298_IE	I20298_IE_I20298_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I20298_IE_I20298_IE_L1_R1.fastq.gz	NA	NA	ERR13857452.fastq.gz	NA
I8742_IE	I8742_IE_I8742_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I8742_IE_I8742_IE_L1_R1.fastq.gz	NA	NA	ERR13857453.fastq.gz	NA
I18818_IE	I18818_IE_I18818_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I18818_IE_I18818_IE_L1_R1.fastq.gz	NA	NA	ERR13857456.fastq.gz	NA
I20089_IE	I20089_IE_I20089_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I20089_IE_I20089_IE_L1_R1.fastq.gz	NA	NA	ERR13857458.fastq.gz	NA
I29570_IE	I29570_IE_I29570_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I29570_IE_I29570_IE_L1_R1.fastq.gz	NA	NA	ERR13857462.fastq.gz	NA
I18101_IE	I18101_IE_I18101_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I18101_IE_I18101_IE_L1_R1.fastq.gz	NA	NA	ERR13857463.fastq.gz	NA
I8738_IE	I8738_IE_I8738_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I8738_IE_I8738_IE_L1_R1.fastq.gz	NA	NA	ERR13857465.fastq.gz	NA
I7889_IE	I7889_IE_I7889_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I7889_IE_I7889_IE_L1_R1.fastq.gz	NA	NA	ERR13857469.fastq.gz	NA
I26227_d_IE	I26227_d_IE_I26227_d_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I26227_d_IE_I26227_d_IE_L1_R1.fastq.gz	NA	NA	ERR13857482.fastq.gz	NA
I26230_IE	I26230_IE_I26230_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I26230_IE_I26230_IE_L1_R1.fastq.gz	NA	NA	ERR13857483.fastq.gz	NA
I26231_IE	I26231_IE_I26231_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I26231_IE_I26231_IE_L1_R1.fastq.gz	NA	NA	ERR13857484.fastq.gz	NA
I26302_IE	I26302_IE_I26302_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I26302_IE_I26302_IE_L1_R1.fastq.gz	NA	NA	ERR13857486.fastq.gz	NA
I10208_IE	I10208_IE_I10208_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I10208_IE_I10208_IE_L1_R1.fastq.gz	NA	NA	ERR13857494.fastq.gz	NA
I10424_IE	I10424_IE_I10424_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I10424_IE_I10424_IE_L1_R1.fastq.gz	NA	NA	ERR13857497.fastq.gz	NA
I10486_IE	I10486_IE_I10486_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I10486_IE_I10486_IE_L1_R1.fastq.gz	NA	NA	ERR13857500.fastq.gz	NA
I10498_IE	I10498_IE_I10498_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I10498_IE_I10498_IE_L1_R1.fastq.gz	NA	NA	ERR13857501.fastq.gz	NA
I10500_IE	I10500_IE_I10500_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I10500_IE_I10500_IE_L1_R1.fastq.gz	NA	NA	ERR13857503.fastq.gz	NA
I12823_IE	I12823_IE_I12823_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I12823_IE_I12823_IE_L1_R1.fastq.gz	NA	NA	ERR13857505.fastq.gz	NA
I12824_IE	I12824_IE_I12824_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I12824_IE_I12824_IE_L1_R1.fastq.gz	NA	NA	ERR13857506.fastq.gz	NA
I10567_IE	I10567_IE_I10567_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I10567_IE_I10567_IE_L1_R1.fastq.gz	NA	NA	ERR13857514.fastq.gz	NA
I20090_IE	I20090_IE_I20090_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I20090_IE_I20090_IE_L1_R1.fastq.gz	NA	NA	ERR13857515.fastq.gz	NA
I32619_IE	I32619_IE_I32619_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I32619_IE_I32619_IE_L1_R1.fastq.gz	NA	NA	ERR13857522.fastq.gz	NA
I6703_IE	I6703_IE_I6703_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I6703_IE_I6703_IE_L1_R1.fastq.gz	NA	NA	ERR13857529.fastq.gz	NA
I32875_IE	I32875_IE_I32875_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I32875_IE_I32875_IE_L1_R1.fastq.gz	NA	NA	ERR13857532.fastq.gz	NA
I32852_IE	I32852_IE_I32852_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I32852_IE_I32852_IE_L1_R1.fastq.gz	NA	NA	ERR13857533.fastq.gz	NA
I32876_IE	I32876_IE_I32876_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I32876_IE_I32876_IE_L1_R1.fastq.gz	NA	NA	ERR13857535.fastq.gz	NA
I12883_IE	I12883_IE_I12883_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I12883_IE_I12883_IE_L1_R1.fastq.gz	NA	NA	ERR13857537.fastq.gz	NA
I20114_IE	I20114_IE_I20114_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I20114_IE_I20114_IE_L1_R1.fastq.gz	NA	NA	ERR13857539.fastq.gz	NA
I20189_IE	I20189_IE_I20189_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I20189_IE_I20189_IE_L1_R1.fastq.gz	NA	NA	ERR13857541.fastq.gz	NA
I23650_IE	I23650_IE_I23650_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I23650_IE_I23650_IE_L1_R1.fastq.gz	NA	NA	ERR13857545.fastq.gz	NA
I23652_IE	I23652_IE_I23652_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I23652_IE_I23652_IE_L1_R1.fastq.gz	NA	NA	ERR13857547.fastq.gz	NA
I6059_IE	I6059_IE_I6059_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I6059_IE_I6059_IE_L1_R1.fastq.gz	NA	NA	ERR13857551.fastq.gz	NA
I6062_IE	I6062_IE_I6062_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I6062_IE_I6062_IE_L1_R1.fastq.gz	NA	NA	ERR13857554.fastq.gz	NA
I6068_IE	I6068_IE_I6068_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I6068_IE_I6068_IE_L1_R1.fastq.gz	NA	NA	ERR13857559.fastq.gz	NA
I8282_IE	I8282_IE_I8282_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I8282_IE_I8282_IE_L1_R1.fastq.gz	NA	NA	ERR13857562.fastq.gz	NA
I8287_IE	I8287_IE_I8287_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I8287_IE_I8287_IE_L1_R1.fastq.gz	NA	NA	ERR13857567.fastq.gz	NA
I8740_IE	I8740_IE_I8740_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I8740_IE_I8740_IE_L1_R1.fastq.gz	NA	NA	ERR13857572.fastq.gz	NA
I32851_IE	I32851_IE_I32851_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I32851_IE_I32851_IE_L1_R1.fastq.gz	NA	NA	ERR13857577.fastq.gz	NA
I32868_IE	I32868_IE_I32868_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I32868_IE_I32868_IE_L1_R1.fastq.gz	NA	NA	ERR13857578.fastq.gz	NA
I32871_IE	I32871_IE_I32871_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I32871_IE_I32871_IE_L1_R1.fastq.gz	NA	NA	ERR13857579.fastq.gz	NA
I12493_IE	I12493_IE_I12493_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I12493_IE_I12493_IE_L1_R1.fastq.gz	NA	NA	ERR13857584.fastq.gz	NA
I25160_IE	I25160_IE_I25160_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I25160_IE_I25160_IE_L1_R1.fastq.gz	NA	NA	ERR13857592.fastq.gz	NA
I25161_IE	I25161_IE_I25161_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I25161_IE_I25161_IE_L1_R1.fastq.gz	NA	NA	ERR13857593.fastq.gz	NA
I26089_IE	I26089_IE_I26089_IE	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/I26089_IE_I26089_IE_L1_R1.fastq.gz	NA	NA	ERR13857598.fastq.gz	NA
