Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
BQ4579	BQ4579_BQ4579	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/BQ4579_BQ4579_L1.bam	NA	NA	HRR1956767.bam
BQ4580_k	BQ4580_k_BQ4580_k	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/BQ4580_k_BQ4580_k_L1.bam	NA	NA	HRR1956768.bam
BQ4582	BQ4582_BQ4582	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/BQ4582_BQ4582_L1.bam	NA	NA	HRR1956769.bam
BQ4583_k	BQ4583_k_BQ4583_k	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/BQ4583_k_BQ4583_k_L1.bam	NA	NA	HRR1956770.bam
BQ4584	BQ4584_BQ4584	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/BQ4584_BQ4584_L1.bam	NA	NA	HRR1956771.bam
BQ4585	BQ4585_BQ4585	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/BQ4585_BQ4585_L1.bam	NA	NA	HRR1956772.bam
BQ4586_k	BQ4586_k_BQ4586_k	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/BQ4586_k_BQ4586_k_L1.bam	NA	NA	HRR1956773.bam
BQ4587	BQ4587_BQ4587	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/BQ4587_BQ4587_L1.bam	NA	NA	HRR1956774.bam
BQ4588	BQ4588_BQ4588	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/BQ4588_BQ4588_L1.bam	NA	NA	HRR1956775.bam
BQ4589_k	BQ4589_k_BQ4589_k	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/BQ4589_k_BQ4589_k_L1.bam	NA	NA	HRR1956776.bam
BQ4609	BQ4609_BQ4609	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/BQ4609_BQ4609_L1.bam	NA	NA	HRR1956777.bam
BQ4610_o	BQ4610_o_BQ4610_o	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/BQ4610_o_BQ4610_o_L1.bam	NA	NA	HRR1956778.bam
BQ4611_d_k	BQ4611_d_k_BQ4611_d_k	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/BQ4611_d_k_BQ4611_d_k_L1.bam	NA	NA	HRR1956779.bam
BQ4612_k	BQ4612_k_BQ4612_k	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/BQ4612_k_BQ4612_k_L1.bam	NA	NA	HRR1956780.bam
BQ4613	BQ4613_BQ4613	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/BQ4613_BQ4613_L1.bam	NA	NA	HRR1956781.bam
BQ4614	BQ4614_BQ4614	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/BQ4614_BQ4614_L1.bam	NA	NA	HRR1956782.bam
BQ4615	BQ4615_BQ4615	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/BQ4615_BQ4615_L1.bam	NA	NA	HRR1956783.bam
BQ4618	BQ4618_BQ4618	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/BQ4618_BQ4618_L1.bam	NA	NA	HRR1956784.bam
BQ4619_k	BQ4619_k_BQ4619_k	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/BQ4619_k_BQ4619_k_L1.bam	NA	NA	HRR1956785.bam
BQ4620_k	BQ4620_k_BQ4620_k	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/BQ4620_k_BQ4620_k_L1.bam	NA	NA	HRR1956786.bam
BQ4621_k	BQ4621_k_BQ4621_k	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/BQ4621_k_BQ4621_k_L1.bam	NA	NA	HRR1956787.bam
BQ4622_low_k	BQ4622_low_k_BQ4622_low_k	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/BQ4622_low_k_BQ4622_low_k_L1.bam	NA	NA	HRR1956788.bam
BQ4623	BQ4623_BQ4623	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/BQ4623_BQ4623_L1.bam	NA	NA	HRR1956789.bam
BQ4624	BQ4624_BQ4624	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/BQ4624_BQ4624_L1.bam	NA	NA	HRR1956790.bam
