Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
ARG_22633_34	ARG_22633_34_ARG_22633_34	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/ARG_22633_34_ARG_22633_34_L1_R1.fastq.gz	NA	NA	ERR15602397.fastq.gz	NA	NA
ARG_22640	ARG_22640_ARG_22640	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/ARG_22640_ARG_22640_L1_R1.fastq.gz	NA	NA	ERR15602393.fastq.gz	NA	NA
ARG_22645	ARG_22645_ARG_22645	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/ARG_22645_ARG_22645_L1_R1.fastq.gz	NA	NA	ERR15602394.fastq.gz	NA	NA
ARG_22647	ARG_22647_ARG_22647	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/ARG_22647_ARG_22647_L1_R1.fastq.gz	NA	NA	ERR15602395.fastq.gz	NA	NA
ARG_22664_66	ARG_22664_66_ARG_22664_66	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/ARG_22664_66_ARG_22664_66_L1_R1.fastq.gz	NA	NA	ERR15602396.fastq.gz	NA	NA
I12368	I12368_I12368	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12368_I12368_L1_R1.fastq.gz	NA	NA	ERR15601917.fastq.gz	NA	NA
I12368	I12368_I12368	2	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12368_I12368_L2_R1.fastq.gz	NA	NA	ERR15601918.fastq.gz	NA	NA
I12369	I12369_I12369	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12369_I12369_L1_R1.fastq.gz	NA	NA	ERR15601920.fastq.gz	NA	NA
I12369	I12369_I12369	2	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12369_I12369_L2_R1.fastq.gz	NA	NA	ERR15601919.fastq.gz	NA	NA
I12370	I12370_I12370	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12370_I12370_L1_R1.fastq.gz	NA	NA	ERR15601922.fastq.gz	NA	NA
I12370	I12370_I12370	2	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12370_I12370_L2_R1.fastq.gz	NA	NA	ERR15601921.fastq.gz	NA	NA
I12371	I12371_I12371	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12371_I12371_L1_R1.fastq.gz	NA	NA	ERR15601924.fastq.gz	NA	NA
I12371	I12371_I12371	2	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12371_I12371_L2_R1.fastq.gz	NA	NA	ERR15601923.fastq.gz	NA	NA
I12372	I12372_I12372	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12372_I12372_L1_R1.fastq.gz	NA	NA	ERR15601925.fastq.gz	NA	NA
I12372	I12372_I12372	2	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12372_I12372_L2_R1.fastq.gz	NA	NA	ERR15601926.fastq.gz	NA	NA
I12373	I12373_I12373	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12373_I12373_L1_R1.fastq.gz	NA	NA	ERR15601927.fastq.gz	NA	NA
I12373	I12373_I12373	2	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12373_I12373_L2_R1.fastq.gz	NA	NA	ERR15601928.fastq.gz	NA	NA
I12374	I12374_I12374	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12374_I12374_L1_R1.fastq.gz	NA	NA	ERR15601930.fastq.gz	NA	NA
I12374	I12374_I12374	2	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12374_I12374_L2_R1.fastq.gz	NA	NA	ERR15601929.fastq.gz	NA	NA
I12601	I12601_I12601	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12601_I12601_L1_R1.fastq.gz	NA	NA	ERR15601932.fastq.gz	NA	NA
I12601	I12601_I12601	2	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12601_I12601_L2_R1.fastq.gz	NA	NA	ERR15601931.fastq.gz	NA	NA
I12602	I12602_I12602	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12602_I12602_L1_R1.fastq.gz	NA	NA	ERR15601933.fastq.gz	NA	NA
I12602	I12602_I12602	2	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12602_I12602_L2_R1.fastq.gz	NA	NA	ERR15601934.fastq.gz	NA	NA
I12603	I12603_I12603	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12603_I12603_L1_R1.fastq.gz	NA	NA	ERR15601936.fastq.gz	NA	NA
I12603	I12603_I12603	2	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12603_I12603_L2_R1.fastq.gz	NA	NA	ERR15601935.fastq.gz	NA	NA
I12604	I12604_I12604	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12604_I12604_L1_R1.fastq.gz	NA	NA	ERR15601937.fastq.gz	NA	NA
I12604	I12604_I12604	2	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12604_I12604_L2_R1.fastq.gz	NA	NA	ERR15601938.fastq.gz	NA	NA
I12605	I12605_I12605	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12605_I12605_L1_R1.fastq.gz	NA	NA	ERR15601940.fastq.gz	NA	NA
I12605	I12605_I12605	2	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12605_I12605_L2_R1.fastq.gz	NA	NA	ERR15601939.fastq.gz	NA	NA
I12606	I12606_I12606	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12606_I12606_L1_R1.fastq.gz	NA	NA	ERR15601941.fastq.gz	NA	NA
I12606	I12606_I12606	2	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12606_I12606_L2_R1.fastq.gz	NA	NA	ERR15601942.fastq.gz	NA	NA
I12712	I12712_I12712	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12712_I12712_L1_R1.fastq.gz	NA	NA	ERR15601943.fastq.gz	NA	NA
I12712	I12712_I12712	2	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12712_I12712_L2_R1.fastq.gz	NA	NA	ERR15601944.fastq.gz	NA	NA
I12713	I12713_I12713	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12713_I12713_L1_R1.fastq.gz	NA	NA	ERR15601945.fastq.gz	NA	NA
I12713	I12713_I12713	2	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12713_I12713_L2_R1.fastq.gz	NA	NA	ERR15601946.fastq.gz	NA	NA
I12714	I12714_I12714	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12714_I12714_L1_R1.fastq.gz	NA	NA	ERR15601948.fastq.gz	NA	NA
I12714	I12714_I12714	2	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12714_I12714_L2_R1.fastq.gz	NA	NA	ERR15601947.fastq.gz	NA	NA
I12716	I12716_I12716	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12716_I12716_L1_R1.fastq.gz	NA	NA	ERR15601950.fastq.gz	NA	NA
I12716	I12716_I12716	2	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12716_I12716_L2_R1.fastq.gz	NA	NA	ERR15601949.fastq.gz	NA	NA
I12717	I12717_I12717	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12717_I12717_L1_R1.fastq.gz	NA	NA	ERR15601952.fastq.gz	NA	NA
I12717	I12717_I12717	2	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12717_I12717_L2_R1.fastq.gz	NA	NA	ERR15601951.fastq.gz	NA	NA
I12718	I12718_I12718	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12718_I12718_L1_R1.fastq.gz	NA	NA	ERR15601953.fastq.gz	NA	NA
I12718	I12718_I12718	2	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12718_I12718_L2_R1.fastq.gz	NA	NA	ERR15601954.fastq.gz	NA	NA
I12719	I12719_I12719	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12719_I12719_L1_R1.fastq.gz	NA	NA	ERR15601956.fastq.gz	NA	NA
I12719	I12719_I12719	2	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12719_I12719_L2_R1.fastq.gz	NA	NA	ERR15601955.fastq.gz	NA	NA
I12720	I12720_I12720	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12720_I12720_L1_R1.fastq.gz	NA	NA	ERR15601957.fastq.gz	NA	NA
