Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file
CGG017609	CGG017609_CGG017609	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG017609_CGG017609_L1_R1.fastq.gz	NA	NA	ERR14752003.fastq.gz	NA
CGG017649	CGG017649_CGG017649	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG017649_CGG017649_L1_R1.fastq.gz	NA	NA	ERR14752005.fastq.gz	NA
CGG017683	CGG017683_CGG017683	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG017683_CGG017683_L1_R1.fastq.gz	NA	NA	ERR14752008.fastq.gz	NA
CGG018087	CGG018087_CGG018087	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG018087_CGG018087_L1_R1.fastq.gz	NA	NA	ERR14752016.fastq.gz	NA
CGG018558	CGG018558_CGG018558	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG018558_CGG018558_L1_R1.fastq.gz	NA	NA	ERR14752017.fastq.gz	NA
CGG018917	CGG018917_CGG018917	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG018917_CGG018917_L1_R1.fastq.gz	NA	NA	ERR14752022.fastq.gz	NA
CGG018920	CGG018920_CGG018920	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG018920_CGG018920_L1_R1.fastq.gz	NA	NA	ERR14752024.fastq.gz	NA
CGG018923	CGG018923_CGG018923	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG018923_CGG018923_L1_R1.fastq.gz	NA	NA	ERR14752025.fastq.gz	NA
CGG018924	CGG018924_CGG018924	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG018924_CGG018924_L1_R1.fastq.gz	NA	NA	ERR14752026.fastq.gz	NA
CGG018926	CGG018926_CGG018926	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG018926_CGG018926_L1_R1.fastq.gz	NA	NA	ERR14752027.fastq.gz	NA
CGG019200	CGG019200_CGG019200	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG019200_CGG019200_L1_R1.fastq.gz	NA	NA	ERR14752032.fastq.gz	NA
CGG019201	CGG019201_CGG019201	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG019201_CGG019201_L1_R1.fastq.gz	NA	NA	ERR14752033.fastq.gz	NA
CGG019202	CGG019202_CGG019202	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG019202_CGG019202_L1_R1.fastq.gz	NA	NA	ERR14752034.fastq.gz	NA
CGG019203	CGG019203_CGG019203	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG019203_CGG019203_L1_R1.fastq.gz	NA	NA	ERR14752035.fastq.gz	NA
CGG019204	CGG019204_CGG019204	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG019204_CGG019204_L1_R1.fastq.gz	NA	NA	ERR14752036.fastq.gz	NA
CGG019205	CGG019205_CGG019205	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG019205_CGG019205_L1_R1.fastq.gz	NA	NA	ERR14752037.fastq.gz	NA
CGG019206	CGG019206_CGG019206	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG019206_CGG019206_L1_R1.fastq.gz	NA	NA	ERR14752038.fastq.gz	NA
