Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
LMO-8	LMO-8_LMO-8	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/LMO-8_LMO-8_L1_R1.fastq.gz	<PATH_TO_DATA>/LMO-8_LMO-8_L1_R2.fastq.gz	NA	ERR14893170_1.fastq.gz	ERR14893170_2.fastq.gz	NA
RAM-7	RAM-7_RAM-7	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/RAM-7_RAM-7_L1_R1.fastq.gz	<PATH_TO_DATA>/RAM-7_RAM-7_L1_R2.fastq.gz	NA	ERR14893171_1.fastq.gz	ERR14893171_2.fastq.gz	NA
LMF-7	LMF-7_LMF-7	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/LMF-7_LMF-7_L1_R1.fastq.gz	<PATH_TO_DATA>/LMF-7_LMF-7_L1_R2.fastq.gz	NA	ERR14893174_1.fastq.gz	ERR14893174_2.fastq.gz	NA
OLR-2	OLR-2_OLR-2	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/OLR-2_OLR-2_L1_R1.fastq.gz	<PATH_TO_DATA>/OLR-2_OLR-2_L1_R2.fastq.gz	NA	ERR14893175_1.fastq.gz	ERR14893175_2.fastq.gz	NA
POG-10	POG-10_POG-10	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/POG-10_POG-10_L1_R1.fastq.gz	<PATH_TO_DATA>/POG-10_POG-10_L1_R2.fastq.gz	NA	ERR14893177_1.fastq.gz	ERR14893177_2.fastq.gz	NA
PRO-37	PRO-37_PRO-37	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/PRO-37_PRO-37_L1_R1.fastq.gz	<PATH_TO_DATA>/PRO-37_PRO-37_L1_R2.fastq.gz	NA	ERR14893178_1.fastq.gz	ERR14893178_2.fastq.gz	NA
TAR-196	TAR-196_TAR-196	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/TAR-196_TAR-196_L1_R1.fastq.gz	<PATH_TO_DATA>/TAR-196_TAR-196_L1_R2.fastq.gz	NA	ERR14893184_1.fastq.gz	ERR14893184_2.fastq.gz	NA
TRE-33	TRE-33_TRE-33	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/TRE-33_TRE-33_L1_R1.fastq.gz	<PATH_TO_DATA>/TRE-33_TRE-33_L1_R2.fastq.gz	NA	ERR14893186_1.fastq.gz	ERR14893186_2.fastq.gz	NA
DZS-5	DZS-5_DZS-5	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/DZS-5_DZS-5_L1_R1.fastq.gz	<PATH_TO_DATA>/DZS-5_DZS-5_L1_R2.fastq.gz	NA	ERR14893189_1.fastq.gz	ERR14893189_2.fastq.gz	NA
DZS-6	DZS-6_DZS-6	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/DZS-6_DZS-6_L1_R1.fastq.gz	<PATH_TO_DATA>/DZS-6_DZS-6_L1_R2.fastq.gz	NA	ERR14893190_1.fastq.gz	ERR14893190_2.fastq.gz	NA
DZS-43	DZS-43_DZS-43	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/DZS-43_DZS-43_L1_R1.fastq.gz	<PATH_TO_DATA>/DZS-43_DZS-43_L1_R2.fastq.gz	NA	ERR14893193_1.fastq.gz	ERR14893193_2.fastq.gz	NA
DZS-44	DZS-44_DZS-44	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/DZS-44_DZS-44_L1_R1.fastq.gz	<PATH_TO_DATA>/DZS-44_DZS-44_L1_R2.fastq.gz	NA	ERR14893194_1.fastq.gz	ERR14893194_2.fastq.gz	NA
FKD-140	FKD-140_FKD-140	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/FKD-140_FKD-140_L1_R1.fastq.gz	<PATH_TO_DATA>/FKD-140_FKD-140_L1_R2.fastq.gz	NA	ERR14893197_1.fastq.gz	ERR14893197_2.fastq.gz	NA
CSU2-43	CSU2-43_CSU2-43	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/CSU2-43_CSU2-43_L1_R1.fastq.gz	<PATH_TO_DATA>/CSU2-43_CSU2-43_L1_R2.fastq.gz	NA	ERR14893201_1.fastq.gz	ERR14893201_2.fastq.gz	NA
HVF-3	HVF-3_HVF-3	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/HVF-3_HVF-3_L1_R1.fastq.gz	<PATH_TO_DATA>/HVF-3_HVF-3_L1_R2.fastq.gz	NA	ERR14893203_1.fastq.gz	ERR14893203_2.fastq.gz	NA
HVF-10	HVF-10_HVF-10	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/HVF-10_HVF-10_L1_R1.fastq.gz	<PATH_TO_DATA>/HVF-10_HVF-10_L1_R2.fastq.gz	NA	ERR14893206_1.fastq.gz	ERR14893206_2.fastq.gz	NA
HVF-15	HVF-15_HVF-15	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/HVF-15_HVF-15_L1_R1.fastq.gz	<PATH_TO_DATA>/HVF-15_HVF-15_L1_R2.fastq.gz	NA	ERR14893207_1.fastq.gz	ERR14893207_2.fastq.gz	NA
HVF-17	HVF-17_HVF-17	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/HVF-17_HVF-17_L1_R1.fastq.gz	<PATH_TO_DATA>/HVF-17_HVF-17_L1_R2.fastq.gz	NA	ERR14893208_1.fastq.gz	ERR14893208_2.fastq.gz	NA
HVF-21	HVF-21_HVF-21	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/HVF-21_HVF-21_L1_R1.fastq.gz	<PATH_TO_DATA>/HVF-21_HVF-21_L1_R2.fastq.gz	NA	ERR14893209_1.fastq.gz	ERR14893209_2.fastq.gz	NA
KAK-3	KAK-3_KAK-3	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/KAK-3_KAK-3_L1_R1.fastq.gz	<PATH_TO_DATA>/KAK-3_KAK-3_L1_R2.fastq.gz	NA	ERR14893210_1.fastq.gz	ERR14893210_2.fastq.gz	NA
MIJ-1	MIJ-1_MIJ-1	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/MIJ-1_MIJ-1_L1_R1.fastq.gz	<PATH_TO_DATA>/MIJ-1_MIJ-1_L1_R2.fastq.gz	NA	ERR14893211_1.fastq.gz	ERR14893211_2.fastq.gz	NA
AND-131	AND-131_AND-131	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/AND-131_AND-131_L1_R1.fastq.gz	<PATH_TO_DATA>/AND-131_AND-131_L1_R2.fastq.gz	NA	ERR14893216_1.fastq.gz	ERR14893216_2.fastq.gz	NA
