Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
BOT14	BOT14_ERR2531334	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/BOT14_ERR2531334_L1_R1.fastq.gz	NA	NA	ERR14908534.fastq.gz	NA	NA
BOT14	BOT14_ERR2531336	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/BOT14_ERR2531336_L1_R1.fastq.gz	NA	NA	ERR14908535.fastq.gz	NA	NA
BOT14	BOT14_BOT14_E1_L1	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/BOT14_BOT14_E1_L1_L1_R1.fastq.gz	NA	NA	ERR14908533.fastq.gz	NA	NA
BOT15	BOT15_ERR2531317	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/BOT15_ERR2531317_L1_R1.fastq.gz	NA	NA	ERR14908538.fastq.gz	NA	NA
BOT15	BOT15_ERR2531330	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/BOT15_ERR2531330_L1_R1.fastq.gz	NA	NA	ERR14908539.fastq.gz	NA	NA
BOT15	BOT15_ERR2531335	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/BOT15_ERR2531335_L1_R1.fastq.gz	NA	NA	ERR14908540.fastq.gz	NA	NA
BOT15	BOT15_BOT15_E1_L1	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/BOT15_BOT15_E1_L1_L1_R1.fastq.gz	NA	NA	ERR14908536.fastq.gz	NA	NA
BOT15	BOT15_BOT15_E2_L1	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/BOT15_BOT15_E2_L1_L1_R1.fastq.gz	NA	NA	ERR14908537.fastq.gz	NA	NA
BOT2016	BOT2016_ERR2531321	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/BOT2016_ERR2531321_L1_R1.fastq.gz	NA	NA	ERR14908545.fastq.gz	NA	NA
BOT2016	BOT2016_ERR2531322	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/BOT2016_ERR2531322_L1_R1.fastq.gz	NA	NA	ERR14908546.fastq.gz	NA	NA
BOT2016	BOT2016_DA375_E1_L1	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/BOT2016_DA375_E1_L1_L1_R1.fastq.gz	NA	NA	ERR14908541.fastq.gz	NA	NA
BOT2016	BOT2016_DA375_E2_L1	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/BOT2016_DA375_E2_L1_L1_R1.fastq.gz	NA	NA	ERR14908542.fastq.gz	NA	NA
BOT2016	BOT2016_ERR2531316	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/BOT2016_ERR2531316_L1_R1.fastq.gz	NA	NA	ERR14908544.fastq.gz	NA	NA
BOT2016	BOT2016_ERR2531324	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/BOT2016_ERR2531324_L1_R1.fastq.gz	NA	NA	ERR14908547.fastq.gz	NA	NA
BOT2016	BOT2016_ERR2531326	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/BOT2016_ERR2531326_L1_R1.fastq.gz	NA	NA	ERR14908549.fastq.gz	NA	NA
BOT2016	BOT2016_DA376_E1_L1	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/BOT2016_DA376_E1_L1_L1_R1.fastq.gz	NA	NA	ERR14908543.fastq.gz	NA	NA
BOT2016	BOT2016_ERR2531325	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/BOT2016_ERR2531325_L1_R1.fastq.gz	NA	NA	ERR14908548.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L1_R1.fastq.gz	NA	NA	ERR14909479.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	2	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L2_R1.fastq.gz	NA	NA	ERR14909480.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	3	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L3_R1.fastq.gz	NA	NA	ERR14909481.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	4	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L4_R1.fastq.gz	NA	NA	ERR14909483.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	5	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L5_R1.fastq.gz	NA	NA	ERR14909484.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	6	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L6_R1.fastq.gz	NA	NA	ERR14909487.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	7	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L7_R1.fastq.gz	NA	NA	ERR14909498.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	8	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L8_R1.fastq.gz	NA	NA	ERR14909499.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	9	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L9_R1.fastq.gz	NA	NA	ERR14909500.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	10	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L10_R1.fastq.gz	NA	NA	ERR14909502.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	11	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L11_R1.fastq.gz	NA	NA	ERR14909503.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	12	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L12_R1.fastq.gz	NA	NA	ERR14909509.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	13	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L13_R1.fastq.gz	NA	NA	ERR14909510.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	14	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L14_R1.fastq.gz	NA	NA	ERR14909511.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	15	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L15_R1.fastq.gz	NA	NA	ERR14909512.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	16	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L16_R1.fastq.gz	NA	NA	ERR14909514.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	17	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L17_R1.fastq.gz	NA	NA	ERR14909515.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	18	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L18_R1.fastq.gz	NA	NA	ERR14909518.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	19	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L19_R1.fastq.gz	NA	NA	ERR14909521.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	20	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L20_R1.fastq.gz	NA	NA	ERR14909525.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	21	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L21_R1.fastq.gz	NA	NA	ERR14909529.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	22	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L22_R1.fastq.gz	NA	NA	ERR14909530.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	23	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L23_R1.fastq.gz	NA	NA	ERR14909531.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	24	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L24_R1.fastq.gz	NA	NA	ERR14909532.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	25	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L25_R1.fastq.gz	NA	NA	ERR14909538.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	26	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L26_R1.fastq.gz	NA	NA	ERR14909548.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	27	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L27_R1.fastq.gz	NA	NA	ERR14909550.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	28	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L28_R1.fastq.gz	NA	NA	ERR14909552.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	29	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L29_R1.fastq.gz	NA	NA	ERR14909553.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703E123_L1	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703E123_L1_L1_R1.fastq.gz	NA	NA	ERR14909560.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	30	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L30_R1.fastq.gz	NA	NA	ERR14909482.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	31	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L31_R1.fastq.gz	NA	NA	ERR14909486.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	32	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L32_R1.fastq.gz	NA	NA	ERR14909488.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	33	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L33_R1.fastq.gz	NA	NA	ERR14909490.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	34	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L34_R1.fastq.gz	NA	NA	ERR14909492.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	35	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L35_R1.fastq.gz	NA	NA	ERR14909494.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	36	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L36_R1.fastq.gz	NA	NA	ERR14909495.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	37	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L37_R1.fastq.gz	NA	NA	ERR14909496.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	38	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L38_R1.fastq.gz	NA	NA	ERR14909497.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	39	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L39_R1.fastq.gz	NA	NA	ERR14909506.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	40	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L40_R1.fastq.gz	NA	NA	ERR14909507.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	41	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L41_R1.fastq.gz	NA	NA	ERR14909508.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	42	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L42_R1.fastq.gz	NA	NA	ERR14909519.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	43	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L43_R1.fastq.gz	NA	NA	ERR14909523.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	44	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L44_R1.fastq.gz	NA	NA	ERR14909528.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	45	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L45_R1.fastq.gz	NA	NA	ERR14909535.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	46	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L46_R1.fastq.gz	NA	NA	ERR14909536.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	47	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L47_R1.fastq.gz	NA	NA	ERR14909537.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	48	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L48_R1.fastq.gz	NA	NA	ERR14909543.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	49	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L49_R1.fastq.gz	NA	NA	ERR14909545.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	50	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L50_R1.fastq.gz	NA	NA	ERR14909549.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	51	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L51_R1.fastq.gz	NA	NA	ERR14909554.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	52	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L52_R1.fastq.gz	NA	NA	ERR14909555.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	53	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L53_R1.fastq.gz	NA	NA	ERR14909556.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	54	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L54_R1.fastq.gz	NA	NA	ERR14909557.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	55	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L55_R1.fastq.gz	NA	NA	ERR14909485.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	56	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L56_R1.fastq.gz	NA	NA	ERR14909489.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	57	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L57_R1.fastq.gz	NA	NA	ERR14909491.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	58	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L58_R1.fastq.gz	NA	NA	ERR14909493.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	59	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L59_R1.fastq.gz	NA	NA	ERR14909501.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	60	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L60_R1.fastq.gz	NA	NA	ERR14909504.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	61	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L61_R1.fastq.gz	NA	NA	ERR14909505.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	62	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L62_R1.fastq.gz	NA	NA	ERR14909513.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	63	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L63_R1.fastq.gz	NA	NA	ERR14909516.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	64	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L64_R1.fastq.gz	NA	NA	ERR14909517.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	65	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L65_R1.fastq.gz	NA	NA	ERR14909520.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	66	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L66_R1.fastq.gz	NA	NA	ERR14909522.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	67	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L67_R1.fastq.gz	NA	NA	ERR14909524.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	68	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L68_R1.fastq.gz	NA	NA	ERR14909526.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	69	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L69_R1.fastq.gz	NA	NA	ERR14909527.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	70	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L70_R1.fastq.gz	NA	NA	ERR14909533.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	71	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L71_R1.fastq.gz	NA	NA	ERR14909534.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	72	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L72_R1.fastq.gz	NA	NA	ERR14909539.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	73	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L73_R1.fastq.gz	NA	NA	ERR14909540.fastq.gz	NA	NA
CGG_2_14703	CGG_2_14703_CGG2_014703_C1	74	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG_2_14703_CGG2_014703_C1_L74_R1.fastq.gz	NA	NA	ERR14909541.fastq.gz	NA	NA
