Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
I0991	I0991_	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I0991__L1_R1.fastq.gz	NA	NA	ERR14766762.fastq.gz	NA	NA
I0992	I0992_	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I0992__L1_R1.fastq.gz	NA	NA	ERR14766763.fastq.gz	NA	NA
I0994	I0994_	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I0994__L1_R1.fastq.gz	NA	NA	ERR14766764.fastq.gz	NA	NA
I0995	I0995_	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I0995__L1_R1.fastq.gz	NA	NA	ERR14766765.fastq.gz	NA	NA
I0996	I0996_	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I0996__L1_R1.fastq.gz	NA	NA	ERR14766766.fastq.gz	NA	NA
I0996.SG	I0996.SG_ERS24514243	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I0996.SG_ERS24514243_L1_R1.fastq.gz	NA	NA	ERR14987608.fastq.gz	NA	NA
I0997_d	I0997_d_	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/I0997_d__L1_R1.fastq.gz	NA	NA	ERR14766767.fastq.gz	NA	NA
I0998	I0998_	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I0998__L1_R1.fastq.gz	NA	NA	ERR14766768.fastq.gz	NA	NA
I0999	I0999_	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I0999__L1_R1.fastq.gz	NA	NA	ERR14766769.fastq.gz	NA	NA
I1000	I1000_	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I1000__L1_R1.fastq.gz	NA	NA	ERR14766770.fastq.gz	NA	NA
I1001	I1001_	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I1001__L1_R1.fastq.gz	NA	NA	ERR14766771.fastq.gz	NA	NA
I10900_d	I10900_d_	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I10900_d__L1_R1.fastq.gz	NA	NA	ERR14766772.fastq.gz	NA	NA
I10961	I10961_ERS24422986	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I10961_ERS24422986_L1_R1.fastq.gz	NA	NA	ERR14936911.fastq.gz	NA	NA
I10962	I10962_ERS24422987	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I10962_ERS24422987_L1_R1.fastq.gz	NA	NA	ERR14936912.fastq.gz	NA	NA
I10963	I10963_ERS24422988	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I10963_ERS24422988_L1_R1.fastq.gz	NA	NA	ERR14936913.fastq.gz	NA	NA
I10965	I10965_ERS24422989	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I10965_ERS24422989_L1_R1.fastq.gz	NA	NA	ERR14936914.fastq.gz	NA	NA
I10998	I10998_ERS24422990	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I10998_ERS24422990_L1_R1.fastq.gz	NA	NA	ERR14936915.fastq.gz	NA	NA
I11002	I11002_ERS24422991	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11002_ERS24422991_L1_R1.fastq.gz	NA	NA	ERR14936916.fastq.gz	NA	NA
I11003	I11003_ERS24422992	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11003_ERS24422992_L1_R1.fastq.gz	NA	NA	ERR14936917.fastq.gz	NA	NA
I11101	I11101_	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11101__L1_R1.fastq.gz	NA	NA	ERR14766780.fastq.gz	NA	NA
I11102	I11102_	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11102__L1_R1.fastq.gz	NA	NA	ERR14766781.fastq.gz	NA	NA
I11103	I11103_	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11103__L1_R1.fastq.gz	NA	NA	ERR14766782.fastq.gz	NA	NA
I11104	I11104_	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11104__L1_R1.fastq.gz	NA	NA	ERR14766783.fastq.gz	NA	NA
I11107	I11107_	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11107__L1_R1.fastq.gz	NA	NA	ERR14766784.fastq.gz	NA	NA
I11405	I11405_ERS24422993	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11405_ERS24422993_L1_R1.fastq.gz	NA	NA	ERR14936918.fastq.gz	NA	NA
I11637	I11637_	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11637__L1_R1.fastq.gz	NA	NA	ERR14766786.fastq.gz	NA	NA
I11741_d	I11741_d_	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11741_d__L1_R1.fastq.gz	NA	NA	ERR14766787.fastq.gz	NA	NA
I11742	I11742_	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11742__L1_R1.fastq.gz	NA	NA	ERR14766788.fastq.gz	NA	NA
