Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
AD11	AD11_AD11	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/AD11_AD11_L1_R1.fastq.gz	NA	NA	ERR10168260.fastq.gz	NA	NA
AD117	AD117_AD117	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/AD117_AD117_L1_R1.fastq.gz	NA	NA	ERR10168262.fastq.gz	NA	NA
AD140	AD140_AD140	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/AD140_AD140_L1_R1.fastq.gz	NA	NA	ERR10168263.fastq.gz	NA	NA
AD188	AD188_AD188	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/AD188_AD188_L1_R1.fastq.gz	NA	NA	ERR10168265.fastq.gz	NA	NA
AD162	AD162_AD162	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/AD162_AD162_L1_R1.fastq.gz	NA	NA	ERR10168272.fastq.gz	NA	NA
FO146	FO146_FO146	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/FO146_FO146_L1_R1.fastq.gz	NA	NA	ERR10168279.fastq.gz	NA	NA
FO7	FO7_FO7	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/FO7_FO7_L1_R1.fastq.gz	NA	NA	ERR10168280.fastq.gz	NA	NA
FO28	FO28_FO28	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/FO28_FO28_L1_R1.fastq.gz	NA	NA	ERR10168281.fastq.gz	NA	NA
FO54	FO54_FO54	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/FO54_FO54_L1_R1.fastq.gz	NA	NA	ERR10168285.fastq.gz	NA	NA
FO47	FO47_FO47	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/FO47_FO47_L1_R1.fastq.gz	NA	NA	ERR10168291.fastq.gz	NA	NA
NP541	NP541_NP541	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/NP541_NP541_L1_R1.fastq.gz	NA	NA	ERR10168293.fastq.gz	NA	NA
NP543	NP543_NP543	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/NP543_NP543_L1_R1.fastq.gz	NA	NA	ERR10168295.fastq.gz	NA	NA
RB238	RB238_RB238	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/RB238_RB238_L1_R1.fastq.gz	NA	NA	ERR10168299.fastq.gz	NA	NA
