Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
Amv_Epi_Archaic_to_Roman	Amv_Epi_Archaic_to_Roman_7_2_lys2_ex2_lib1	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Amv_Epi_Archaic_to_Roman_7_2_lys2_ex2_lib1_L1_R1.fastq.gz	<PATH_TO_DATA>/Amv_Epi_Archaic_to_Roman_7_2_lys2_ex2_lib1_L1_R2.fastq.gz	NA	SRR30123147_1.fastq.gz	SRR30123147_2.fastq.gz	NA
Amv_Epi_Arch_2	Amv_Epi_Arch_2_256_1_B_lys2_ex1_lib2	1	4	PE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Amv_Epi_Arch_2_256_1_B_lys2_ex1_lib2_L1_R1.fastq.gz	<PATH_TO_DATA>/Amv_Epi_Arch_2_256_1_B_lys2_ex1_lib2_L1_R2.fastq.gz	NA	SRR30123149_1.fastq.gz	SRR30123149_2.fastq.gz	NA
Amm_Epi_LBA_2	Amm_Epi_LBA_2_133_1_lys1_ex3_lib2	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Amm_Epi_LBA_2_133_1_lys1_ex3_lib2_L1_R1.fastq.gz	<PATH_TO_DATA>/Amm_Epi_LBA_2_133_1_lys1_ex3_lib2_L1_R2.fastq.gz	NA	SRR30123151_1.fastq.gz	SRR30123151_2.fastq.gz	NA
Amm_Epi_LBA_2	Amm_Epi_LBA_2_133_1_lys1_ex3_lib1	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Amm_Epi_LBA_2_133_1_lys1_ex3_lib1_L1_R1.fastq.gz	<PATH_TO_DATA>/Amm_Epi_LBA_2_133_1_lys1_ex3_lib1_L1_R2.fastq.gz	NA	SRR30123152_1.fastq.gz	SRR30123152_2.fastq.gz	NA
Amm_Epi_LBA_2	Amm_Epi_LBA_2_133_1_lys1_ex2_lib1	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Amm_Epi_LBA_2_133_1_lys1_ex2_lib1_L1_R1.fastq.gz	<PATH_TO_DATA>/Amm_Epi_LBA_2_133_1_lys1_ex2_lib1_L1_R2.fastq.gz	NA	SRR30123153_1.fastq.gz	SRR30123153_2.fastq.gz	NA
Ten_Pel_Rom_2	Ten_Pel_Rom_2_153_lys1_ex1_lib2	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Ten_Pel_Rom_2_153_lys1_ex1_lib2_L1_R1.fastq.gz	<PATH_TO_DATA>/Ten_Pel_Rom_2_153_lys1_ex1_lib2_L1_R2.fastq.gz	NA	SRR30123156_1.fastq.gz	SRR30123156_2.fastq.gz	NA
Ten_Pel_Hel_1	Ten_Pel_Hel_1_162_lys1_ex1_lib2	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Ten_Pel_Hel_1_162_lys1_ex1_lib2_L1_R1.fastq.gz	<PATH_TO_DATA>/Ten_Pel_Hel_1_162_lys1_ex1_lib2_L1_R2.fastq.gz	NA	SRR30123160_1.fastq.gz	SRR30123160_2.fastq.gz	NA
Amm_Epi_LBA_1	Amm_Epi_LBA_1_132_1_lys1_ex3_lib2	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Amm_Epi_LBA_1_132_1_lys1_ex3_lib2_L1_R1.fastq.gz	<PATH_TO_DATA>/Amm_Epi_LBA_1_132_1_lys1_ex3_lib2_L1_R2.fastq.gz	NA	SRR30123164_1.fastq.gz	SRR30123164_2.fastq.gz	NA
Amv_Epi_Hel_4	Amv_Epi_Hel_4_9_1_lys1_ex2_lib1	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Amv_Epi_Hel_4_9_1_lys1_ex2_lib1_L1_R1.fastq.gz	<PATH_TO_DATA>/Amv_Epi_Hel_4_9_1_lys1_ex2_lib1_L1_R2.fastq.gz	NA	SRR30123165_1.fastq.gz	SRR30123165_2.fastq.gz	NA
Amv_Epi_Hel_3	Amv_Epi_Hel_3_8_1_lys1_ex2_lib1	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Amv_Epi_Hel_3_8_1_lys1_ex2_lib1_L1_R1.fastq.gz	<PATH_TO_DATA>/Amv_Epi_Hel_3_8_1_lys1_ex2_lib1_L1_R2.fastq.gz	NA	SRR30123166_1.fastq.gz	SRR30123166_2.fastq.gz	NA
Amv_Epi_Cl_6	Amv_Epi_Cl_6_140_lys1_ex2_lib1	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Amv_Epi_Cl_6_140_lys1_ex2_lib1_L1_R1.fastq.gz	<PATH_TO_DATA>/Amv_Epi_Cl_6_140_lys1_ex2_lib1_L1_R2.fastq.gz	NA	SRR30123169_1.fastq.gz	SRR30123169_2.fastq.gz	NA
Amv_Epi_Cl_5	Amv_Epi_Cl_5_139_lys1_ex2_lib1	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Amv_Epi_Cl_5_139_lys1_ex2_lib1_L1_R1.fastq.gz	<PATH_TO_DATA>/Amv_Epi_Cl_5_139_lys1_ex2_lib1_L1_R2.fastq.gz	NA	SRR30123170_1.fastq.gz	SRR30123170_2.fastq.gz	NA
Amv_Epi_Cl_4	Amv_Epi_Cl_4_136_1_lys1_ex2_lib1	1	4	PE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/Amv_Epi_Cl_4_136_1_lys1_ex2_lib1_L1_R1.fastq.gz	<PATH_TO_DATA>/Amv_Epi_Cl_4_136_1_lys1_ex2_lib1_L1_R2.fastq.gz	NA	SRR30123171_1.fastq.gz	SRR30123171_2.fastq.gz	NA
